"","variable","label"
"51","prod_decr_reason_7","Why has your productivity decreased? Select all that apply. - Selected Choice - Lack of comfortable workspace"
"52","prod_decr_reason_8","Why has your productivity decreased? Select all that apply. - Selected Choice - Have to share workspace with another worker"
"53","prod_decr_reason_9","Why has your productivity decreased? Select all that apply. - Selected Choice - There are too many concerns on my mind to be able to focus fully on work"
"54","prod_decr_reason_10","Why has your productivity decreased? Select all that apply. - Selected Choice - Other, please explain:"
"55","prod_decr_reason_10_TEXT","Why has your productivity decreased? Select all that apply. - Other, please explain: - Text"
"56","prod_decr_reason_11_w1b","Why has your productivity decreased? Select all that apply. - Selected Choice - My job is demanding less of me"
"57","prod_decr_reason_12_w1b","Why has your productivity decreased? Select all that apply. - Selected Choice - I have been sick"
"58","prod_decr_reason_13_w1b","Why has your productivity decreased? Select all that apply. - Selected Choice - I am multitasking more"
"59","prod_incr_reason_1","Why has your productivity increased? Select all that apply. - Selected Choice - Less distractions at home"
"60","prod_incr_reason_2","Why has your productivity increased? Select all that apply. - Selected Choice - More comfortable workspace at home"
"61","prod_incr_reason_3","Why has your productivity increased? Select all that apply. - Selected Choice - No commuting time"
"62","prod_incr_reason_4","Why has your productivity increased? Select all that apply. - Selected Choice - In crisis situations, I'm able to focus better"
"63","prod_incr_reason_5","Why has your productivity increased? Select all that apply. - Selected Choice - My job is demanding more of me"
"64","prod_incr_reason_6","Why has your productivity increased? Select all that apply. - Selected Choice - Other, please explain:"
"65","prod_incr_reason_6_TEXT","Why has your productivity increased? Select all that apply. - Other, please explain: - Text"
"66","prod_incr_reason_7_w1b","Why has your productivity increased? Select all that apply. - Selected Choice - I am getting more sleep"
"67","prod_incr_reason_8_w1b","Why has your productivity increased? Select all that apply. - Selected Choice - More efficient time management at home"
"68","prod_incr_reason_9_w1b","Why has your productivity increased? Select all that apply. - Selected Choice - More opportunity to multitask"
"69","prod_incr_reason_10_w1b","Why has your productivity increased? Select all that apply. - Selected Choice - Fewer meetings"
"70","prod_incr_reason_11_w1b","Why has your productivity increased? Select all that apply. - Selected Choice - Fewer activities outside of work"
"71","prod_incr_reason_12_w1b","Why has your productivity increased? Select all that apply. - Selected Choice - Flexible hours"
"72","wfh_expect","After COVID-19 is no longer a threat, do you expect to be able to work from home, at least some of the time?"
"73","wfh_freq_exp_harm","After COVID-19 is no longer a threat, how often might you work from home?, harmonized"
"74","wfh_freq_exp_w1a","After COVID-19 is no longer a threat, how often might you work from home?"
"75","wfh_freq_exp_w1b","After COVID-19 is no longer a threat, how often might you work from home?"
"76","bzvm_exp","After COVID-19 is no longer a threat, how often might you conduct online meetings for work purposes? (conference calls not included in convenience sample)"
"77","ocla_pre","Before COVID-19, had you ever taken online classes as a student (not including workplace training, etc.)?"
"78","class_sche_1","How were your classes in Spring 2020 affected by COVID-19? Please select all that apply. - Selected Choice - Some of my classes were cancelled (not specific to Spring 2020 in Qualtrics Online Panel and Convenience Sample)"
"79","class_sche_2","How were your classes in Spring 2020 affected by COVID-19? Please select all that apply. - Selected Choice - All my classes were cancelled (not specific to Spring 2020 in Qualtrics Online Panel and Convenience Sample)"
"80","class_sche_3","How were your classes in Spring 2020 affected by COVID-19? Please select all that apply. - Selected Choice - Some of my classes were moved online (not specific to Spring 2020 in Qualtrics Online Panel and Convenience Sample)"
"81","class_sche_4","How were your classes in Spring 2020 affected by COVID-19? Please select all that apply. - Selected Choice - All my classes were moved online (not specific to Spring 2020 in Qualtrics Online Panel and Convenience Sample)"
"82","class_sche_5","How were your classes in Spring 2020 affected by COVID-19? Please select all that apply. - Selected Choice - My classes were not affected by COVID-19 because I was already an exclusively online student (not specific to Spring 2020 in Qualtrics Online Panel and Convenience Sample)"
"83","class_sche_8","How were your classes in Spring 2020 affected by COVID-19? Please select all that apply. - Selected Choice - My classes were not affected by COVID-19 because I was not taking any classes (not specific to Spring 2020 in Qualtrics Online Panel and Convenience Sample)"
"84","class_sche_9","How were your classes in Spring 2020 affected by COVID-19? Please select all that apply. - Selected Choice - My classes were not affected by COVID-19 for other reasons (not specific to Spring 2020 in Qualtrics Online Panel and Convenience Sample)"
"85","class_sche_6","How were your classes in Spring 2020 affected by COVID-19? Please select all that apply. - Selected Choice - My classes changed in another way. Please specify: (not specific to Spring 2020 in Qualtrics Online Panel and Convenience Sample)"
"86","class_sche_6_TEXT_w1a","How were your classes in Spring 2020 affected by COVID-19? Please select all that apply. - My classes changed in another way. Please specify: - Text (not specific to Spring 2020 in Qualtrics Online Panel and Convenience Sample)"
"87","class_sche_10_w1b","How were your classes in Spring 2020 affected by COVID-19? Please select all that apply. - Selected Choice - I withdrew from some of my classes (not specific to Spring 2020 in Qualtrics Online Panel and Convenience Sample)"
"88","class_sche_11_w1b","How were your classes in Spring 2020 affected by COVID-19? Please select all that apply. - Selected Choice - I withdrew from all my classes (not specific to Spring 2020 in Qualtrics Online Panel and Convenience Sample)"
"89","class_sche_6_TEXT_w1b","How were your classes in Spring 2020 affected by COVID-19? Please select all that apply. - My classes changed in another way. Please specify: - Text (not specific to Spring 2020 in Qualtrics Online Panel and Convenience Sample)"
"90","learn_change","How would you compare your learning in online classes now to your learning in classes before COVID-19?"
"91","learn_worse_reason_1","Why did your learning get worse? Select all that apply. - Selected Choice - Childcare (why has your learning gotten worse in convenience sample)"
"92","learn_worse_reason_2","Why did your learning get worse? Select all that apply. - Selected Choice - Elder/other dependent care (why has your learning gotten worse in convenience sample)"
"93","learn_worse_reason_3","Why did your learning get worse? Select all that apply. - Selected Choice - Need to care for sick household member (why has your learning gotten worse in convenience sample)"
"94","learn_worse_reason_4","Why did your learning get worse? Select all that apply. - Selected Choice - More distractions at home (why has your learning gotten worse in convenience sample)"
"95","learn_worse_reason_5","Why did your learning get worse? Select all that apply. - Selected Choice - Difficult to communicate with professors (why has your learning gotten worse in convenience sample)"
"96","learn_worse_reason_6","Why did your learning get worse? Select all that apply. - Selected Choice - Difficult to communicate with other students (why has your learning gotten worse in convenience sample)"
"97","learn_worse_reason_7","Why did your learning get worse? Select all that apply. - Selected Choice - Need equipment or technology not available at home (why has your learning gotten worse in convenience sample)"
"98","learn_worse_reason_8_harm","Why did your learning get worse? Select all that apply. - Selected Choice - Lack of comfortable study space (workspace in convenience sample)"
"99","learn_worse_reason_8_w1a","Why did your learning get worse? Select all that apply. - Selected Choice - Lack of comfortable workspace (why has your learning gotten worse in convenience sample)"
"100","learn_worse_reason_9","Why did your learning get worse? Select all that apply. - Selected Choice - Increased responsibilities at work (only asked of workers in NSF sample) (why has your learning gotten worse in convenience sample)"
"101","learn_worse_reason_10","Why did your learning get worse? Select all that apply. - Selected Choice - Sitting in front of a computer for extended periods is too boring and monotonous (why has your learning gotten worse in convenience sample)"
"102","learn_worse_reason_11","Why did your learning get worse? Select all that apply. - Selected Choice - Other, please explain: (why has your learning gotten worse in convenience sample)"
"103","learn_worse_reason_11_TEXT","Why did your learning get worse? Select all that apply. - Other, please explain: - Text (why has your learning gotten worse in convenience sample)"
"104","learn_worse_reason_12_w1b","Why did your learning get worse? Select all that apply. - Selected Choice - I have been sick (why has your learning gotten worse in convenience sample)"
"105","learn_worse_reason_8_w1b","Why did your learning get worse? Select all that apply. - Selected Choice - Lack of comfortable study space (why has your learning gotten worse in convenience sample)"
"106","learn_worse_reason_13_w1b","Why did your learning get worse? Select all that apply. - Selected Choice - I am multitasking more (why has your learning gotten worse in convenience sample)"
"107","learn_better_reason_1","Why did your learning improve? Select all that apply. - Selected Choice - Fewer distractions at home (why has your learning improved in convenience sample)"
"108","learn_better_reason_2","Why did your learning improve? Select all that apply. - Selected Choice - More comfortable workspace at home (why has your learning improved in convenience sample)"
"109","learn_better_reason_3","Why did your learning improve? Select all that apply. - Selected Choice - No commuting time (only asked of workers in NSF sample) (why has your learning improved in convenience sample)"
"110","learn_better_reason_4","Why did your learning improve? Select all that apply. - Selected Choice - Decreased responsibilities at work (why has your learning improved in convenience sample)"
"111","learn_better_reason_5","Why did your learning improve? Select all that apply. - Selected Choice - Other, please explain: (why has your learning improved in convenience sample)"
"112","learn_better_reason_5_TEXT","Why did your learning improve? Select all that apply. - Other, please explain: - Text (why has your learning improved in convenience sample)"
"113","learn_better_reason_6_w1b","Why did your learning improve? Select all that apply. - Selected Choice - More opportunity to multitask (why has your learning improved in convenience sample)"
"114","ocla_exp_w1a","After COVID-19 is no longer a threat, how frequently would you like to take online classes, relative to your experience before COVID-19? Assume that classes you wish to take are available both online and in-person."
"115","ocla_exp_w1b","After COVID-19 is no longer a threat, how frequently would you like to take online classes, relative to your experience before COVID-19? Assume that classes you wish to take are available both online and in-person."
"116","shdi_pre_1","Before COVID-19, how often did you personally... - shop for groceries in a store? (``personally'' omitted in convenience sample)"
"117","shdi_pre_2","Before COVID-19, how often did you personally... - order groceries for pick up? (``personally'' omitted in convenience sample)"
"118","shdi_pre_3","Before COVID-19, how often did you personally... - order groceries for delivery? (``personally'' omitted in convenience sample)"
"119","shdi_pre_4","Before COVID-19, how often did you personally... - eat a meal in a restaurant? (``personally'' omitted in convenience sample)"
"120","shdi_pre_5","Before COVID-19, how often did you personally... - order food for pick up at a restaurant? (``personally'' omitted in convenience sample)"
"121","shdi_pre_6","Before COVID-19, how often did you personally... - order food for delivery from a restaurant? (``personally'' omitted in convenience sample)"
"122","shdi_pre_7","Before COVID-19, how often did you personally... - order other items online for delivery? (``personally'' omitted in convenience sample)"
"123","shdi_now_1_1_w1a","In the last 7 days, - . - How many days did you shop for groceries in a store?"
"124","shdi_now_1_1_w1a_miss_desc","Reason for missing values in shdi_now_1_1_w1a"
"125","shdi_now_1_2_w1a","In the last 7 days, - . - How many days did you order groceries for pick up?"
"126","shdi_now_1_2_w1a_miss_desc","Reason for missing values in shdi_now_1_2_w1a"
"127","shdi_now_1_3_w1a","In the last 7 days, - . - How many days did you order groceries for delivery?"
"128","shdi_now_1_3_w1a_miss_desc","Reason for missing values in shdi_now_1_3_w1a"
"129","shdi_now_1_4_w1a","In the last 7 days, - . - How many days did you eat a meal in a restaurant?"
"130","shdi_now_1_4_w1a_miss_desc","Reason for missing values in shdi_now_1_4_w1a"
"131","shdi_now_1_5_w1a","In the last 7 days, - . - How many days did you order food for pick up at a restaurant?"
"132","shdi_now_1_5_w1a_miss_desc","Reason for missing values in shdi_now_1_5_w1a"
"133","shdi_now_1_6_w1a","In the last 7 days, - . - How many days did you order food for delivery from a restaurant?"
"134","shdi_now_1_6_w1a_miss_desc","Reason for missing values in shdi_now_1_6_w1a"
"135","shdi_now_1_7_w1a","In the last 7 days, - . - How many days did you order other items online for delivery?"
"136","shdi_now_1_7_w1a_miss_desc","Reason for missing values in shdi_now_1_7_w1a"
"137","shdi_now_cat_1","In the last 7 days, how many days did you personally... - shop for groceries in a store? (``personally'' omitted in convenience sample)"
"138","shdi_now_cat_2","In the last 7 days, how many days did you personally... - order groceries for pick up? (``personally'' omitted in convenience sample)"
"139","shdi_now_cat_3","In the last 7 days, how many days did you personally... - order groceries for delivery? (``personally'' omitted in convenience sample)"
"140","shdi_now_cat_4","In the last 7 days, how many days did you personally... - eat a meal in a restaurant? (``personally'' omitted in convenience sample)"
"141","shdi_now_cat_5","In the last 7 days, how many days did you personally... - order food for pick up at a restaurant? (``personally'' omitted in convenience sample)"
"142","shdi_now_cat_6","In the last 7 days, how many days did you personally... - order food for delivery from a restaurant? (``personally'' omitted in convenience sample)"
"143","shdi_now_cat_7","In the last 7 days, how many days did you personally... - order other items online for delivery? (``personally'' omitted in convenience sample)"
"144","shdi_exp_groceries_instore_w1a","After COVID-19 is no longer a threat, how often do you personally expect to... - Shop for groceries in a store (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"145","shdi_exp_groceries_pickup_w1a","After COVID-19 is no longer a threat, how often do you personally expect to... - Order groceries for pick up (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"146","shdi_exp_groceries_deliver_w1a","After COVID-19 is no longer a threat, how often do you personally expect to... - Order groceries for delivery (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"147","shdi_exp_restaurant_dinein_w1a","After COVID-19 is no longer a threat, how often do you personally expect to... - Eat a meal in a restaurant (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"148","shdi_exp_restaurant_pickup_w1a","After COVID-19 is no longer a threat, how often do you personally expect to... - Order food for pick up at a restaurant (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"149","shdi_exp_restaurant_deliver_w1a","After COVID-19 is no longer a threat, how often do you personally expect to... - Order food for delivery from a restaurant (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"150","shdi_exp_groceries_instore_w1b","After COVID-19 is no longer a threat, how often do you personally expect to... - Shop for groceries in a store (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"151","shdi_exp_groceries_pickup_w1b","After COVID-19 is no longer a threat, how often do you personally expect to... - Order groceries for pick up (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"152","shdi_exp_groceries_deliver_w1b","After COVID-19 is no longer a threat, how often do you personally expect to... - Order groceries for delivery (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"153","shdi_exp_restaurant_dinein_w1b","After COVID-19 is no longer a threat, how often do you personally expect to... - Eat a meal in a restaurant (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"154","shdi_exp_restaurant_pickup_w1b","After COVID-19 is no longer a threat, how often do you personally expect to... - Order food for pick up at a restaurant (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"155","shdi_exp_restaurant_deliver_w1b","After COVID-19 is no longer a threat, how often do you personally expect to... - Order food for delivery from a restaurant (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"156","shdi_exp_onlineother_w1b","After COVID-19 is no longer a threat, how often do you personally expect to... - Order other items online for delivery (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"157","shdi_exp_onlineother_w1a","After COVID-19 is no longer a threat, how often do you personally expect to... - Order other items online for delivery (replaced with second set if trap question missed in Qualtrics panel) (``personally'' omitted in convenience sample)"
"158","shdi_trap_1_w1b","After COVID-19 is no longer a threat, how often do you personally expect to... - Select ""every day"" to show you are paying attention"
"159","shdi_trap_2_w1b","Please make sure you are paying attention and carefully consider your responses to these questions, then answer again.After COVID-19 is no longer a threat, how often do you personally expect to... - Select ""every day"" to show you are paying attention"
"160","groc_deliv_1_w1b","Which service did you use for grocery delivery in the past 7 days? - Selected Choice - Store-provided service"
"161","groc_deliv_2_w1b","Which service did you use for grocery delivery in the past 7 days? - Selected Choice - Instacart"
"162","groc_deliv_3_w1b","Which service did you use for grocery delivery in the past 7 days? - Selected Choice - Peapod"
"163","groc_deliv_4_w1b","Which service did you use for grocery delivery in the past 7 days? - Selected Choice - Amazon Fresh"
"164","groc_deliv_5_w1b","Which service did you use for grocery delivery in the past 7 days? - Selected Choice - Fresh Direct"
"165","groc_deliv_6_w1b","Which service did you use for grocery delivery in the past 7 days? - Selected Choice - Shipt"
"166","groc_deliv_7_w1b","Which service did you use for grocery delivery in the past 7 days? - Selected Choice - Other, please specify:"
"167","groc_deliv_7_TEXT_w1b","Which service did you use for grocery delivery in the past 7 days? - Other, please specify: - Text"
"168","onl_groc_more_1_w1b","You told us that you expect to shop for groceries online more in a post-COVID world than you did pre-COVID. Why? Please select all that apply. - Selected Choice - It saves time"
"169","onl_groc_more_4_w1b","You told us that you expect to shop for groceries online more in a post-COVID world than you did pre-COVID. Why? Please select all that apply. - Selected Choice - It’s easier to stick to the list"
"170","onl_groc_more_5_w1b","You told us that you expect to shop for groceries online more in a post-COVID world than you did pre-COVID. Why? Please select all that apply. - Selected Choice - I do not have to carry my groceries"
"171","onl_groc_more_6_w1b","You told us that you expect to shop for groceries online more in a post-COVID world than you did pre-COVID. Why? Please select all that apply. - Selected Choice - I can shop 24/7"
"172","onl_groc_more_7_w1b","You told us that you expect to shop for groceries online more in a post-COVID world than you did pre-COVID. Why? Please select all that apply. - Selected Choice - I can more easily compare prices"
"173","onl_groc_more_8_w1b","You told us that you expect to shop for groceries online more in a post-COVID world than you did pre-COVID. Why? Please select all that apply. - Selected Choice - I can avoid going to stores"
"174","onl_groc_more_9_w1b","You told us that you expect to shop for groceries online more in a post-COVID world than you did pre-COVID. Why? Please select all that apply. - Selected Choice - I have a wider variety of choices"
"175","onl_groc_more_3_w1b","You told us that you expect to shop for groceries online more in a post-COVID world than you did pre-COVID. Why? Please select all that apply. - Selected Choice - Other, please specify:"
"176","onl_groc_more_3_TEXT_w1b","You told us that you expect to shop for groceries online more in a post-COVID world than you did pre-COVID. Why? Please select all that apply. - Other, please specify: - Text"
"177","onl_groc_less_1_w1b","You told us that you expect to shop for groceries online less in a post-COVID world than you did pre-COVID. Why? - Selected Choice - I cannot sample or inspect what I’m buying"
"178","onl_groc_less_4_w1b","You told us that you expect to shop for groceries online less in a post-COVID world than you did pre-COVID. Why? - Selected Choice - I do not always get what I ordered"
"179","onl_groc_less_5_w1b","You told us that you expect to shop for groceries online less in a post-COVID world than you did pre-COVID. Why? - Selected Choice - I have difficulty using the online shopping platform"
"180","onl_groc_less_6_w1b","You told us that you expect to shop for groceries online less in a post-COVID world than you did pre-COVID. Why? - Selected Choice - Information online is not accurate"
"181","onl_groc_less_7_w1b","You told us that you expect to shop for groceries online less in a post-COVID world than you did pre-COVID. Why? - Selected Choice - I am concerned that my groceries will not be fresh"
"182","onl_groc_less_8_w1b","You told us that you expect to shop for groceries online less in a post-COVID world than you did pre-COVID. Why? - Selected Choice - I want immediate access to my groceries"
"183","onl_groc_less_9_w1b","You told us that you expect to shop for groceries online less in a post-COVID world than you did pre-COVID. Why? - Selected Choice - I do not want to pay for delivery"
"184","onl_groc_less_10_w1b","You told us that you expect to shop for groceries online less in a post-COVID world than you did pre-COVID. Why? - Selected Choice - I am concerned about privacy or security in online shopping"
"185","onl_groc_less_3_w1b","You told us that you expect to shop for groceries online less in a post-COVID world than you did pre-COVID. Why? - Selected Choice - Other, please specify:"
"186","onl_groc_less_3_TEXT_w1b","You told us that you expect to shop for groceries online less in a post-COVID world than you did pre-COVID. Why? - Other, please specify: - Text"
"187","onshp_more_1_w1b","You told us that you expect to shoponline for non-grocery items more in a post-COVID world than you did pre-COVID.Why? - Selected Choice - It saves time"
"188","onshp_more_4_w1b","You told us that you expect to shoponline for non-grocery items more in a post-COVID world than you did pre-COVID.Why? - Selected Choice - I can shop 24/7"
"189","onshp_more_5_w1b","You told us that you expect to shoponline for non-grocery items more in a post-COVID world than you did pre-COVID.Why? - Selected Choice - I can more easily compare prices"
"190","onshp_more_6_w1b","You told us that you expect to shoponline for non-grocery items more in a post-COVID world than you did pre-COVID.Why? - Selected Choice - I can avoid going to stores"
"191","onshp_more_7_w1b","You told us that you expect to shoponline for non-grocery items more in a post-COVID world than you did pre-COVID.Why? - Selected Choice - I have a wider variety of choices"
"192","onshp_more_8_w1b","You told us that you expect to shoponline for non-grocery items more in a post-COVID world than you did pre-COVID.Why? - Selected Choice - I do not have to carry my items"
"193","onshp_more_9_w1b","You told us that you expect to shoponline for non-grocery items more in a post-COVID world than you did pre-COVID.Why? - Selected Choice - I can read reviews before I buy"
"194","onshp_more_3_w1b","You told us that you expect to shoponline for non-grocery items more in a post-COVID world than you did pre-COVID.Why? - Selected Choice - Other, please specify:"
"195","onshp_more_3_TEXT_w1b","You told us that you expect to shoponline for non-grocery items more in a post-COVID world than you did pre-COVID.Why? - Other, please specify: - Text"
"196","onshp_less_w1b","You told us that you expect toshop online for non-grocery items less in a post-COVID world than you didpre-COVID. Why?"
"197","soci_pre_1_w1a","Before the COVID-19 pandemic, how often did you use the following virtual interaction technologies, either for business or personal purposes? - Social media (Facebook, Twitter, Snapchat, Instagram, etc.)"
"198","soci_pre_2_w1a","Before the COVID-19 pandemic, how often did you use the following virtual interaction technologies, either for business or personal purposes? - Text messaging/WhatsApp"
"199","soci_pre_3_w1a","Before the COVID-19 pandemic, how often did you use the following virtual interaction technologies, either for business or personal purposes? - Video calling (Skype, FaceTime, Zoom, etc.)"
"200","soci_pre_4_w1a","Before the COVID-19 pandemic, how often did you use the following virtual interaction technologies, either for business or personal purposes? - Email"
"201","soci_pre_5_w1a","Before the COVID-19 pandemic, how often did you use the following virtual interaction technologies, either for business or personal purposes? - Multiplayer online gaming"
"202","soci_pre_6_w1a","Before the COVID-19 pandemic, how often did you use the following virtual interaction technologies, either for business or personal purposes? - Chat software (Slack, IRC, etc.)"
"203","soci_now_1_1_w1a","Consider the past 7 days. On how many days did you use the following virtual interaction technolo... - . - Social media (Facebook, Twitter, Snapchat, Instagram, etc.)"
"204","soci_now_1_1_w1a_miss_desc","Reason for missing values in soci_now_1_1_w1a"
"205","soci_now_1_2_w1a","Consider the past 7 days. On how many days did you use the following virtual interaction technolo... - . - Text messaging/WhatsApp"
"206","soci_now_1_2_w1a_miss_desc","Reason for missing values in soci_now_1_2_w1a"
"207","soci_now_1_3_w1a","Consider the past 7 days. On how many days did you use the following virtual interaction technolo... - . - Video calling (Skype, FaceTime, Zoom, etc.)"
"208","soci_now_1_3_w1a_miss_desc","Reason for missing values in soci_now_1_3_w1a"
"209","soci_now_1_4_w1a","Consider the past 7 days. On how many days did you use the following virtual interaction technolo... - . - Email"
"210","soci_now_1_4_w1a_miss_desc","Reason for missing values in soci_now_1_4_w1a"
"211","soci_now_1_5_w1a","Consider the past 7 days. On how many days did you use the following virtual interaction technolo... - . - Multiplayer online gaming"
"212","soci_now_1_5_w1a_miss_desc","Reason for missing values in soci_now_1_5_w1a"
"213","soci_now_1_6_w1a","Consider the past 7 days. On how many days did you use the following virtual interaction technolo... - . - Chat software (Slack, IRC, etc.)"
"214","soci_now_1_6_w1a_miss_desc","Reason for missing values in soci_now_1_6_w1a"
"215","soci_exp_1_w1a","After COVID-19 is no longer a threat, how often do you expect to use the following virtual interaction technologies relative to before the COVID-19 pandemic? - Social media (Facebook, Twitter, Snapchat, Instagram, etc.)"
"216","soci_exp_2_w1a","After COVID-19 is no longer a threat, how often do you expect to use the following virtual interaction technologies relative to before the COVID-19 pandemic? - Text messaging/WhatsApp"
"217","soci_exp_3_w1a","After COVID-19 is no longer a threat, how often do you expect to use the following virtual interaction technologies relative to before the COVID-19 pandemic? - Video calling (Skype, FaceTime, Zoom, etc.)"
"218","soci_exp_4_w1a","After COVID-19 is no longer a threat, how often do you expect to use the following virtual interaction technologies relative to before the COVID-19 pandemic? - Email"
"219","soci_exp_5_w1a","After COVID-19 is no longer a threat, how often do you expect to use the following virtual interaction technologies relative to before the COVID-19 pandemic? - Multiplayer online gaming"
"220","soci_exp_6_w1a","After COVID-19 is no longer a threat, how often do you expect to use the following virtual interaction technologies relative to before the COVID-19 pandemic? - Chat software (Slack, IRC, etc.)"
"221","driver","Do you have a driver's license?"
"222","bike","Do you own or have regular access to a working bicycle?"
"223","tr_freq_pre_drivealone_w1a","Before the COVID-19 pandemic, how often did you use the following means of transportation (not including walks or bike rides around your neighborhood for exercise, fresh air, dog walking, etc.)? - Drive alone"
"224","tr_freq_pre_carpool_w1a","Before the COVID-19 pandemic, how often did you use the following means of transportation (not including walks or bike rides around your neighborhood for exercise, fresh air, dog walking, etc.)? - Carpool"
"225","tr_freq_pre_privateveh_w1b","Before the COVID-19 pandemic, how often did you use the following means of transportation? Please include any walks or bike rides for exercise or enjoyment. - Private vehicle"
"226","tr_freq_pre_ridehail","Before the COVID-19 pandemic, how often did you use the following means of transportation? Ridehail/Taxi"
"227","tr_freq_pre_transit","Before the COVID-19 pandemic, how often did you use the following means of transportation? Transit"
"228","tr_freq_pre_bike_w1a","Before the COVID-19 pandemic, how often did you use the following means of transportation (not including walks or bike rides around your neighborhood for exercise, fresh air, dog walking, etc.)? - Bicycle"
"229","tr_freq_pre_bikepers_w1b","Before the COVID-19 pandemic, how often did you use the following means of transportation? Please include any walks or bike rides for exercise or enjoyment. - Personal bicycle/scooter"
