Study ID,PTSDpubs ID,"Author, Year",Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Analysis Type,Adjusted Variables in Statistical Analysis,Method for Handling Missing Data,Statistical Analysis,Arms Compared,Assessment Point,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,EPC Calculated: Comparison Standardized Effect Size,EPC Calculated: Comparison Standardized Effect Size Standard Error,EPC Calculated: Comparison Standardized Effect Size 95% CI Lower Bound,EPC Calculated: Comparison Standardized Effect Size 95% CI Upper Bound,EPC Calculated: Comparison  Standardized Effect Size Data Source,Score Difference 1 Detail,Comparison Score Difference 1 Adjusted Indicator,Score Difference 1,Comparison Score Difference 1 Calculated Indicator,Score Difference 1 Standard Deviation,Comparison Score Difference 1 SE Calculated Indicator,Score Difference 1 95% CI Lower Bound,Score Difference 1 95% CI Upper Bound,Comparison Score Difference 1 p value,Score Difference 2 Detail,Comparison Score Difference 2 Adjusted Indicator,Score Difference 2,Comparison Score Difference 2 Calculated Indicator,Score Difference 2 Standard Deviation,Comparison Score Difference 2 SE Calculated Indicator,Score Difference 2 95% CI Lower Bound,Score Difference 2 95% CI Upper Bound,Comparison Score Difference 2 p value,unique_row_identifier,Citation,Study Publication Year,Study Class,Overall ROB Assessment (Study Level),Military Status (Study Level),Race/Ethnicity Reported (Study Level),Trauma Type (Study Level),Trauma Detail (Study Level),Total N Randomized (Study Level),Treatment Focus (Study Level)
acarturk2016,45262,"Acarturk, 2016",Self report,HTQ,HTQ (Arabic version),ITT,Baseline scores,Imputed,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",A vs B,4,Time effect,,,,,,p=0.268,Group x Time interaction,,,,,,p=0.254,,,,,,,,,,,,,,,,,,,,,,,,acarturk2016_Self report_HTQ (Arabic version)_ITT_A vs B_4,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",2016,Psychotherapy,High,Community,Not reported,Terrorism/political violence/forced displacement,,98,PTSD
acarturk2016,45262,"Acarturk, 2016",Self report,IES,IES-R (Arabic version),ITT,Baseline scores,Imputed,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",A vs B,0,Group effect,omega-squared,0.52,,,,p<0.001,,,,,,,,-2.219,0.307,-2.821,-1.616,Follow-up,Endpoint difference,,-37.65,,4.0170000000000003,calculated from CI,-45.66,-29.63,,,,,,,,,,,acarturk2016_Self report_IES-R (Arabic version)_ITT_A vs B_0,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",2016,Psychotherapy,High,Community,Not reported,Terrorism/political violence/forced displacement,,98,PTSD
acarturk2016,45262,"Acarturk, 2016",Self report,IES,IES-R (Arabic version),ITT,Baseline scores,Imputed,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",A vs B,4,Time effect,,,,,,p=0.192,Group x Time interaction,,,,,,p=0.483,-1.972,0.306,-2.585,-1.36,Adjusted MD,Endpoint difference: estimated mean difference,Adjusted,-34.5,,4.375,calculated from CI,-43.25,-25.76,,,,,,,,,,,acarturk2016_Self report_IES-R (Arabic version)_ITT_A vs B_4,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",2016,Psychotherapy,High,Community,Not reported,Terrorism/political violence/forced displacement,,98,PTSD
acierno2017,45948,"Acierno, 2017",Self report,PCL,PCL-M,Completer,,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,A vs B,0,,Estimated effect size,-3.2,90% CI,-8.6,2.1,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acierno2017_Self report_PCL-M_Completer_A vs B_0,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",2017,Psychotherapy,Some Concerns,Veteran,Race and Ethnicity data reported,Combat-related,,150,PTSD
acierno2017,45948,"Acierno, 2017",Self report,PCL,PCL-M,Completer,,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,A vs B,12,,Estimated effect size,-2.8,90% CI,-7.6,2,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acierno2017_Self report_PCL-M_Completer_A vs B_12,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",2017,Psychotherapy,Some Concerns,Veteran,Race and Ethnicity data reported,Combat-related,,150,PTSD
acierno2017,45948,"Acierno, 2017",Self report,PCL,PCL-M,Completer,,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,A vs B,26,,Estimated effect size,0.03,90% CI,-4.9,5,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acierno2017_Self report_PCL-M_Completer_A vs B_26,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",2017,Psychotherapy,Some Concerns,Veteran,Race and Ethnicity data reported,Combat-related,,150,PTSD
acierno2017,45948,"Acierno, 2017",Self report,PCL,PCL-M,ITT,,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,A vs B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acierno2017_Self report_PCL-M_ITT_A vs B_0,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",2017,Psychotherapy,Some Concerns,Veteran,Race and Ethnicity data reported,Combat-related,,150,PTSD
acierno2017,45948,"Acierno, 2017",Self report,PCL,PCL-M,ITT,,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,A vs B,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acierno2017_Self report_PCL-M_ITT_A vs B_12,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",2017,Psychotherapy,Some Concerns,Veteran,Race and Ethnicity data reported,Combat-related,,150,PTSD
acierno2017,45948,"Acierno, 2017",Self report,PCL,PCL-M,ITT,,Multiple imputation,Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.,A vs B,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acierno2017_Self report_PCL-M_ITT_A vs B_26,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",2017,Psychotherapy,Some Concerns,Veteran,Race and Ethnicity data reported,Combat-related,,150,PTSD
acierno2021,1575093,"Acierno, 2021",Self report,PCL,PCL-5,Completer,None,Mixed effects models,"Multilevel models, treatment completers; missing data assumed missing at random",A vs B,0,Group x Time interaction,,,,,,p=0.826,,,,,,,,,,,,,"endpoint difference, in multilevel models",Adjusted,,,,,,,p=0.195,,,,,,,,,,acierno2021_Self report_PCL-5_Completer_A vs B_0,"Acierno R, Jaffe AE, Gilmore AK, et al. A randomized clinical trial of in-person vs. home-based telemedicine delivery of prolonged exposure for PTSD in military sexual trauma survivors. J Anxiety Disord. 2021 Oct;83:102461. doi: 10.1016/j.janxdis.2021.102461. PMID: 34391978.",2021,Psychotherapy,Some Concerns,Veteran,Race and Ethnicity data reported,MST,,136,PTSD
acierno2021,1575093,"Acierno, 2021",Self report,PCL,PCL-5,ITT,None,Mixed effects models,Multilevel models and t-test; missing data assumed missing at random,A vs B,0,Group x Time interaction,,,,,,p=0.673,,,,,,,,0.235,0.173,-0.105,0.575,Follow-up,"endpoint difference, in multilevel models",Adjusted,,,,,,,p=0.381,"endpoint difference, t-test",N,,,,,,,p=0.252,acierno2021_Self report_PCL-5_ITT_A vs B_0,"Acierno R, Jaffe AE, Gilmore AK, et al. A randomized clinical trial of in-person vs. home-based telemedicine delivery of prolonged exposure for PTSD in military sexual trauma survivors. J Anxiety Disord. 2021 Oct;83:102461. doi: 10.1016/j.janxdis.2021.102461. PMID: 34391978.",2021,Psychotherapy,Some Concerns,Veteran,Race and Ethnicity data reported,MST,,136,PTSD
acierno2021,1575093,"Acierno, 2021",Self report,PCL,PCL-5,ITT,None,Assumed missing at random,t-test for comparison of endpoint differences at 3 month follow up,A vs B,12,,,,,,,,,,,,,,,0.349,0.174,0.008,0.69,Follow-up,"endpoint difference, t-test",N,,,,,,,p=0.104,,,,,,,,,,acierno2021_Self report_PCL-5_ITT_A vs B_12,"Acierno R, Jaffe AE, Gilmore AK, et al. A randomized clinical trial of in-person vs. home-based telemedicine delivery of prolonged exposure for PTSD in military sexual trauma survivors. J Anxiety Disord. 2021 Oct;83:102461. doi: 10.1016/j.janxdis.2021.102461. PMID: 34391978.",2021,Psychotherapy,Some Concerns,Veteran,Race and Ethnicity data reported,MST,,136,PTSD
acierno2021,1575093,"Acierno, 2021",Self report,PCL,PCL-5,ITT,None,Assumed missing at random,t-test for comparison of endpoint differences at 6 month follow up,A vs B,26,,,,,,,,,,,,,,,0.041,0.173,-0.298,0.38,Follow-up,"endpoint difference, t-test",N,,,,,,,p=0.848,,,,,,,,,,acierno2021_Self report_PCL-5_ITT_A vs B_26,"Acierno R, Jaffe AE, Gilmore AK, et al. A randomized clinical trial of in-person vs. home-based telemedicine delivery of prolonged exposure for PTSD in military sexual trauma survivors. J Anxiety Disord. 2021 Oct;83:102461. doi: 10.1016/j.janxdis.2021.102461. PMID: 34391978.",2021,Psychotherapy,Some Concerns,Veteran,Race and Ethnicity data reported,MST,,136,PTSD
adenauer2011,37889,"Adenauer, 2011",Structured Clinical Interview,CAPS,CAPS,Completer,,,Repeated-measures ANOVA with Greenhouse-Geisser’s correction of the degrees of freedom as needed; post-hoc Tukey's honest significant difference test; Cohen's d effect sizes,A vs B,16,Treatment x Time interaction,,,,,,p<0.001,,,,,,,,-1.795,0.567,-2.906,-0.684,Follow-up,,,,,,,,,,,,,,,,,,,adenauer2011_Structured Clinical Interview_CAPS_Completer_A vs B_16,"Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.",2011,Psychotherapy,High,Community,Not reported,Terrorism/political violence/forced displacement,,34,PTSD
ahmadi2015,46896,"Ahmadi, 2015",Self report,M-PTSD,M-PTSD (Persian version),Completer,,,ANOVA for continuous variables; Tukey's test for multiple comparisons,A vs B,0,,,,,,,p=0.098,,,,,,,,0.058,0.437,-0.799,0.915,Change,,,,,,,,,,,,,,,,,,,ahmadi2015_Self report_M-PTSD (Persian version)_Completer_A vs B_0,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.",2015,Other mixed,High,Active Duty Military,Not reported,Combat-related,,48,PTSD
ahmadi2015,46896,"Ahmadi, 2015",Self report,M-PTSD,M-PTSD (Persian version),Completer,,,ANOVA for continuous variables; Tukey's test for multiple comparisons,A vs C,0,,,,,,,p<0.001,,,,,,,,-2.325,0.561,-3.424,-1.225,Change,,,,,,,,,,,,,,,,,,,ahmadi2015_Self report_M-PTSD (Persian version)_Completer_A vs C_0,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.",2015,Other mixed,High,Active Duty Military,Not reported,Combat-related,,48,PTSD
ahmadi2015,46896,"Ahmadi, 2015",Self report,M-PTSD,M-PTSD (Persian version),Completer,,,ANOVA for continuous variables; Tukey's test for multiple comparisons,B vs C,0,,,,,,,p<0.001,,,,,,,,-2.563,0.603,-3.745,-1.382,Change,,,,,,,,,,,,,,,,,,,ahmadi2015_Self report_M-PTSD (Persian version)_Completer_B vs C_0,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.",2015,Other mixed,High,Active Duty Military,Not reported,Combat-related,,48,PTSD
ahmadi2015,46896,"Ahmadi, 2015",Self report,M-PTSD,M-PTSD (Persian version),Completer,,,ANOVA for continuous variables; Tukey's test for multiple comparisons,Omnibus,0,,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmadi2015_Self report_M-PTSD (Persian version)_Completer_Omnibus_0,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.",2015,Other mixed,High,Active Duty Military,Not reported,Combat-related,,48,PTSD
ahmadizadeh2018,50480,"Ahmadizadeh, 2018",Self report,PCL,PCL-M,ITT,,LOCF,Repeated measures ANOVA; mixed model analysis; Bonferroni correction for pairwise comparisons; chi-squared for clinically meaningful change,A vs B,0,,Mean difference,3.6,95% CI,-10.13,2.93,p=0.53,,,,,,,,-0.615,0.357,-1.316,0.085,Follow-up,Mean difference; SE 0.53,,3.6,,,,,,,,,,,,,,,,ahmadizadeh2018_Self report_PCL-M_ITT_A vs B_0,"Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.",2018,Nonpharmacologic biological,Some Concerns,Veteran,Not reported,Combat-related,,65,PTSD
ahmadizadeh2018,50480,"Ahmadizadeh, 2018",Self report,PCL,PCL-M,ITT,,LOCF,Repeated measures ANOVA; mixed model analysis; Bonferroni correction for pairwise comparisons; chi-squared for clinically meaningful change,A vs C,0,,Mean difference,-21.1,95% CI,-27.75,-14.5,p=0.0001,,,,,,,,-2.566,0.491,-3.529,-1.603,Follow-up,Mean difference; SE 2.67,,-21.12,,,,,,,,,,,,,,,,ahmadizadeh2018_Self report_PCL-M_ITT_A vs C_0,"Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.",2018,Nonpharmacologic biological,Some Concerns,Veteran,Not reported,Combat-related,,65,PTSD
ahmadizadeh2018,50480,"Ahmadizadeh, 2018",Self report,PCL,PCL-M,ITT,,LOCF,Repeated measures ANOVA; mixed model analysis; Bonferroni correction for pairwise comparisons; chi-squared for clinically meaningful change,B vs C,0,,Mean difference,-17.52,95% CI,-24.05,-10.99,p=0.0001,,,,,,,,-1.99,0.435,-2.843,-1.138,Follow-up,Mean difference; SE 2.63,,-17.52,,,,,,,,,,,,,,,,ahmadizadeh2018_Self report_PCL-M_ITT_B vs C_0,"Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.",2018,Nonpharmacologic biological,Some Concerns,Veteran,Not reported,Combat-related,,65,PTSD
ahmadizadeh2018,50480,"Ahmadizadeh, 2018",Self report,PCL,PCL-M,ITT,,LOCF,Repeated measures ANOVA; mixed model analysis; Bonferroni correction for pairwise comparisons; chi-squared for clinically meaningful change,Omnibus,0,Group x Time interaction,partial eta-squared,0.42,,,,p=0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmadizadeh2018_Self report_PCL-M_ITT_Omnibus_0,"Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.",2018,Nonpharmacologic biological,Some Concerns,Veteran,Not reported,Combat-related,,65,PTSD
