Record ID,Survey Identifier,Survey Timestamp,Author First Name,Author Last Name,CEDEP Program,Specify Other Program,Date,Scientific Work Product Type,Specify Other Scientific Work Product Type,Conference Abstract Type,Other Conference Abstract Type,Name of the conference/meeting or publication the work product was accepted to:,Title of work product,Keyword(s),Keyword(s) 1,Keyword(s) 2,Co-author #1,Co-author #2,Co-author #3,Co-author #4,Co-author #5,Co-author #6,Co-author #7,Co-author #8,Co-author #9,Co-author #10,Abstract/Publication Body,Poster,Was your oral presentation a plenary or keynote session?,Slide Deck,Roundtable Materials,Roundtable Materials 1,Roundtable Materials 2,Do you have other presentation materials?,Specify Other Presentation Materials,Upload Other Presentation Materials,Do you have other presentation materials? 1,Specify Other Presentation Materials 1,Upload Other Presentation Materials 1,Complete?
12,,06/05/2023 01:53:58 PM,Christine,Thomas,FED,,04/28/2023 12:00:00 AM,Publication,,,,MMWR,"Notes from the Field: Shiga Toxin-Producing Escherichia coli O157:H7 Linked to Raw Milk Consumption Associated with a Cow-Share Arrangement - Tennessee, 2022",STEC,Raw Milk,Hemolytic uremic syndrome,Jack Marr,Mugdha Golwalkar,DJ Irving,Kelly Orejuela,Robin Rasnic,Danny Ripley,Brenda Rue,Linda Thomas,Katie Garman,John Dunn,MMWR - STEC Cow-Share.pdf,,,,,,,false,,,,,,Complete
13,,06/06/2023 08:19:41 AM,Michelle,Cascio,SSIP,,05/02/2023 12:00:00 AM,Invited oral presentation (national external meeting),,,,REDCap Public Health Workgroup,REDCAP: Revising Employee Databases- Creating Automated Processes,REDCap,efficiency,processes,,,,,,,,,,,,,true,Revising Employee Databases- creating automated processes.pptx,,,,false,,,,,,Complete
14,,06/06/2023 03:28:09 PM,Christine,Thomas,VPDIP,,01/20/2023 12:00:00 AM,Publication,,,,MMWR,Early and Increased Influenza Activity Among Children,Influenza,Surveillance,,Mary-Margaret Fill,Samir Hanna,Tim Jones,Caitlin Newhouse,Kelly Orejuela,Emma Roth,Sarah Winders,John Dunn,,,Flu MMWR Published.pdf,,,,,,,false,,,,,,Complete
15,,06/06/2023 04:04:47 PM,Mary-Margaret,Fill,SI,,04/24/2023 12:00:00 AM,Invited oral presentation (national external meeting),,,,Preparedness Summit 2023,Preparedness & Response Through A One Health Lens in Tennessee,One Health,Emergency Preparedness,,,,,,,,,,,,,,true,Fill_Plenary Slides_Updated Final_4.21.23.pdf,,,,false,,,,,,Complete
16,,06/07/2023 09:12:51 AM,Kate,Goodin,SSIP,,08/09/2022 12:00:00 AM,Invited oral presentation (national external meeting),,,,International Conference on Emerging Infectious Diseases,Implementation of Data Modernization in Tennessee: A State's Perspective,Data Modernization,Informatics,,,,,,,,,,,,,,false,ICEID 2022 DMI Goodin.pptx,,,,false,,,,,,Complete
17,,06/07/2023 10:09:31 AM,Michelle,Cascio,SSIP,,06/19/2022 12:00:00 AM,Conference Abstract,,Poster presentation,,CSTE,Informatics Data Flow from Positive COVID-19 Report to Public Health Monitoring,COVID-19,Data Flow,Informatics,Katie Garman,Ashley P Keese,Delaney B Lackey,Mary Ellen Travers,Samantha A Mathieson,Caleb Wiedeman,Kate Goodin,Jane Yackley,,,CSTE 2022- Cascio- Informatics Data Flow from Positive COVID-19 Report to Public Health Monitoring.pdf,Cascio- CSTE Data Flow Poster_Final 5.19.22.pdf,,,,,,true,Audio recording of oral poster presentation,CSTE Presentation Recording 2022.m4a,false,,,Complete
19,,06/09/2023 09:55:32 AM,Mugdha,Golwalkar,FED,,06/25/2023 12:00:00 AM,Conference Abstract,,Oral presentation,,CSTE 2023,"An Outbreak of Shiga Toxin-Producing Escherichia coli Associated with a Goat Husbandry Camp - Tennessee, 2022",STEC,Goats,Camp,DJ Irving,Jack Marr,Kelly Orejuela,Danny Ripley,Katie Garman,Robin Rasnic,John Dunn,,,,CSTE_STEC Outbreak_GoatHusbandryCamp_2022_Abstract.pdf,,false,CSTE_2023_GoatCampSTEC.pdf,,,,false,,,,,,Complete
20,,06/16/2023 02:02:17 PM,Nathan,Williams,SSIP,,06/24/2023 12:00:00 AM,Conference Abstract,,Oral presentation,,CSTE Conference,Building a Data Surveillance Process for Electronic Initial Case Reports,eICR,dashboard,,,,,,,,,,,,Abstract.pdf,,false,parserPresentationCSTE.pptx,,,,false,,,,,,Complete
21,,06/20/2023 03:17:32 PM,Judy,Manners,Wb/Zoo,,03/01/2017 12:00:00 AM,Publication,,,,Public Health Foundation Drinking Water Program Improvement,Improving Spring Water Quality with Data and Atypical Partnerships,water wells,Environmental Health,springs,,,,,,,,,,,Tennessee_Improving_Spring_Water_Quality_PHF.pdf,,,,,,,false,,,,,,Complete
22,,06/20/2023 03:28:36 PM,Judy,Manners,Wb/Zoo,,05/22/2017 12:00:00 AM,Invited oral presentation (national external meeting),,,,The Private Well Conference: National Stakeholder Meeting,Springs: what you need to know! Oral Presentation,Spring water,water testing,gastrointestinal illness,,,,,,,,,,,,,true,Tuesday_1045_Manners.pdf,,,,false,,,,,,Complete
23,,06/20/2023 03:38:48 PM,Judy,Manners,Wb/Zoo,,08/14/2017 12:00:00 AM,Publication,,,,"Epidemiology and Infection: 2017 Oct;145(14):2991-2997. doi: 10.1017/S0950268817001790. Epub Aug 14, 2017","Association between wetland presence and incidence of Salmonella enterica serotype Javiana infections in selected US sites, 2005-2011",Salmonella,wetland,GIS,,,,,,,,,,,Huang_sjaviana_Published.pdf,,,,,,,false,,,,,,Complete
24,,06/20/2023 04:53:48 PM,Magdalena,Dorvil-Joanem,COVID,,06/25/2023 12:00:00 AM,Conference Abstract,,Poster presentation,,CSTE 2023 Annual Conference,"Navigating cross sector collaborations for advanced molecular detection during the COVID 19 pandemic: Applications, challenges, opportunities",,,,"Jyoti Narayana, PhD, MPH","Jane Yackley, MPH",,,,,,,,,TDH AC23_Abstract_Final.pdf,TDH APHL 2023 Poster_Final.pdf,,,,,,false,,,,,,Complete
25,,06/21/2023 01:23:42 PM,Judy,Manners,Wb/Zoo,,05/01/2017 12:00:00 AM,Publication,,,,"Journal of Environmental Health, Volume 79, Number 9, May 2017",Cryptosporidiosis Outbreak Associated With a Single Hotel,Cryptospordiosis,swimming pool,water,Mary-Margaret Fill,Katie Garman,Judy Manners,John Dunn,Tim Jones,,,,,,Fill-CryptosporidiosisOutbreakAssociated-2017.pdf,,,,,,,false,,,,,,Complete
26,,06/21/2023 01:39:19 PM,Judy,Manners,Wb/Zoo,,06/01/2017 12:00:00 AM,Publication,,,,"Journal of Environmental Health, Volume 79, Number 10, June 2017","Water Quality Survey of Splash Pads After a Waterborne Salmonellosis Outbreak, Tennessee, 2014",Salmonella,splash pad,water,John Dunn,Tim Jones,,,,,,,,,Water Quality Survey of Splash Pads After a Waterborne Salmonellosis Outbreak Tennessee 2014.pdf,,,,,,,true,Powerpoint,INFORMSlides.pptx,true,Inform Abstract,Clayton_rwi_abs_InFORM.docx,Complete
27,,06/21/2023 01:59:54 PM,Judy,Manners,Wb/Zoo,,06/25/2018 12:00:00 AM,Conference Abstract,,Oral presentation,,NEHA Annual Education Conference,"Working in the Gap: Assessing Private Drinking Water in Tennessee, presentation, Anaheim CA, June 2018",water wells,springs,water quality,,,,,,,,,,,2018_2019 Grantee Meeting Abstract_Final.docx,,false,Working in the Gap2.pptx,,,,false,,,,,,Complete
28,,06/21/2023 02:15:38 PM,Judy,Manners,Wb/Zoo,,07/08/2019 12:00:00 AM,Conference Abstract,,Oral presentation,,NEHA Annual Education Conference,Closing the Gap - Understanding and Improving Private Drinking Water Quality,water wells,drinking water,water quality,,,,,,,,,,,2018_2019 Grantee Meeting Abstract_Final.docx,,false,grantee meeting 2019.pdf,,,,false,,,,,,Complete
29,,06/21/2023 02:30:26 PM,Judy,Manners,Wb/Zoo,,07/08/2019 12:00:00 AM,Conference Abstract,,Oral presentation,,NEHA Annual Education Conference,Environmental Health's Broad Role in Developing a Waterborne Team,waterborne,Environmental Health,program development,Jane Yackley,Mary-Margaret Fill,,,,,,,,,NEHA- Env Health's role in Water_final.docx,,false,Waterborne 2019.pdf,,,,false,,,,,,Complete
30,,06/21/2023 02:40:27 PM,Judy,Manners,Wb/Zoo,,02/09/2022 12:00:00 AM,Invited oral presentation (national external meeting),,,,Astho Common Messaging Standards for Environmental Health Data,Presentation Session: Environmental Health Use Cases,environmental health,data standards,water,,,,,,,,,,,,,false,Astho_EH DATA.pdf,,,,false,,,,,,Complete
31,,06/21/2023 02:55:02 PM,Judy,Manners,Wb/Zoo,,06/27/2022 12:00:00 AM,Conference Abstract,,Oral presentation,,NEHA Annual Education Conference,Tennessee-NEHA Private Well Project,water wells,GIS,population estimates,,,,,,,,,,,TN _Private_Well_Proejct_NEHA AEC June 2022.pdf,,false,TN _Private_Well_Proejct_NEHA AEC June 2022.pdf,,,,false,,,,,,Complete
32,,06/21/2023 03:23:53 PM,Judy,Manners,Wb/Zoo,,06/27/2022 12:00:00 AM,Conference Abstract,,Oral presentation,,NEHA Annual Education Conference,Private Well Workshop,water wells,water quality,,,,,,,,,,,,TN_Private Water Workshop 6_28_22.pdf,,false,TN_Private Water Workshop 6_28_22.pdf,,,,false,,,,,,Complete
33,,06/22/2023 03:18:12 PM,Lindsey,Sizemore,VH,,04/01/2023 12:00:00 AM,Publication,,,,Annals of Epidemiology,Prevalence of hepatitis C virus among fatal drug overdoses in Tennessee: an analysis using 2019-2020 Tennessee State Unintentional Drug Overdose Reporting System Data,hepatitis C,overdose,,Jessica Korona-Bailey,Sarah Riley Saint,Lindsey Sizemore,Heather Wingate,Paula Shoup,Amy Hawes,Sutapa Mukhopadhyay,,,,Annals of Epidemiology.pdf,,,,,,,false,,,,,,Complete
34,,06/22/2023 03:24:13 PM,Lindsey,Sizemore,VH,,06/25/2023 12:00:00 AM,Conference Abstract,,Oral presentation,,CSTE,Examining the Risk of Stillbirth Associated with Sars-Cov-2 Infection during Pregnancy: A Tale of Two States,stillbirth,COVID-19,,Lindsey Sizemore,Heather Wingate,Elizabeth Harvey,Emily Lumley,,,,,,,DRH_Manning_Harvey_ab_Risk of Stillbirth SARS-CoV-2_cleared.pdf,,false,CSTE 2023 COVID Stillbirth Presentation_Shephard.pdf,,,,false,,,,,,Complete
35,,06/22/2023 03:26:35 PM,Lindsey,Sizemore,VH,,06/25/2023 12:00:00 AM,Conference Abstract,,Oral presentation,,CSTE,Routine Hepatitis C Virus Testing and On-Site Linkage to Care Pilot in Two County Detention Facilities in Tennessee,hepatitis C,corrections,navigation,Lindsey Sizemore,Shamia Roberts,Melissa Moon,Pamela Talley,,,,,,,KCDF HCV Testing and Navigation_CSTE Abstract_Submitted.pdf,,false,Routine HCV Testing and On-Site Linkage to Care in County Detention Facilities_CSTE_FINAL_v2.pdf,,,,false,,,,,,Complete
36,,06/22/2023 03:31:41 PM,Lindsey,Sizemore,VH,,06/25/2023 12:00:00 AM,Conference Abstract,,Oral presentation,,CSTE,"Implementation of an Active Surveillance System to Identify In-Hospital Morbidity of People with COVID-19 in Pregnancy during Delta Predominance, Tennessee 2021",active surveillance,COVID-19,,Elizabeth Harvey,Heather Wingate,Ashley Moore,Margaret Major,Emily Lumley,Tobi Amosun,Pamela Talley,Lindsey Sizemore,,,DRH_Harvey_AB_RPC COVID CSTE_CLEARED.pdf,,false,DRH_SL_Harvey_RPC COVID CSTE_20230609_CLEARED.pdf,,,,false,,,,,,Complete
37,,06/22/2023 03:35:33 PM,Lindsey,Sizemore,VH,,06/25/2023 12:00:00 AM,Conference Abstract,,Oral presentation,,CSTE,"Maternal History of Hepatitis C Virus and Risk Factors for Neonatal Abstinence Syndrome among Infants in Tennessee, 2018- 2020",hepatitis C,NAS,substance use disorder,Jennifer Wang,Heather Wingate,Pamela Talley,Janelle Wenstrup,Carolina Clark,Lindsey Sizemore,,,,,HCV and NAS_Submitted.pdf,,false,CSTE2023_NAS_Final_Submission.pdf,,,,false,,,,,,Complete
38,,06/22/2023 03:39:06 PM,Lindsey,Sizemore,VH,,06/25/2023 12:00:00 AM,Conference Abstract,,Oral presentation,,CSTE,"Hepatitis C Virus Care Continuum for the Tennessee Department of Correction Utilizing  Laboratory Reports, 2016-2020",hepatitis C,corrections,care continuum,Paula Shoup,Heather Wingate,Pamela Talley,Lindsey Sizemore,,,,,,,Prison CoC_Abstract_20230104_Final_Submitted.pdf,,false,CSTE_Presentation_Final_06082023.pdf,,,,false,,,,,,Complete
39,,06/23/2023 10:27:14 AM,Grace,Kambach,COVID,,09/28/2022 12:00:00 AM,Conference Abstract,,Poster presentation,,TPHA,COVID-19 Delta and Omicron Hospitalization and Case Fatality in Tennessee,COVID-19,Mortality,COVID Variants,"Sarah Waldo, MPH","Chaitra Subramanya, MPH","Jennifer Jain, RN, MPH","Jane Yackley, MPH","Vanessa Davis, MPH","Jennifer Wang, MPH","Zoe W. Durand, PhD, MPH",,,,TPHA final abstract written.docx,Final TPHA poster.pdf,,,,,,false,,,,,,Complete
41,,06/26/2023 01:33:04 PM,Andrew,Reid,COVID,,09/28/2022 12:00:00 AM,Conference Abstract,,Oral presentation,,Tennessee Public Health Association,Improving Effectiveness and Efficiency of Contact Notification through Automation of Contact Exposure Letters,notification,covid-19,,Claire Robinson,Emily Jookar,Emily Gateley,Jane Yackley,,,,,,,TPHA Poster_final.pdf,,false,TPHA talk.pdf,,,,false,,,,,,Complete
42,,06/27/2023 08:58:40 AM,Emily,Gateley,COVID,,06/09/2023 12:00:00 AM,Publication,,,,MMWR,"Exposures to Mpox Among Cases in Children Aged ≤12 Years - United States, September 25-December 31, 2022",mpox,MMWR,,,,,,,,,,,,"Notes from the Field_ Exposures to Mpox Among Cases in Children Aged ≤12 Years - United States, September 25-December 31, 2022 _ MMWR.pdf",,,,,,,false,,,,,,Complete
43,,06/27/2023 09:32:03 AM,Emily,Gateley,COVID,,03/02/2023 12:00:00 AM,Publication,,,,Emerging Infectious Diseases,"Serial Interval and Incubation Period Estimates of Monkeypox Virus Infection in 12 Jurisdictions, United States, May-August 2022",mpox,EID,Emerging Infectious Diseases,,,,,,,,,,,"Serial Interval and Incubation Period Estimates of Monkeypox Virus Infection in 12 Jurisdictions, United States, May-August 2022.pdf",,,,,,,false,,,,,,Complete
44,,06/30/2023 03:46:17 PM,Jennifer,Wang,COVID,,06/23/2023 12:00:00 AM,Publication,,,,Morbidity and Mortality Weekly Report (MMWR),"Trends in Laboratory-Confirmed SARS-CoV-2 Reinfections and Associated Hospitalizations and Deaths Among Adults Aged ≥18 Years - 18 U.S. Jurisdictions, September 2021-December 2022",,,,Jennifer Wang,Grace Kambach,,,,,,,,,"Trends in Laboratory-Confirmed SARS-CoV-2 Reinfections and Associated Hospitalizations and Deaths Among Adults Aged ≥18 Years - 18 U.S. Jurisdictions, September 2021-December 2022 _ MMWR.pdf",,,,,,,false,,,,,,Complete
45,,07/03/2023 02:33:20 PM,Samir,Hanna,FED,,06/14/2021 12:00:00 AM,Invited oral presentation (national external meeting),,,,"2021 CSTE Conference, NARMS REP Roundtable",REP Strains and Tennessee Collaboration,REP,NARMS,MDR,,,,,,,,,,,,,true,TN Prospective_2021 CSTE NARMS Roundtable_REP Codes.pdf,,,,true,"Improving Public Health Response to Reoccurring, Emerging, and Persisting (REP) Strains of Enteric Bacteria",Improving_Public_Health_Respons_Jared_Reynolds_MPH_2021_CSTE_roundatble_-_REP_stra.pdf,false,,,Complete
46,,07/03/2023 02:58:07 PM,Samir,Hanna,FED,,01/24/2023 12:00:00 AM,Invited oral presentation (national external meeting),,,,2023 InFORM Conference,MDR Salmonella Infantis (REPJFX-01) Linked to Chicken-Tennessee Collaboration,Salmonella,,,,,,,,,,,,,,,true,REPJFX-01_MDR S. Infantis_TN_InForm 2023.pdf,,,,true,Persisting Multidrug-Resistant Salmonella Infantis (REPJFX01),InfantisREP- final (002)_LKFW (002).pdf,false,,,Complete
47,,07/06/2023 08:25:59 AM,Rebecca,Amantia,VH,,05/15/2023 12:00:00 AM,Conference Abstract,,Oral presentation,,NRHA's Health Equity Conference,Ending The Syndemic in Rural Tennessee,Syndemic,Rural,Needs Assessment,Amber Coyne,Abigal Anderson (former TDH intern),,,,,,,,,Health Equity Conference Proposal.docx,,false,Ending The Syndemic in Rural Tennessee_5_14.pdf,,,,false,,,,,,Complete
48,,07/06/2023 08:29:30 AM,Rebecca,Amantia,VH,,05/18/2023 12:00:00 AM,Conference Abstract,,Oral presentation,,STD Engage: Coming Back Stronger,Building Bridges: Tennessee's First Syndemic Needs Assessment,Syndemic,Needs Assessment,Collaboration,Amber Coyne,,,,,,,,,,STD Engage Abstract_2023.pdf,,false,Amantia_STD Engage Presentation_5_18_2023.pdf,,,,false,,,,,,Complete
49,,07/06/2023 10:27:37 AM,Liz,Harris,SI,,06/24/2023 12:00:00 AM,Conference Abstract,,Roundtable,,CSTE 2023 Annual Conference,Addressing the Mental Health Needs of Our Public Health Workforce,Mental Health,Workforce,,,,,,,,,,,,CSTE abstract 2022_23_LH.pdf,,,,CSTE handout_final_LH.pdf,,,false,,,,,,Complete
50,,07/06/2023 02:51:25 PM,Mary-Margaret,Fill,Other,Leadership,06/25/2023 12:00:00 AM,Conference Abstract,,Oral presentation,,CSTE Annual Conference 2023,"Analysis of National Notifiable Disease Reporting Mechanisms - Tennessee, 2022",Surveillance,Informatics,Reportable Diseases,Lindsay Ferraro,,,,,,,,,,Redundant Data CSTE Abstract_Final.pdf,,false,Fill_CSTE Surveillance Presentation_2023.pdf,,,,false,,,,,,Complete
51,,07/07/2023 08:48:16 AM,Caleb,Wiedeman,EP,,09/12/2022 12:00:00 AM,Publication,,,,Journal of the American Medical Informatics Association,Improving efficiency of COVID-19 aggregate case and death surveillance data transmission for jurisdictions: current and future role of application programming interfaces (APIs),COVID-19,API,Reporting,,,,,,,,,,,ocac090.pdf,,,,,,,false,,,,,,Complete
52,,07/07/2023 08:54:35 AM,Caleb,Wiedeman,EP,,12/30/2022 12:00:00 AM,Publication,,,,MMWR,"Demographic and Clinical Characteristics of Mpox in Persons Who Had Previously Received 1 Dose of JYNNEOS Vaccine and in Unvaccinated Persons - 29 U.S. Jurisdictions, May 22-September 3, 2022",Mpox,JYNNEOS,Vaccine,Jacqueline Logan,,,,,,,,,,mm715152a2.pdf,,,,,,,false,,,,,,Complete
53,,07/07/2023 08:57:32 AM,Caleb,Wiedeman,EP,,02/10/2023 12:00:00 AM,Publication,,,,MMWR,"COVID-19 Incidence and Mortality Among Unvaccinated and Vaccinated Persons Aged ≥12 Years by Receipt of Bivalent Booster Doses and Time Since Vaccination - 24 U.S. Jurisdictions, October 3, 2021-December 24, 2022",COVID-19,Vaccine,,Melisse Chasse,,,,,,,,,,mm7206a3.pdf,,,,,,,false,,,,,,Complete
54,,07/07/2023 09:02:00 AM,Caleb,Wiedeman,EP,,06/16/2023 12:00:00 AM,Publication,,,,MMWR,"Notes from the Field: Comparison of COVID-19 Mortality Rates Among Adults Aged ≥65 Years Who Were Unvaccinated and Those Who Received a Bivalent Booster Dose Within the Preceding 6 Months - 20 U.S. Jurisdictions, September 18, 2022-April 1, 2023",COVID-19,Vaccine,,Nadine Rammouni,,,,,,,,,,mm7224a6-H.pdf,,,,,,,false,,,,,,Complete
55,,07/12/2023 12:44:57 PM,Jane,Yackley,Wb/Zoo,,06/01/2019 12:00:00 AM,Conference Abstract,,Oral presentation,,CSTE,"Testing 1-2-3: Benefit of Water Testing during the Investigation of Three Large Waterborne Outbreaks; Tennessee, 2017-2018",Waterborne,Outbreak,Environmental Testing,Judy Manners,Mary-Margaret Fill,John Dunn,,,,,,,,CSTE Abstract_Waterborne Testing_Submitted.pdf,,false,Water Testing CSTE_FINAL.pdf,,,,false,,,,,,Complete
56,,07/12/2023 12:47:27 PM,Jane,Yackley,Wb/Zoo,,07/09/2019 12:00:00 AM,Conference Abstract,,Oral presentation,,NEHA,"Testing 1-2-3: The Utility of Water Testing during Three Large Tennessee Outbreaks, 2017-2018",Waterborne,Outbreak,Environmental Testing,Judy Manners,Mary-Margaret Fill,John Dunn,,,,,,,,NEHA Abstract_Waterborne Testing_9.25.18.pdf,,false,Water Testing NEHA_7.9.19.pdf,,,,false,,,,,,Complete
57,,07/12/2023 12:49:25 PM,Jane,Yackley,Wb/Zoo,,06/04/2019 12:00:00 AM,Conference Abstract,,Roundtable,,CSTE,Environmental Health's Broad Role in Developing a Waterborne Team,Environmental Health,Waterborne,,Judy Manners,Mary-Margaret Fill,,,,,,,,,CSTE Roundtable_Environmental Health.pdf,,,,,,,false,,,,,,Complete
58,,07/20/2023 10:21:57 AM,Heather,Wingate,VH,,08/14/2023 12:00:00 AM,Conference Abstract,,Poster presentation,,National Birth Defects Prevention Network 2023 Conference,"Hepatitis C Virus in Pregnancy and Infant Birth Defect Outcomes among Live Births, Tennessee 2016-2019",hepatitis C,birth defects,,,,,,,,,,,,BD and HCV NBDPN Abstract.pdf,NBDPN poster HWingate.pdf,,,,,,false,,,,,,Complete
59,,07/24/2023 08:26:47 AM,Simone,Godwin,HAI,,06/25/2023 12:00:00 AM,Conference Abstract,,Oral presentation,,CSTE,"Evaluating Racial Disparities in Central Line Associated Bloodstream Infections for Tennessee Hospitals, 2018-2021",Bloodstream Infections,Health Disparities,,Erika Kirtz,Christopher Wilson,,,,,,,,,CLABSI Disparities CSTE.pdf,,false,CSTE CLABSI Disparities_forupload.pdf,,,,false,,,,,,Complete
60,,07/24/2023 02:10:16 PM,Erin,Hitchingham,HAI,,06/25/2023 12:00:00 AM,Conference Abstract,,Poster presentation,,CSTE,Comparison of Clinical Antibiotic Susceptibility Testing (AST) Interpretations to the Clinical and Laboratory Standards Institute (CSLI) Standard Interpretations,Antibiotics,CRE,Susceptibility,Ashley Gambrell,Raquel Villegas,Daniel Muleta,,,,,,,,CLSI CSTE.pdf,CLSI_Poster final.pdf,,,,,,false,,,,,,Complete
61,,07/24/2023 02:27:19 PM,Ashley,Gambrell,HAI,,06/25/2023 12:00:00 AM,Conference Abstract,,Poster presentation,,CSTE,"Factors Associated with High Influenza Vaccination amongst Healthcare Workers in Tennessee Acute Care Hospitals, 2014 - 2022",Healthcare Workers,Influenza,Vaccination,Katherine Witcher,Raquel Villegas,Christopher Wilson,Simone Godwin,,,,,,,Factors associated with meeting HHS Benchmark for Influenza Vaccination amongst Healthcare Workers.pdf,CSTE HCP Influenza Vaccinations Poster.pdf,,,,,,false,,,,,,Complete
