id,Title,Authors,Keywords,Published Year,Journal,DOI,States,Cities,Geography Keywords,Citation
13,Associations of Neighborhood Opportunity and Social Vulnerability With Trajectories of Childhood Body Mass Index and Obesity Among US Children,"Aris, I. M.; Perng, W.; Dabelea, D.; Padula, A. M.; Alshawabkeh, A.; Velez-Vega, C. M.; Aschner, J. L.; Camargo, C. A., Jr.; Sussman, T. J.; Dunlop, A. L.; Elliott, A. J.; Ferrara, A.; Zhu, Y.; Joseph, C. L. M.; Singh, A. M.; Hartert, T.; Cacho, F.; Karagas, M. R.; North-Reid, T.; Lester, B. M.; Kelly, N. R.; Ganiban, J. M.; Chu, S. H.; O'Connor, T. G.; Fry, R. C.; Norman, G.; Trasande, L.; Restrepo, B.; James, P.; Oken, E.","Female; Infant, Newborn; Pregnancy; Adolescent; Humans; Male; Child, Preschool; Child; Infant; Body Mass Index; Cohort Studies; Social Vulnerability; Obesity[Epidemiology]; Obesity[Complications]; Obesity; Parturition",2022,JAMA Network Open,10.1001/jamanetworkopen.2022.47957,NA,NA,Tract Neighborhood,"Aris, I. M., Perng, W., Dabelea, D., Padula, A. M., Alshawabkeh, A., Valez-Vega, C. M., Aschner, J. L., Camargo, C. A., Sussman, T. J., Dunlop, A. L., Elliott, A. J., Ferrara, A., Zhu, Y., Joseph, C. L. M., Singh, A. M., Hartert, T., Cacho, F., Karagas, M. R., North-Reid, T. (2022). Associations of Neighborhood Opportunity and Social Vulnerability With Trajectories of Childhood Body Mass Index and Obesity Among US Children. JAMA Network Open, 5(12), e2247957. https://doi.org/10.1001/jamanetworkopen.2022.47957"
14,Trends in COVID-19 Vaccine Administration and Effectiveness Through October 2021,"Winkelman, T. N. A.; Rai, N. K.; Bodurtha, P. J.; Chamberlain, A. M.; DeSilva, M.; Jeruzal, J.; Johnson, S. G.; Kharbanda, A.; Klyn, N.; Mink, P. J.; Muscoplat, M.; Waring, S.; Yu, Y.; Drawz, P. E.",Vaccine; Adult; BNT162 Vaccine; COVID-19; Prevention; Control; COVID-19 Vaccines; Cohort Studies; SARS-CoV-2; Viral Vaccines,2022,JAMA Network Open,10.1001/jamanetworkopen.2022.5018,Minnesota,NA,State Rural Urban,"Winkelman, T. N. A., Rai, N. K., Bodurtha, P. J., Chamberlain, A. M., DeSilva, M., Jeruzal, J., Johnson, S. G., Kharbanda, A., Klyn, N., Mink, P. J., Muscoplat, M., Waring, S., Yu, Y., & Drawz, P. E. (2022). Trends in COVID-19 Vaccine Administration and Effectiveness Through October 2021. JAMA Network Open, 5(3), e225018. https://doi.org/10.1001/jamanetworkopen.2022.5018"
15,The Role of Prenatal Psychosocial Stress in the Associations of a Proinflammatory Diet in Pregnancy with Child Adiposity and Growth Trajectories,"Monthe-Dreze, C.; Aris, I. M.; Rifas-Shiman, S. L.; Shivappa, N.; Hebert, J. R.; Oken, E.; Sen, S.","Pregnancy; Adolescent; Humans; Female; Child, Preschool; Adult; Adiposity; Cohort Studies; Prospective Studies; Pediatric Obesity[Epidemiology]; Pediatric Obesity; Diet; Stress, Psychological[Epidemiology]",2023,JAMA Network Open,10.1001/jamanetworkopen.2022.51367,Massachusetts,NA ,NA,"Monthe-Dreze, C.; Aris, I. M.; Rifas-Shiman, S. L.; Shivappa, N.; Hebert, J. R.; Oken, E.; Sen, S. (2023). The Role of Prenatal Psychosocial Stress in the Associations of a Proinflammatory Diet in Pregnancy with Child Adiposity and Growth Trajectories. JAMA Network Open, 6(1), E2251367. doi:https://dx.doi.org/10.1001/jamanetworkopen.2022.51367"
16,Assessment of Community-Level Vulnerability and Access to Medications for Opioid Use Disorder,"Joudrey, P. J.; Kolak, M.; Lin, Q.; Paykin, S.; Anguiano, V., Jr.; Wang, E. A.","Analgesics, Opioid[Therapeutic Use]; Buprenorphine[Therapeutic Use]; Buprenorphine; Cross-Sectional Studies; Health Services Accessibility; Humans; Methadone[Therapeutic Use]; Naltrexone[Therapeutic Use]; Opiate Substitution Treatment[Methods]; Opioid-Related Disorders[Drug Therapy]; Opioid-Related Disorders[Epidemiology]; Opioid-Related Disorders; United States[Epidemiology]; COVID-19 Drug Treatment; 4 D3SCR4GZ ; 5S6W795CQM ; UC6VBE7V1Z",2022,JAMA Network Open,10.1001/jamanetworkopen.2022.7028,"Washington, DC",NA,State Rural Urban Community,"Joudrey, P. J., Kolak, M., Lin, Q., Paykin, S., Anguiano, V., & Wang, E. A. (2022). Assessment of Community-Level Vulnerability and Access to Medications for Opioid Use Disorder. JAMA Network Open, 5(4), e227028. https://doi.org/10.1001/jamanetworkopen.2022.7028"
17,Inclusion of Race and Ethnicity with Neighborhood Socioeconomic Deprivation When Assessing COVID-19 Hospitalization Risk among California Veterans Health Administration Users,"Wong, M. S.; Brown, A. F.; Washington, D. L.","svi, social, vulnerability, health, index, level, study, risk, outcomes, age, covid, rates, association, results, vulnerable, disparities, socioeconomic, analysis, odds, conclusion, race, black, lower, hispanic, included, low, related, result, white",2023,JAMA Network Open,10.1001/jamanetworkopen.2023.1471,California,NA ,NA,"Wong, M. S.; Brown, A. F.; Washington, D. L. (2023). Inclusion of Race and Ethnicity with Neighborhood Socioeconomic Deprivation When Assessing COVID-19 Hospitalization Risk among California Veterans Health Administration Users. JAMA Network Open, 6(3), E231471. doi:https://dx.doi.org/10.1001/jamanetworkopen.2023.1471"
18,Association of Community Vulnerability and State Gun Laws With Firearm Deaths in Children and Adolescents Aged 10 to 19 Years,"Kwon, E. G.; Rice-Townsend, S. E.; Agoubi, L. L.; Rowhani-Rahbar, A.; Nehra, D.","svi, social, vulnerability, health, index, level, study, outcomes, mortality, disease, age, rates, association, results, vulnerable, compared, census, conclusion, lower, low, related, result",2023,JAMA Network Open,10.1001/jamanetworkopen.2023.14863,NA,NA ,NA,"Kwon, E. G.; Rice-Townsend, S. E.; Agoubi, L. L.; Rowhani-Rahbar, A.; Nehra, D. (2023). Association of Community Vulnerability and State Gun Laws With Firearm Deaths in Children and Adolescents Aged 10 to 19 Years. JAMA Network Open, 6(5), E2314863. doi:https://dx.doi.org/10.1001/jamanetworkopen.2023.14863"
19,The Association of Dialysis Facility Payer Mix With Access to Kidney Transplantation,"Cron, D. C.; Tsai, T. C.; Patzer, R. E.; Husain, S. A.; Xiang, L.; Adler, J. T.",dialysis; kidney transplant; kidney; social vulnerability index (SVI,2023,JAMA Network Open,10.1001/jamanetworkopen.2023.22803,"Alaska,Hawaii",NA ,NA,"Cron, D. C.; Tsai, T. C.; Patzer, R. E.; Husain, S. A.; Xiang, L.; Adler, J. T. (2023). The Association of Dialysis Facility Payer Mix With Access to Kidney Transplantation. JAMA Network Open, 6(7). doi:10.1001/jamanetworkopen.2023.22803"
20,Neurological and Psychological Sequelae Associated with Multisystem Inflammatory Syndrome in Children,"Rollins, C. K.; Calderon, J.; Wypij, D.; Taylor, A. M.; Davalji Kanjiker, T. S.; Rohde, J. S.; Maiman, M.; Zambrano, L. D.; Newhams, M. M.; Rodriguez, S.; Hart, N.; Worhach, J.; Kucukak, S.; Poussaint, T. Y.; Son, M. B. F.; Friedman, M. L.; Gertz, S. J.; Hobbs, C. V.; Kong, M.; Maddux, A. B.; McGuire, J. L.; Licht, P. A.; Staat, M. A.; Yonker, L. M.; Mazumdar, M.; Randolph, A. G.; Campbell, A. P.; Newburger, J. W.",neurological; brain; psychological; multisystem inflammatory syndrome; children,2023,JAMA Network Open,10.1001/jamanetworkopen.2023.24369,NA,NA ,NA,"Rollins, C. K.; Calderon, J.; Wypij, D.; Taylor, A. M.; Davalji Kanjiker, T. S.; Rohde, J. S.; Maiman, M.; Zambrano, L. D.; Newhams, M. M.; Rodriguez, S.; Hart, N.; Worhach, J.; Kucukak, S.; Poussaint, T. Y.; Son, M. B. F.; Friedman, M. L.; Gertz, S. J.; Hobbs, C. V.; Kong, M.; Maddux, A. B.; McGuire, J. L.; Licht, P. A.; Staat, M. A.; Yonker, L. M.; Mazumdar, M.; Randolph, A. G.; Campbell, A. P.; Newburger, J. W. (2023). Neurological and Psychological Sequelae Associated with Multisystem Inflammatory Syndrome in Children. JAMA Network Open, 6(7), E2324369. doi:10.1001/jamanetworkopen.2023.24369"
21,Season of Conception and Risk of Cerebral Palsy,"Zhuo, H.; Ritz, B.; Warren, J. L.; Liew, Z.","social, vulnerability, index, level, study, risk, outcomes, factors, status, age, association, results, compared, regression, conclusion, race, black, increased, based, hispanic, result, white",2023,JAMA Network Open,10.1001/jamanetworkopen.2023.35164,California,NA ,NA,"Zhuo, H.; Ritz, B.; Warren, J. L.; Liew, Z. (2023). Season of Conception and Risk of Cerebral Palsy. JAMA Network Open, 6(9), E2335164. doi:https://dx.doi.org/10.1001/jamanetworkopen.2023.35164"
22,Patient Outcomes After Long-Term Acute Care Hospital Closures,"Law, A. C.; Bosch, N. A.; Song, Y.; Tale, A.; Yeh, R. W.; Kahn, J. M.; Stevens, J. P.; Walkey, A. J.",hospital; social vulnerability; acute care; hospital closure,2023,JAMA Network Open,10.1001/jamanetworkopen.2023.44377,NA,NA ,NA,"Law, A. C.; Bosch, N. A.; Song, Y.; Tale, A.; Yeh, R. W.; Kahn, J. M.; Stevens, J. P.; Walkey, A. J. (2023). Patient Outcomes After Long-Term Acute Care Hospital Closures. JAMA Network Open, E2344377. doi:10.1001/jamanetworkopen.2023.44377"
23,"US County-Level Variation in Preterm Birth Rates, 2007-2019","Khan, S. S.; Vaughan, A. S.; Harrington, K.; Seegmiller, L.; Huang, X.; Pool, L. R.; Davis, M. M.; Allen, N. B.; Capewell, S.; O'Flaherty, M.; Miller, G. E.; Mehran, R.; Vogel, B.; Kershaw, K. N.; Lloyd-Jones, D. M.; Grobman, W. A.","social, vulnerability, health, index, level, study, data, risk, outcomes, mortality, age, rates, association, counties, compared, disparities, county, regression, conclusion, based, low, result, significant",2023,JAMA Network Open,10.1001/jamanetworkopen.2023.46864,California,NA ,NA,"Khan, S. S.; Vaughan, A. S.; Harrington, K.; Seegmiller, L.; Huang, X.; Pool, L. R.; Davis, M. M.; Allen, N. B.; Capewell, S.; O'Flaherty, M.; Miller, G. E.; Mehran, R.; Vogel, B.; Kershaw, K. N.; Lloyd-Jones, D. M.; Grobman, W. A. (2023). US County-Level Variation in Preterm Birth Rates, 2007-2019. JAMA Network Open, 6(12), E2346864. doi:https://dx.doi.org/10.1001/jamanetworkopen.2023.46864"
24,Use of New Audio-Only Telemedicine Claim Modifiers,"Morenz, A. M.; Staloff, J.; Liao, J. M.; Wong, E. S.","social, vulnerability, health, index, level, study, data, care, outcomes, age, association, compared, conclusion, race, access, included, low, result",2023,JAMA Network Open,10.1001/jamanetworkopen.2023.48224,Washington,NA ,NA,"Morenz, A. M.; Staloff, J.; Liao, J. M.; Wong, E. S. (2023). Use of New Audio-Only Telemedicine Claim Modifiers. JAMA Network Open, 6(12) (no pagination). doi:https://dx.doi.org/10.1001/jamanetworkopen.2023.48224"
25,Risk Factors for Severe Maternal Morbidity AmongWomen Enrolled in Mississippi Medicaid,"Maharjan, S.; Goswami, S.; Rong, Y.; Kirby, T.; Smith, D.; Brett, C. X.; Pittman, E. L.; Bhattacharya, K.","social, vulnerability, health, index, level, study, data, care, risk, outcomes, factors, age, rates, association, results, vulnerable, compared, regression, analysis, odds, conclusion, race, black, lower, population, access, hispanic, adjusted, included, low, related, result, white",2024,JAMA Network Open,10.1001/jamanetworkopen.2023.50750,Mississippi,NA ,NA,"Maharjan, S.; Goswami, S.; Rong, Y.; Kirby, T.; Smith, D.; Brett, C. X.; Pittman, E. L.; Bhattacharya, K. (2024). Risk Factors for Severe Maternal Morbidity AmongWomen Enrolled in Mississippi Medicaid. JAMA Network Open. doi:10.1001/jamanetworkopen.2023.50750"
26,"Social Vulnerability and Risk of Suicide in US Adults, 2016-2020","Liu, S.; Morin, S. B.; Bourand, N. M.; Declue, I. L.; Delgado, G. E.; Fan, J.; Foster, S. K.; Imam, M. S.; Johnston, C. B.; Joseph, F. B.; Lu, Y.; Sehrawat, U.; Su, L. C.; Tavan, K.; Zhang, K. L.; Zhang, X.; Saulsberry, L.; Gibbons, R. D.","svi, social, vulnerability, index, level, study, data, risk, outcomes, disease, age, rates, association, results, vulnerable, counties, county, regression, conclusion, population, adjusted, result",2023,JAMA Network Open,10.1001/jamanetworkopen.2023.9995,NA,NA ,NA,"Liu, S.; Morin, S. B.; Bourand, N. M.; Declue, I. L.; Delgado, G. E.; Fan, J.; Foster, S. K.; Imam, M. S.; Johnston, C. B.; Joseph, F. B.; Lu, Y.; Sehrawat, U.; Su, L. C.; Tavan, K.; Zhang, K. L.; Zhang, X.; Saulsberry, L.; Gibbons, R. D. (2023). Social Vulnerability and Risk of Suicide in US Adults, 2016-2020. JAMA Network Open, 6(4), E239995. doi:10.1001/jamanetworkopen.2023.9995"
27,Early-Life Exposure to Air Pollution and Childhood Asthma Cumulative Incidence in the ECHO CREW Consortium,"Zanobetti, A.; Ryan, P. H.; Coull, B. A.; Luttmann-Gibson, H.; Datta, S.; Blossom, J.; Brokamp, C.; Lothrop, N.; Miller, R. L.; Beamer, P. I.; Visness, C. M.; Andrews, H.; Bacharier, L. B.; Hartert, T.; Johnson, C. C.; Ownby, D. R.; Khurana Hershey, G. K.; Joseph, C. L. M.; Mendona§a, E. A.; Jackson, D. J.; Zoratti, E. M.; Wright, A. L.; Martinez, F. D.; Seroogy, C. M.; Ramratnam, S. K.; Calatroni, A.; Gern, J. E.; Gold, D. R.","health, level, study, care, risk, outcomes, factors, age, association, results, compared, socioeconomic, analysis, census, conclusion, race, black, increased, population, hispanic, adjusted, included, low, result, white, significant",2024,JAMA Network Open,10.1001/jamanetworkopen.2024.0535,NA,NA ,NA,"Zanobetti, A.; Ryan, P. H.; Coull, B. A.; Luttmann-Gibson, H.; Datta, S.; Blossom, J.; Brokamp, C.; Lothrop, N.; Miller, R. L.; Beamer, P. I.; Visness, C. M.; Andrews, H.; Bacharier, L. B.; Hartert, T.; Johnson, C. C.; Ownby, D. R.; Khurana Hershey, G. K.; Joseph, C. L. M.; Mendona§a, E. A.; Jackson, D. J.; Zoratti, E. M.; Wright, A. L.; Martinez, F. D.; Seroogy, C. M.; Ramratnam, S. K.; Calatroni, A.; Gern, J. E.; Gold, D. R. (2024). Early-Life Exposure to Air Pollution and Childhood Asthma Cumulative Incidence in the ECHO CREW Consortium. JAMA Network Open, 7(2), E240535. doi:10.1001/jamanetworkopen.2024.0535"
28,Buprenorphine Prescribing and Challenges Faced Among National Health Service Corps Clinicians,"Rowan, K.; Shah, S. V.; Binns, S.; Murphy, E.; Satorius, J.; Ghobadi, A.; Krauss, D.; Robbins, C.; Schoebel, V.; Knudson, A.; Kepley, H.","social, patients, vulnerability, health, index, study, data, care, outcomes, age, association, results, patient, conclusion, increased, access, result, significant",2024,JAMA Network Open,10.1001/jamanetworkopen.2024.11742,NA,NA ,NA,"Rowan, K.; Shah, S. V.; Binns, S.; Murphy, E.; Satorius, J.; Ghobadi, A.; Krauss, D.; Robbins, C.; Schoebel, V.; Knudson, A.; Kepley, H. (2024). Buprenorphine Prescribing and Challenges Faced Among National Health Service Corps Clinicians. JAMA Network Open, 7(5), E2411742. doi:https://dx.doi.org/10.1001/jamanetworkopen.2024.11742"
