"agency_acronym","agency_name","active_agency_name","policy_area","data_coordinator_appointed","data_inventory_or_inventory","open_data_plan_submitted","agency_open_data_publishing","agency_open_data_plan","current_reporting_period"
"DCBS","Department of Consumer and Business Services","CONSUMER & BUS SRVCS, DEPT","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Department of Consumer and Business Services (DCBS) works to protect and serve Oregonâ€™s consumers and workers while supporting a positive business climate. As Oregonâ€™s largest consumer protection and business regulatory agency, DCBS is a resource to consumers and businesses in areas involving: finance (insurance, investments, Oregon-chartered banks and credit unions, consumer finance companies, mortgage lenders, pawnbrokers, and payday lenders), workplace health and safety, and building safety. 

DCBS has finished creating its initial agency data inventory of 96 datasets and identified data related to Oregon OSHA's enforcement activities, including inspections, citations, violations, and penalties, as the most valuable resources to focus on publishing at this time. We will enter a planning phase to prioritize and prepare these types of datasets for publication to the Oregon Open Data Portal (data.oregon.gov) during the 2023-25 biennium. We will also evaluate currently published datasets and analyze the need for modifications to ensure they meet the standards set by the Open Data Program. The agency anticipates being able to pilot automated publishing and updating of these datasets to data.oregon.gov during the 2023-25 biennium.","2023"
"DEQ","Department of Environmental Quality","ENVI QUALITY, DEPT","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Department of Environmental Quality (DEQ)â€™s mission is to be a leader in restoring, maintaining and enhancing the quality of Oregon's air, land and water. From monitoring and assessing the quality of our air, water and soil, through regulation that reduces pollution, and looking ahead to what climate change may bring, DEQ supports businesses, communities, and municipalities statewide to preserve and protect Oregon's natural resources and human health.

The datasets captured within the DEQ inventory encapsulate the data created, received, or maintained as each program area carries out their daily work. DEQ submitted a partial inventory of 22 datasets and plans to submit the remaining inventory of approximately 80-100 by August, 2022. DEQ will remain in the planning stage this biennium as we complete the data inventory and identify priority datasets for future publication. During this planning phase we do plan to publish the DEQ public records requests dataset as a pilot project.","2023"
"DHS","Department of Human Services","HUMAN SERVICES, DEPT OF","HEALTH","COMPLETED","EXCEPTION GRANTED","COMPLETED","PLANNING","The Oregon Department of Human Services (ODHS) is Oregonâ€™s principal agency for helping Oregonians achieve wellbeing and independence through opportunities that protect, empower, respect choice, and preserve dignity, especially for those who are least able to help themselves. Achieving equity is foundational to our work, and we are committed to integrating equity into all that we do. ODHS provides direct service to more than 1 million Oregonians each year. These services provide a key safety net for those in our society who are most vulnerable or who are at a difficult place in their life. Key functions serve children, adults, families, seniors, and people with disabilities through programs such as food stamps, Temporary Assistance for Needy Families, vocational rehabilitation, and many others.

Together, ODHS and the Oregon Health Authority (OHA) provide critical services to Oregonians services including health care, food assistance, programs for people with disabilities and many others. Due to the complex and interrelated nature our work, OHA and ODHS are partnering to provide one joint inventory of agency datasets and are coordinating on efforts to inventory, model, and map data while planning for enterprise data management and data governance. 

ODHS and OHA are in the PLANNING phase of the Open Data project. We do not anticipate publishing any datasets during the current biennium (beyond those that are already published) due to the preparation and resourcing required to identify and prepare data for publication. The agency is only now beginning its inventory, mapping, modeling, management, and governance planning. Due to the quantity of data systems, number of distinct program areas, and number of data collections, much work remains to identify all datasets and answer Open Data project questions related to each.","2023"
"DLCD","Department of Land Conservation and Development","LAND CONSERV & DEV, DEPT OF","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Department of Land Conservation and Development (DLCD) is in a planning phase for the Open Data Project. The majority of DLCD datasets are already publicly available via our Oregon.gov website or other sources. Due to staff resource constraints, we have had limited capacity to devote the necessary time to develop the plan for preparing the other datasets to be published. We anticipate this task to be taken on by a new agency CIO once that position is successfully filled early 2023.","2023"
"DOC","Oregon Department of Corrections","CORRECTIONS, DEPT OF","PUBLIC SAFETY","COMPLETED","PARTIAL","COMPLETED","PLANNING","The Oregon Department of Corrections (ODOC) is responsible for managing the corrections system in the state of Oregon. ODOC's primary mission is to promote public safety and reduce recidivism by supervising and providing rehabilitative services to individuals in custody, on parole, or on probation. ODOC oversees a network of correctional facilities and programs aimed at addressing the needs of Adults in Custody (AIC), helping them transition back into the community, and ensuring the secure confinement of those sentenced to incarceration. 
 
The ODOC is dedicated to the principles of transparency, accountability, and public engagement. Our open data initiative is guided by the following objectives:
â€¢	Enhancing Transparency: ODOC aims to provide the public with accessible, accurate, and up-to-date information about our operations and corrections system.
â€¢	Fostering Accountability: We believe that accountability is fostered through data transparency. By making data available, we enable the public to assess our performance and hold us accountable.
â€¢	Promoting Innovation: ODOC recognizes that valuable insights and applications can be derived from our data. We encourage innovation by allowing developers, researchers, and the public to leverage our data to generate solutions and improvements.
â€¢	Protecting Privacy: We are committed to safeguarding the personal and sensitive information of individuals involved in the corrections system. Data release will be governed by strict privacy measures.
â€¢	Legal and Ethical Compliance: ODOC will ensure that data release aligns with all applicable federal, state, and local laws, as well as ethical guidelines.
The ODOCâ€™s Open Data Plan aims to address the unique challenge of managing and sharing data that is entered into outdated and disparate systems. Our primary Correctional Information Systems contain information for both AICs within a facility and in the community that include a wide set of data regarding demographics, sentencing, offense, classification, assessments, screenings, behavioral performance, case plans, medication information, participating in rehabilitation and programming, release planning, employment, visitation, grievance, incident reports, use of force, audits, policies, and other operations information. 
 
While disparate data systems can present complexities, ODOC remains determined to harness the full potential of our data assets for the benefit of our stakeholders, and the public, while upholding privacy and security standards. ODOC will continue actively working towards establishing an effective open data inventory and is committed to cataloging all relevant data sets, creating a user-friendly data catalog with comprehensive metadata, and prioritizing the release of data that enhances public understanding. 
 
To achieve this, ODOC will establish robust data governance policies to ensure data quality and privacy compliance, engaging with stakeholders for their input, and developing user-friendly access tools, such as APIs and data visualizations. By consistently updating the inventory and fostering transparency through regular reports, the department is focused on enhancing accountability and community engagement, ultimately contributing to a more informed and open criminal justice system.","2023"
"DOGAMI","Department of Geology And Mineral Industries","GEOLOGY & MINERAL IND, DEPT OF","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","DOGAMI helps increase understanding of Oregonâ€™s geologic resources and hazards through science and stewardship. The Geological Survey & Services (GSS) program develops maps, reports, and data to help Oregon manage natural resources and prepare for natural hazards with focus areas including geologic hazards (earthquakes, landslides, floods, and coastal erosion), geologic mapping, and high-resolution lidar data collection. The Mineral Land Regulation & Reclamation program oversees the stateâ€™s mineral production and works to minimize impacts of natural resource extraction and maximize opportunities for land reclamation. 

DOGAMI has undertaken the following activities in support of completing a data inventory:
â€¢	Convened a joint meeting of representatives from both agency programs (Mineral Land Regulation & Reclamation and Geologic Survey & Services) to determine the scope of data to be included in the inventory;
â€¢	Attended a detailed and informative meeting with the Data Governance and Transparency office;
â€¢	Identified program areas where data is to be gathered; and
â€¢	Identified the locations of DOGAMI publication data inventories.

While efforts to find qualifying data continue, DOGAMI has so far identified one dataset for publishing on data.oregon.gov. DOGAMIâ€™s GSS program publishes geoscience research papers, bulletins, fact sheets, maps, and other documents to disseminate DOGAMIâ€™s research findings to the public. The publications are currently housed in a searchable repository on the DOGAMI website that contains publications dated as early as 1937. New publications are added to the dataset frequently.

Through these activities, DOGAMI has determined that with the large quantity and diversity of data, and the limited capacity of staff, that a more realistic and achievable deadline for completion and submission of the Open Data inventory is December 1, 2022.","2023"
"DOJ","Department of Justice","JUSTICE, DEPT OF","PUBLIC SAFETY","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Department of Justice aims to be open, transparent, and accountable to our stakeholders
and foster constructive dialogue and informed decision making. We are committed to leveraging open
data and technology standards to further our mission. We plan to make data available, where possible,
to the public to help monitor, evaluate, and improve services, support collaboration, and allow insights
into publicly available activities.

Of paramount is the need to protect public safety, privacy, and confidentiality when releasing data. The
development of our open data plan will ensure data is released responsibility. We will selectively
publish datasets to meet our stakeholderâ€™s needs, while ensuring the appropriate technical and legal
controls remain in place. This includes properly verifying data, releasing data through appropriate
channels, and ensuring the data follows privacy and security best practices. Our open data plan will
include providing resources to our stakeholders such as open data principles, data quality, and
standards.","2023"
"DOR","Department of Revenue","REVENUE, DEPT OF","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","COMPLETED","COMPLETED","PLANNING","Oregon Department of Revenue Open Data Plan 
Approved by Revenue Leadership Team May 19, 2022
for June 2022 through June 2024

The Oregon Department of Revenue administers Oregon tax laws, supports partnersâ€™ programs, and acts as a central debt collection agency for other state agencies, boards, commissions, and local governments. We provide services for the general public, tax professionals, cities, counties, local taxing districts, tribal governments, and other state agencies.  The datasets captured within the DOR inventory have to do with tax returns, operations, and financial information for 57 revenue streams managed by the Department.  The nature of tax data includes highly confidential information, which cannot be made public in its original form.
DOR has inventoried 187 datasets, approximately 39 of which are already published in some form by DOR or another agency.  For this cycle, the Department intends to allocate the resources and design the processes required to sustain the transferring of datasets already made available online to the data.oregon.gov website and keeping them up to date. As part of this effort, DOR will pilot posting one or more existing datasetsâ€”which it has already published onlineâ€”to the data.oregon.gov website.  Further planning work will entail prioritizing potential datasets to be published in the 24-26 open data cycle.","2023"
"DPSST","Department of Public Safety Standards and Training","PUBLIC SAFETY STANDARDS & TRNG","PUBLIC SAFETY","PENDING","PENDING","PENDING","PENDING",,"2023"
"DSL","Department of State Lands","LANDS, DEPT OF ST","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","Upon statehood, the Federal government granted Oregon 3.4 million acres of school lands to support public education. About 775,000 acres of school lands remain in state ownership today, the revenue from which helps fund K-12 public education. The Oregon Department of State Lands manages school lands and oversees the stateâ€™s publicly-owned waterways on behalf of the State Land Board. Over time, the Legislature has expanded the Departmentâ€™s responsibilities to also include protections of regulated waters and wetlands and oversight of Oregonâ€™s national estuarine research reserve. The Departmentâ€™s mission is to ensure Oregonâ€™s school land legacy and protect waterways and wetlands of the State through superior stewardship and service. The datasets we capture allow us to fulfill that mission.

DSL has inventoried 19 datasets, most of which are geographic information system (GIS) data that are already published to our own public-facing GIS Portal in the form of maps and data services. Of the remaining datasets, the Land Administration System (LAS) dataset has been identified as having the most value to publish this biennium. This system, which was created in 1999, is being replaced in the next year or so by the Oregon Waters and Land System (OWLS).  The underlying data structure will likely change, but it is still the most requested dataset we have. The permits we issue often have information that is of interest to local communities. People need to be able to find information about such projects easily. The LAS dataset will be migrated to OWLS and will be re-published with minimal anticipated impacts to data.oregon.gov. Publication of these datasets in their current form will start at the beginning of the fiscal year. We anticipate that between one and five datasets will be published on data.oregon.gov. As this data changes regularly, we hope to automate the process so it can be updated daily or weekly. Visualizations and project dashboards will also be created if time allows.","2023"
"ERB","Employment Relations Board","EMPLOYMENT RELATIONS BRD","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Employment Relations Board (ERB) provides dispute resolution and administers the collective bargaining law that covers public employees of the State of Oregon and its cities, counties, school districts, and other local governments; hears and decides appeals from state employees concerning personnel actions; and administers the collective bargaining law that regulates private employers who are not covered by the National Labor Relations Act.
The ERB is comprised of the Board, the Hearings Office, and the State Conciliation Service. The three-member Board is a neutral quasi-judicial body whose members are appointed by the Governor and confirmed by the Senate. The Governor selects one member as Board Chair to serve as the agency administrator. Board members apply the law in a neutral and objective manner without regard to their background. 
The Hearings Office is the point-of-entry for contested case and representation filings.  This division conducts hearings on contested cases and issues recommended orders. 
The State Conciliation Service mediates labor relations disputes and provides labor-management and bargaining training to employers and employees. The State Conciliator is the head of the State Conciliation Service.   
The ERB data inventory includes the 10 datasets that will be published in the 23-25 biennium.  ERB will  annually publish the 10 existing datasets on data.oregon.gov.  ERB completes its agency data inventory in July of each fiscal year. ERB will continue to evaluate current published data to ensure this data meets the standards for open datasets set by the Open Data Program and revise or expand these datasets as necessary.","2023"
"HECC","Higher Education Coordinating Commission","HI-ED COORD CMSN","EDUCATION","COMPLETED","COMPLETED","COMPLETED","PLANNING","""The Higher Education Coordinating Commission (HECC) is the State of Oregonâ€™s Commission and agency working to improve equitable access to and success in higher education and workforce training for Oregonians statewide. The HECC administers about $1.8 billion per year in postsecondary education and workforce funding supporting community colleges, public universities, students, workforce boards, and other partners. We also coordinate postsecondary degrees, programs, and academic pathways; administer key Oregon financial aid, workforce, and other programs; evaluate the success of higher education efforts to guide progress; and provide strategic guidance to leaders and partners on a vision for Oregon higher education planning, funding, and policy. We directly serve Oregonians by awarding grant and scholarship aid to students, and connecting Oregonians with workforce and training resources.

HECC has inventoried 14 datasets and identified four related to workforce training programs and community colleges  as the ones for initial publication. These datasets focus on: 

1.)	Dislocated worker events
2.)	Workforce training programs receiving funding from the federal Workforce Innovation Opportunity Act (WIOA)
3.)	Courses of study offered by Oregon community colleges
4.)	Financial reports of the Oregon community colleges

Publication of these datasets will begin  in July of 2022.
""","2023"
"LTCO","Oregon Long Term Care Ombudsman","LONG TERM CARE OMBUD","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Office of the Long-Term Care Ombudsman (OLTCO) is an agency that functions separately and independently from any other state agency. The mission of the agency is to protect individual rights, promote independence, and ensure quality of life for Oregonians living in long-term care and residential facilities and for Oregonians with decisional limitations. 

The datasets identified in OLTCOâ€™s inventory embody the data created by each program as they carry out their functions and duties. OLTCO has completed an initial inventory and identified data within the RTZ Get Care dataset as the most valuable to publish this biennium. This dataset contains the complaint investigation and facility visitation from the Long-Term Care Ombudsman program.

Since the agency already reports federally (federal fiscal year â€“ Oct 1-Sept 30) on much of this information, the plan is to keep the same timeframes as is required for the agencyâ€™s federal reporting. 

The plan is to report complaint information: complaint codes (types of complaints received), status of those complaints â€“ closed and pending, facility type, city, county, status of complaint, referrals made to other entities, and possibly complainant type (resident, staff, family, etc.).

We will report data as of Oct. 2022 for this plan.","2023"
"LUBA","Land Use Board of Appeals","LAND USE BRD OF APPEALS","NATURAL RESOURCES","PENDING","PENDING","PENDING","PENDING",,"2023"
"MHRA","Mental Health Regulatory Agency","MENTAL HEALTH REGULATORY AGY","HEALTH","COMPLETED","PENDING","PENDING","PENDING",,"2023"
"OACO","Oregon Advocacy Commissions Office","ADVOCACY COMMISSIONS, OR","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","PENDING","PENDING","PENDING",,"2023"
"OBCE","Oregon Board of Chiropractic Examiners","CHIROPRACTIC EXAM, BRD OF","HEALTH","COMPLETED","PENDING","PENDING","PENDING",,"2023"
"OBD","Board of Dentistry","DENTISTRY, BRD OF","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Board of Dentistry (OBD) is charged with the regulation of the practice of dentistry, dental therapy and dental hygiene by setting standards for entry to practice, examination of applicants, issuance and renewal of licenses, and enforcing the standards of practice. The Board also is required by law to establish standards for the administration of anesthesia in dental offices. The Board determines dental procedures that may be delegated to dental assistants and establishes standards for training and certification of dental assistants. The mission of the Oregon Board of Dentistry is to promote quality oral healthcare and protect all communities in the State of Oregon by equitably and ethically regulating dental professionals.

The OBD has completed an initial inventory and identified data related to licensing and enforcement as the most ready and valued dataset to publish this biennium. This dataset covers OBDâ€™ enforcement activities and licensing data. Publication of this dataset will begin at the beginning of the fiscal year and should encompass 2-4 datasets on data.oregon.gov.","2023"
"OBDD","Oregon Business Development Department","BUSINESS OREGON","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon Business Development Department, dba Business Oregon, is the stateâ€™s economic development agency. Business Oregon invests in Oregonâ€™s businesses, communities, and people to promote a globally competitive, diverse, and inclusive economy, in service of a vision of prosperity for all Oregonians. Core functions include rural community development and infrastructure financing; business retention, expansion, and recruitment; export promotion and international trade; industry research and development and entrepreneurship; small business assistance; and support for arts and cultural organizations. The overall work of the department is guided by a nine-member commission with additional input and expertise provided by several other advisory bodies and boards. Business Oregonâ€™s datasets include the data created as each agency program conducts its activities and daily work; an initial draft inventory of agency datasets includes the 30 datasets presently published by the agency. 

Business Oregonâ€™s Open Data Plan consists of two components: data publication and inventory completion. Business Oregon will continue publishing the 30 existing datasets on data.oregon.gov at an annual frequency and focus on ensuring that metadata and data dictionaries are updated and/or completed for all published datasets.  Business Oregon will also complete its initial agency data inventory in January 2023 and will further identify and prioritize additional datasets for publication on data.oregon.gov during the â€™23-â€˜25 biennium. As a part of the inventory activities, Business Oregon will also evaluate current published datasets to ensure these datasets meet the standards for open datasets set by the Open Data Program and revise or expand these datasets as necessary. Business Oregon commits to publishing 3-5 additional datasets beyond the current 30 on data.oregon.gov by the beginning of the 2024 fiscal year.","2023"
"OBMI","Oregon Board of Medical Imaging","MEDICAL IMAGING, BRD OF","HEALTH","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon Board of Medical Imaging has the authority to issue licenses and permits to medical imaging technologists and radiation therapists. With a mission to promote, preserve and protect the public health, safety and welfare of Oregonians who are undergoing medical imaging studies and radiation therapy performed by agency licensees the Board is dedicated to providing excellent service and support to the public, stakeholders, license and permit holders.

OBMI has inventoried 12 datasets related Applicant information, complaints, and professional training programs as the most valuable resources to publish this biennium.  Publication of these datasets will begin at the beginning of the fiscal year.","2023"
"OBNM","Oregon Board of Naturopathic Medicine","NATUROPATHIC MEDICINE, BRD OF","HEALTH","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The mission of the Oregon Board of Naturopathic Medicine is to protect the public by licensing and regulating naturopathic physicians. The Board will promote physician excellence and will foster communication within the profession and with the public.  Oregon was the first state in the nation to establish a â€œBoard of Naturopathic Examiners,â€ granting it the power to license and regulate the practice of naturopathic medicine. Licensure is required to practice naturopathic medicine in the State of Oregon. Currently, There are 1200 active licensees in the state.

Board Responsibilities

Develops policy and sets standards of practice
Reviews applications and issues licenses to qualified applicants
Investigates complaints and takes appropriate disciplinary action when violations are found to have occurred
Monitors and enforces Oregon Revised Statutes and Administrative Rules pertaining to the practice of naturopathic medicine in the State of Oregon

The Board is committed to maintaining inventory of information assets and managing data sets.  The Board will ensure both the Executive Director and Administrative Specialist will engage in best practices; remain knowledgeable about Board data, its origins, and is available to answer questions about Board data and/or route questions to the appropriate parties.  The Executive Director and Administrative Specialist will ensure transparency of information that is not protected from disclosure, by making appropriate data available for public consumption, in a manner that will not jeopardize the privacy or security of agency employees, clients or partners.","2023"
"OBO","Oregon Board of Optometry","HEALTH RELATED LICENSING BRDs - OPTO","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","Open Data Planâ€”Oregon Board of Optometry 2022:

The Oregon Board of Optometry (OBO) is a semi-independent state agency that is responsible for the licensing and regulation of the optometry profession in Oregon. The board was established and operates under the authority of ORS 683.010 to 683.340 and 676.110 to 676.230. OAR Chapter 852. OBO is a state agency with a strong commitment to serving the public, consumers, and licensees of the State of Oregon. The primary mission of OBO is consumer protection. This is achieved by promoting the highest standards for licensure through four (4) major program areas: Education, Examinations, Licensing, and Enforcement.

The OBO protects the public by issuing licenses to those individuals who have demonstrated professional competence and continue to maintain their professional competence through continued education. OBO is committed to regulating optometry in the State of Oregon without unnecessary regulatory oversight of licensees and by providing fair and accessible entry into the profession that meet the standards and requirements. OBO is a 2 person agency and is able to complete a license application within 1-2 days of receiving all required documentation.

OBO has inventoried eleven (11) datasets and identified datasets related to licensed optometrists licensure status as the most ready and valued dataset to publish this biennium. This dataset lists those businesses with active licenses. This dataset includes contact information. This dataset is already published on the OBOâ€™s website, and is available for ordering through the website.","2023"
"OBPT","Oregon Board of Physical Therapy","HEALTH RELATED LICENSING BRDs - PT","HEALTH","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon Board of Physical Therapy (OBPT) licenses and regulates physical therapists (PT) and physical therapists assistants (PTA) throughout the state. In the interest of public protection, the Board assures that PTs and PTAs are properly educated, hold current and valid licenses, practice within their scope, and continue to receive ongoing training throughout their careers. 

OBPT has inventoried 5 datasets, of which 3 are already publicly available through the Boardâ€™s public-facing licensing portal. These datasets are searchable, but the Board has identified that publishing an existing dataset on disciplinary actions in a different format for ease of use is a high priority. That work will be completed by the end of 2022, and will be published on data.oregon.gov as well as the Boardâ€™s own website.","2023"
"OBTP","Board of Tax Practitioners","TAX PRACTITIONERS, ST BRD OF","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","PENDING","PENDING","PENDING",,"2023"
"OCB","Oregon Commission for the Blind","BLIND, CMSN FOR THE","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","Oregon Commission for the Blind (OCB) provides a multitude of services for blind and visually impaired Oregonians. OCB empowers these Oregonians by providing training, vocational rehabilitation, and adaptive equipment so they can thrive in their community and their workplace. The datasets captured within the OCB data inventory encapsulate the data created on a daily basis as our personnel work on individually tailored cases for our clients.

OCB has inventoried 13 datasets and identified datasets related to metrics regarding the needs of blind and visually impaired Oregonians as the most valuable and releasable resource to publish, but it will take time to sanitize this dataset to ensure that private personal information is not released to the public. Publication of this dataset should occur by end of calendar year 2022.","2023"
"ODA","Oregon Department of Agriculture","AGRICULTURE, DEPT OF","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon Department of Agriculture (ODA) works to ensure healthy natural resources, a sustainable environment, and a thriving economy for Oregonians now and in the future, through inspection and certification, regulation, and promotion of agriculture and food. Supported by more than 400 full and part-time knowledgeable and dedicated staff, ODA serves a varied array of industries as a diverse state agency with approximately 36 individual programs in the areas of food safety; animal health; natural resources; market access and certification; plant protection and conservation and administration and support services.

The datasets captured within the ODA Data Inventory encapsulate the data created as each of these individual programs carry out their daily work activities and responsibilities. 
 
During the current biennium, ODA will continue to publish datasets on data.oregon.gov, on behalf of its Fertilizer Program including product registration, stop sale, use and removal orders, sample results and tonnage.  ODA will also continue to publish GIS/Map boundary and layer information on ArcGIS Online, regarding its Confined Animal Feeding Operation (CAFO), Insect Pest Prevention and Management (IPPM) and Agriculture Water Quality Programs.

ODA has identified datasets related to Food Safety as the most valuable resources to publish for the next biennium (2023-25).  ODA will be entering a planning phase regarding these Food Safety datasets for the remainder of the current biennium and will plan on publishing these datasets in July of 2023.  These datasets will encompass food safety inspection, violation and food recall information.","2023"
