name,datatype,defaulttask,attributetype,n,dimension,year,year2,url,url-wiki,url-extra,src,description,featured,category
Communities and Crime,Multivariate,Regression,Real,1994,128,2009,,http://archive.ics.uci.edu/ml/datasets/Communities+and+Crime,,,UCI Machine Learning Repository,,0,other
Communities and Crime Unnormalized,Multivariate,Regression,Real,2215,147,2011,,http://archive.ics.uci.edu/ml/datasets/Communities+and+Crime+Unnormalized,,,UCI Machine Learning Repository,,0,other
Computer Hardware,Multivariate,Regression,Integer,209,9,1987,,http://archive.ics.uci.edu/ml/datasets/Computer+Hardware,,,UCI Machine Learning Repository,,0,other
Concrete Compressive Strength,Multivariate,Regression,Real,1030,9,2007,,http://archive.ics.uci.edu/ml/datasets/Concrete+Compressive+Strength,,,UCI Machine Learning Repository,,0,other
Concrete Slump Test,Multivariate,Regression,Real,103,10,2009,,http://archive.ics.uci.edu/ml/datasets/Concrete+Slump+Test,,,UCI Machine Learning Repository,,0,other
Congressional Voting Records,Multivariate,Classification,Categorical,435,16,1987,,http://archive.ics.uci.edu/ml/datasets/Congressional+Voting+Records,,,UCI Machine Learning Repository,,0,other
Connect-4,"Multivariate, Spatial",Classification,Categorical,67557,42,1995,,http://archive.ics.uci.edu/ml/datasets/Connect-4,,,UCI Machine Learning Repository,,0,other
Connectionist Bench (Nettalk Corpus),Multivariate,,Categorical,20008,4,,,http://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Nettalk+Corpus%29,,,UCI Machine Learning Repository,,0,other
"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate,Classification,Real,208,60,,,http://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Sonar%2C+Mines+vs.+Rocks%29,,,UCI Machine Learning Repository,,0,other
Connectionist Bench (Vowel Recognition - Deterding Data),,Classification,Real,528,10,,,http://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Vowel+Recognition+-+Deterding+Data%29,,,UCI Machine Learning Repository,,0,other
Contraceptive Method Choice,Multivariate,Classification,"Categorical, Integer",1473,9,1997,,http://archive.ics.uci.edu/ml/datasets/Contraceptive+Method+Choice,,,UCI Machine Learning Repository,,0,other
Corel Image Features,Multivariate,,Real,68040,89,1999,,http://archive.ics.uci.edu/ml/datasets/Corel+Image+Features,,,UCI Machine Learning Repository,,0,other
Covertype,Multivariate,Classification,"Categorical, Integer",581012,54,1998,,http://archive.ics.uci.edu/ml/datasets/Covertype,,,UCI Machine Learning Repository,,0,other
Credit Approval,Multivariate,Classification,"Categorical, Integer, Real",690,15,,,http://archive.ics.uci.edu/ml/datasets/Credit+Approval,,,UCI Machine Learning Repository,,0,other
Cylinder Bands,Multivariate,Classification,"Categorical, Integer, Real",512,39,1995,,http://archive.ics.uci.edu/ml/datasets/Cylinder+Bands,,,UCI Machine Learning Repository,,0,other
Daily and Sports Activities,"Multivariate, Time-Series","Classification, Clustering",Real,9120,5625,2013,,http://archive.ics.uci.edu/ml/datasets/Daily+and+Sports+Activities,,,UCI Machine Learning Repository,,0,other
Daphnet Freezing of Gait,"Multivariate, Time-Series",Classification,Real,237,9,2013,,http://archive.ics.uci.edu/ml/datasets/Daphnet+Freezing+of+Gait,,,UCI Machine Learning Repository,,0,other
DBWorld e-mails,Text,Classification,,64,4702,2011,,http://archive.ics.uci.edu/ml/datasets/DBWorld+e-mails,,,UCI Machine Learning Repository,,0,other
Dermatology,Multivariate,Classification,"Categorical, Integer",366,33,1998,,http://archive.ics.uci.edu/ml/datasets/Dermatology,,,UCI Machine Learning Repository,,0,other
Dexter,Multivariate,Classification,Integer,2600,20000,2008,,http://archive.ics.uci.edu/ml/datasets/Dexter,,,UCI Machine Learning Repository,,0,other
Dodgers Loop Sensor,"Multivariate, Time-Series",,"Categorical, Integer",50400,3,2006,,http://archive.ics.uci.edu/ml/datasets/Dodgers+Loop+Sensor,,,UCI Machine Learning Repository,,0,other
Dorothea,Multivariate,Classification,Integer,1950,100000,2008,,http://archive.ics.uci.edu/ml/datasets/Dorothea,,,UCI Machine Learning Repository,,0,other
Echocardiogram,Multivariate,Classification,"Categorical, Integer, Real",132,12,1989,,http://archive.ics.uci.edu/ml/datasets/Echocardiogram,,,UCI Machine Learning Repository,,0,other
Ecoli,Multivariate,Classification,Real,336,8,1996,,http://archive.ics.uci.edu/ml/datasets/Ecoli,,,UCI Machine Learning Repository,,0,other
EEG Database,"Multivariate, Time-Series",,"Categorical, Integer, Real",122,4,1999,,http://archive.ics.uci.edu/ml/datasets/EEG+Database,,,UCI Machine Learning Repository,,0,other
EEG Eye State,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",14980,15,2013,,http://archive.ics.uci.edu/ml/datasets/EEG+Eye+State,,,UCI Machine Learning Repository,,0,other
El Nino,Spatio-temporal,,"Integer, Real",178080,12,1999,,http://archive.ics.uci.edu/ml/datasets/El+Nino,,,UCI Machine Learning Repository,,0,other
EMG dataset in Lower Limb,"Multivariate, Time-Series",,Real,132,5,2014,,http://archive.ics.uci.edu/ml/datasets/EMG+dataset+in+Lower+Limb,,,UCI Machine Learning Repository,,0,other
EMG Physical Action Data Set,Time-Series,Classification,Real,10000,8,2011,,http://archive.ics.uci.edu/ml/datasets/EMG+Physical+Action+Data+Set,,,UCI Machine Learning Repository,,0,other
Energy efficiency,Multivariate,"Classification, Regression","Integer, Real",768,8,2012,,http://archive.ics.uci.edu/ml/datasets/Energy+efficiency,,,UCI Machine Learning Repository,,0,other
Farm Ads,Text,Classification,,4143,54877,2011,,http://archive.ics.uci.edu/ml/datasets/Farm+Ads,,,UCI Machine Learning Repository,,0,other
Fertility,Multivariate,"Classification, Regression",Real,100,10,2013,,http://archive.ics.uci.edu/ml/datasets/Fertility,,,UCI Machine Learning Repository,,0,other
First-order theorem proving,Multivariate,Classification,Real,6118,51,2013,,http://archive.ics.uci.edu/ml/datasets/First-order+theorem+proving,,,UCI Machine Learning Repository,,0,other
Flags,Multivariate,Classification,"Categorical, Integer",194,30,1990,,http://archive.ics.uci.edu/ml/datasets/Flags,,,UCI Machine Learning Repository,,0,other
Forest Fires,Multivariate,Regression,Real,517,13,2008,,http://archive.ics.uci.edu/ml/datasets/Forest+Fires,,,UCI Machine Learning Repository,,0,other
Gas Sensor Array Drift Dataset,Multivariate,Classification,Real,13910,128,2012,,http://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset,,,UCI Machine Learning Repository,,0,other
Gas Sensor Array Drift Dataset at Different Concentrations,"Multivariate, Time-Series","Classification, Regression, Clustering, Causa",Real,13910,129,2013,,http://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset+at+Different+Concentrations,,,UCI Machine Learning Repository,,0,other
Gas sensor arrays in open sampling settings,"Multivariate, Time-Series",Classification,Real,18000,1950000,2013,,http://archive.ics.uci.edu/ml/datasets/Gas+sensor+arrays+in+open+sampling+settings,,,UCI Machine Learning Repository,,0,other
Gisette,Multivariate,Classification,Integer,13500,5000,2008,,http://archive.ics.uci.edu/ml/datasets/Gisette,,,UCI Machine Learning Repository,,0,other
Glass Identification,Multivariate,Classification,Real,214,10,1987,,http://archive.ics.uci.edu/ml/datasets/Glass+Identification,,,UCI Machine Learning Repository,,0,other
Haberman's Survival,Multivariate,Classification,Integer,306,3,1999,,http://archive.ics.uci.edu/ml/datasets/Haberman%27s+Survival,,,UCI Machine Learning Repository,,0,other
Hayes-Roth,Multivariate,Classification,Categorical,160,5,1989,,http://archive.ics.uci.edu/ml/datasets/Hayes-Roth,,,UCI Machine Learning Repository,,0,other
Heart Disease,Multivariate,Classification,"Categorical, Integer, Real",303,75,1988,,http://archive.ics.uci.edu/ml/datasets/Heart+Disease,,,UCI Machine Learning Repository,,0,other
Hepatitis,Multivariate,Classification,"Categorical, Integer, Real",155,19,1988,,http://archive.ics.uci.edu/ml/datasets/Hepatitis,,,UCI Machine Learning Repository,,0,other
HIGGS,,Classification,Real,11000000,28,2014,,http://archive.ics.uci.edu/ml/datasets/HIGGS,,,UCI Machine Learning Repository,,0,other
Hill-Valley,Sequential,Classification,Real,606,101,2008,,http://archive.ics.uci.edu/ml/datasets/Hill-Valley,,,UCI Machine Learning Repository,,0,other
Horse Colic,Multivariate,Classification,"Categorical, Integer, Real",368,27,1989,,http://archive.ics.uci.edu/ml/datasets/Horse+Colic,,,UCI Machine Learning Repository,,0,other
Housing,Multivariate,Regression,"Categorical, Integer, Real",506,14,1993,,http://archive.ics.uci.edu/ml/datasets/Housing,,,UCI Machine Learning Repository,,0,other
Human Activity Recognition Using Smartphones,"Multivariate, Time-Series","Classification, Clustering",,10299,561,2012,,http://archive.ics.uci.edu/ml/datasets/Human+Activity+Recognition+Using+Smartphones,,,UCI Machine Learning Repository,,0,other
ILPD (Indian Liver Patient Dataset),Multivariate,Classification,"Integer, Real",583,10,2012,,http://archive.ics.uci.edu/ml/datasets/ILPD+%28Indian+Liver+Patient+Dataset%29,,,UCI Machine Learning Repository,,0,other
Image Segmentation,Multivariate,Classification,Real,2310,19,1990,,http://archive.ics.uci.edu/ml/datasets/Image+Segmentation,,,UCI Machine Learning Repository,,0,other
Individual household electric power consumption,"Multivariate, Time-Series","Regression, Clustering",Real,2075259,9,2012,,http://archive.ics.uci.edu/ml/datasets/Individual+household+electric+power+consumption,,,UCI Machine Learning Repository,,0,other
Insurance Company Benchmark (COIL 2000),Multivariate,"Regression, Description","Categorical, Integer",9000,86,2000,,http://archive.ics.uci.edu/ml/datasets/Insurance+Company+Benchmark+%28COIL+2000%29,,,UCI Machine Learning Repository,,0,other
Internet Advertisements,Multivariate,Classification,"Categorical, Integer, Real",3279,1558,1998,,http://archive.ics.uci.edu/ml/datasets/Internet+Advertisements,,,UCI Machine Learning Repository,,0,other
Internet Usage Data,Multivariate,,"Categorical, Integer",10104,72,1999,,http://archive.ics.uci.edu/ml/datasets/Internet+Usage+Data,,,UCI Machine Learning Repository,,0,other
Ionosphere,Multivariate,Classification,"Integer, Real",351,34,1989,,http://archive.ics.uci.edu/ml/datasets/Ionosphere,,,UCI Machine Learning Repository,,0,other
IPUMS Census Database,Multivariate,,"Categorical, Integer",256932,61,1999,,http://archive.ics.uci.edu/ml/datasets/IPUMS+Census+Database,,,UCI Machine Learning Repository,,0,other
ISOLET,Multivariate,Classification,Real,7797,617,1994,,http://archive.ics.uci.edu/ml/datasets/ISOLET,,,UCI Machine Learning Repository,,0,other
ISTANBUL STOCK EXCHANGE,"Multivariate, Univariate, Time-Series","Classification, Regression",Real,536,8,2013,,http://archive.ics.uci.edu/ml/datasets/ISTANBUL+STOCK+EXCHANGE,,,UCI Machine Learning Repository,,0,other
Japanese Vowels,"Multivariate, Time-Series",Classification,Real,640,12,,,http://archive.ics.uci.edu/ml/datasets/Japanese+Vowels,,,UCI Machine Learning Repository,,0,other
KDD Cup 1998 Data,Multivariate,Regression,"Categorical, Integer",191779,481,1998,,http://archive.ics.uci.edu/ml/datasets/KDD+Cup+1998+Data,,,UCI Machine Learning Repository,,0,other
KDD Cup 1999 Data,Multivariate,Classification,"Categorical, Integer",4000000,42,1999,,http://archive.ics.uci.edu/ml/datasets/KDD+Cup+1999+Data,,,UCI Machine Learning Repository,,0,other
KEGG Metabolic Reaction Network (Undirected),"Multivariate, Univariate, Text","Classification, Regression, Clustering","Integer, Real",65554,29,2011,,http://archive.ics.uci.edu/ml/datasets/KEGG+Metabolic+Reaction+Network+%28Undirected%29,,,UCI Machine Learning Repository,,0,other
KEGG Metabolic Relation Network (Directed),"Multivariate, Univariate, Text","Classification, Regression, Clustering","Integer, Real",53414,24,2011,,http://archive.ics.uci.edu/ml/datasets/KEGG+Metabolic+Relation+Network+%28Directed%29,,,UCI Machine Learning Repository,,0,other
Kinship,Relational,Relational-Learning,Categorical,104,12,1990,,http://archive.ics.uci.edu/ml/datasets/Kinship,,,UCI Machine Learning Repository,,0,other
Labor Relations,Multivariate,,"Categorical, Integer, Real",57,16,1988,,http://archive.ics.uci.edu/ml/datasets/Labor+Relations,,,UCI Machine Learning Repository,,0,other
Lenses,Multivariate,Classification,Categorical,24,4,1990,,http://archive.ics.uci.edu/ml/datasets/Lenses,,,UCI Machine Learning Repository,,0,other
Letter Recognition,Multivariate,Classification,Integer,20000,16,1991,,http://archive.ics.uci.edu/ml/datasets/Letter+Recognition,,,UCI Machine Learning Repository,,0,other
Libras Movement,"Multivariate, Sequential","Classification, Clustering",Real,360,91,2009,,http://archive.ics.uci.edu/ml/datasets/Libras+Movement,,,UCI Machine Learning Repository,,0,other
Liver Disorders,Multivariate,,"Categorical, Integer, Real",345,7,1990,,http://archive.ics.uci.edu/ml/datasets/Liver+Disorders,,,UCI Machine Learning Repository,,0,other
Localization Data for Person Activity,"Univariate, Sequential, Time-Series",Classification,Real,164860,8,2010,,http://archive.ics.uci.edu/ml/datasets/Localization+Data+for+Person+Activity,,,UCI Machine Learning Repository,,0,other
Low Resolution Spectrometer,Multivariate,Classification,"Integer, Real",531,102,1988,,http://archive.ics.uci.edu/ml/datasets/Low+Resolution+Spectrometer,,,UCI Machine Learning Repository,,0,other
Lung Cancer,Multivariate,Classification,Integer,32,56,1992,,http://archive.ics.uci.edu/ml/datasets/Lung+Cancer,,,UCI Machine Learning Repository,,0,other
Lymphography,Multivariate,Classification,Categorical,148,18,1988,,http://archive.ics.uci.edu/ml/datasets/Lymphography,,,UCI Machine Learning Repository,,0,other
Madelon,Multivariate,Classification,Real,4400,500,2008,,http://archive.ics.uci.edu/ml/datasets/Madelon,,,UCI Machine Learning Repository,,0,other
MAGIC Gamma Telescope,Multivariate,Classification,Real,19020,11,2007,,http://archive.ics.uci.edu/ml/datasets/MAGIC+Gamma+Telescope,,,UCI Machine Learning Repository,,0,other
Mammographic Mass,Multivariate,Classification,Integer,961,6,2007,,http://archive.ics.uci.edu/ml/datasets/Mammographic+Mass,,,UCI Machine Learning Repository,,0,other
Mechanical Analysis,Multivariate,Classification,"Categorical, Integer, Real",209,8,1990,,http://archive.ics.uci.edu/ml/datasets/Mechanical+Analysis,,,UCI Machine Learning Repository,,0,other
Meta-data,Multivariate,Classification,"Categorical, Integer, Real",528,22,1996,,http://archive.ics.uci.edu/ml/datasets/Meta-data,,,UCI Machine Learning Repository,,0,other
MicroMass,Multivariate,Classification,Real,931,1300,2013,,http://archive.ics.uci.edu/ml/datasets/MicroMass,,,UCI Machine Learning Repository,,0,other
MiniBooNE particle identification,Multivariate,Classification,Real,130065,50,2010,,http://archive.ics.uci.edu/ml/datasets/MiniBooNE+particle+identification,,,UCI Machine Learning Repository,,0,other
Molecular Biology (Promoter Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,106,58,1990,,http://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Promoter+Gene+Sequences%29,,,UCI Machine Learning Repository,,0,other
Molecular Biology (Splice-junction Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,3190,61,1992,,http://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Splice-junction+Gene+Sequences%29,,,UCI Machine Learning Repository,,0,other
MONK's Problems,Multivariate,Classification,Categorical,432,7,1992,,http://archive.ics.uci.edu/ml/datasets/MONK%27s+Problems,,,UCI Machine Learning Repository,,0,other
Multiple Features,Multivariate,Classification,"Integer, Real",2000,649,,,http://archive.ics.uci.edu/ml/datasets/Multiple+Features,,,UCI Machine Learning Repository,,0,other
Mushroom,Multivariate,Classification,Categorical,8124,22,1987,,http://archive.ics.uci.edu/ml/datasets/Mushroom,,,UCI Machine Learning Repository,,0,other
Musk (Version 1),Multivariate,Classification,Integer,476,168,1994,,http://archive.ics.uci.edu/ml/datasets/Musk+%28Version+1%29,,,UCI Machine Learning Repository,,0,other
Musk (Version 2),Multivariate,Classification,Integer,6598,168,1994,,http://archive.ics.uci.edu/ml/datasets/Musk+%28Version+2%29,,,UCI Machine Learning Repository,,0,other
Nomao,Univariate,Classification,Real,34465,120,2012,,http://archive.ics.uci.edu/ml/datasets/Nomao,,,UCI Machine Learning Repository,,0,other
Northix,"Multivariate, Univariate, Text",Classification,"Integer, Real",115,200,2012,,http://archive.ics.uci.edu/ml/datasets/Northix,,,UCI Machine Learning Repository,,0,other
Nursery,Multivariate,Classification,Categorical,12960,8,1997,,http://archive.ics.uci.edu/ml/datasets/Nursery,,,UCI Machine Learning Repository,,0,other
NYSK,"Multivariate, Sequential, Text",Clustering,,10421,7,2013,,http://archive.ics.uci.edu/ml/datasets/NYSK,,,UCI Machine Learning Repository,,0,other
One-hundred plant species leaves data set,,Classification,Real,1600,64,2012,,http://archive.ics.uci.edu/ml/datasets/One-hundred+plant+species+leaves+data+set,,,UCI Machine Learning Repository,,0,other
OPPORTUNITY Activity Recognition,"Multivariate, Time-Series",Classification,Real,2551,242,2012,,http://archive.ics.uci.edu/ml/datasets/OPPORTUNITY+Activity+Recognition,,,UCI Machine Learning Repository,,0,other
Optical Recognition of Handwritten Digits,Multivariate,Classification,Integer,5620,64,1998,,http://archive.ics.uci.edu/ml/datasets/Optical+Recognition+of+Handwritten+Digits,,,UCI Machine Learning Repository,,0,other
Ozone Level Detection,"Multivariate, Sequential, Time-Series",Classification,Real,2536,73,2008,,http://archive.ics.uci.edu/ml/datasets/Ozone+Level+Detection,,,UCI Machine Learning Repository,,0,other
p53 Mutants,Multivariate,Classification,Real,16772,5409,2010,,http://archive.ics.uci.edu/ml/datasets/p53+Mutants,,,UCI Machine Learning Repository,,0,other
Page Blocks Classification,Multivariate,Classification,"Integer, Real",5473,10,1995,,http://archive.ics.uci.edu/ml/datasets/Page+Blocks+Classification,,,UCI Machine Learning Repository,,0,other
PAMAP2 Physical Activity Monitoring,"Multivariate, Time-Series",Classification,Real,3850505,52,2012,,http://archive.ics.uci.edu/ml/datasets/PAMAP2+Physical+Activity+Monitoring,,,UCI Machine Learning Repository,,0,other
Parkinsons,Multivariate,Classification,Real,197,23,2008,,http://archive.ics.uci.edu/ml/datasets/Parkinsons,,,UCI Machine Learning Repository,,0,other
Parkinsons Telemonitoring,Multivariate,Regression,"Integer, Real",5875,26,2009,,http://archive.ics.uci.edu/ml/datasets/Parkinsons+Telemonitoring,,,UCI Machine Learning Repository,,0,other
PEMS-SF,"Multivariate, Time-Series",Classification,Real,440,138672,2011,,http://archive.ics.uci.edu/ml/datasets/PEMS-SF,,,UCI Machine Learning Repository,,0,other
Pen-Based Recognition of Handwritten Digits,Multivariate,Classification,Integer,10992,16,1998,,http://archive.ics.uci.edu/ml/datasets/Pen-Based+Recognition+of+Handwritten+Digits,,,UCI Machine Learning Repository,,0,other
Physicochemical Properties of Protein Tertiary Structure,Multivariate,Regression,Real,45730,9,2013,,http://archive.ics.uci.edu/ml/datasets/Physicochemical+Properties+of+Protein+Tertiary+Structure,,,UCI Machine Learning Repository,,0,other
Pima Indians Diabetes,Multivariate,Classification,"Integer, Real",768,8,1990,,http://archive.ics.uci.edu/ml/datasets/Pima+Indians+Diabetes,,,UCI Machine Learning Repository,,0,other
Pittsburgh Bridges,Multivariate,Classification,"Categorical, Integer",108,13,1990,,http://archive.ics.uci.edu/ml/datasets/Pittsburgh+Bridges,,,UCI Machine Learning Repository,,0,other
Planning Relax,Univariate,Classification,Real,182,13,2012,,http://archive.ics.uci.edu/ml/datasets/Planning+Relax,,,UCI Machine Learning Repository,,0,other
Plants,Multivariate,Clustering,Categorical,22632,70,2008,,http://archive.ics.uci.edu/ml/datasets/Plants,,,UCI Machine Learning Repository,,0,other
