Date,What data are you requesting?,Which state agency maintains this data?,Other - Which state agency maintains this data?,How would you categorize this data?,Other - How would you categorize this data?,How do you plan on using this data?,Other - How do you plan on using this data?,Provide any additional information about how you plan to use the data that may help us respond to your request.,Is this data spatial (e.g. maps) or tabular (e.g. tables or spreadsheets)?,What type of spatial data are you looking for?,Other - What type of spatial data are you looking for?,Response (if available)
07/10/2024,pedestrian safety,I don't know.,,Transportation,,Other,working with a sustainability committee in town,"One aspect of sustainability we are exploring is providing equal access to safe opportunities for walking, biking and other aspects of recreation, and potentially, to reduce vehicle use in the downtown areas (i.e., provide more opportunities for walking).",Not sure,,,"I'm writing in response to your request for pedestrian safety data on the CT Open Data Portal. The Department of Transportation shared two datasets that have information that might be useful to you:

Shoulders: https://connecticut-ctdot.opendata.arcgis.com/datasets/CTDOT::ctdot-roadway-classification-and-characteristic-data?layer=25
The ShoulderUsageDescription column includes ""Bike"" as an option
Lanes: https://connecticut-ctdot.opendata.arcgis.com/datasets/CTDOT::ctdot-roadway-classification-and-characteristic-data?layer=21 
The LaneTypeDescription column includes ""Bike Only"" as an option

These two datasets are vetted and maintained by DOT. DOT is also working on additional projects such as sidewalk collection and bike lanes, but those data are not yet publicly available. To access the data that are not yet public, you could submit a FOIA request to DOT. More information about FOIA is available here: https://portal.ct.gov/dot/general/foi-requests#:~:text=Making%20a%20Freedom%20Of%20Information%20(FOI)%20Request%20Through%20CTDOT,-Overview&text=The%20Connecticut%20Freedom%20of%20Information,online%20FOI%20request%20form%20here.&text=CTDOT%20has%20implemented%20an%20online%20FOI%20management%20system%20called%20GovQA.."
07/18/2024,rural high need schools in the state,Other,Education database,Demographics,,For personal use (e.g. to find data about my community or other topics of personal interest),,,Tabular (e.g. tables or spreadsheets),,,"We don't have data on rural high school needs specifically on the Open Data Portal currently, but I would recommend starting with the Education Directory dataset (https://data.ct.gov/Education/Education-Directory/9k2y-kqxn/about_data), which lists all the schools in the state. Depending on how you want to define ""rural"" and ""high needs"" you can filter the dataset using school- or town-level data. For additional data on schools in Connecticut, you can refer to the State Department of Education's website EdSight (https://public-edsight.ct.gov/?language=en_US)."
07/23/2024,Is there a comprehensive listing of health inspections of all food establishments in Connecticut.  I can't believe New York is beating us on this transparency issue.,I don't know.,,Business,,For personal use (e.g. to find data about my community or other topics of personal interest),,It can go into restaurant reviews.,Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
07/27/2024,"statewide data on energy hosting capacity, preferably by town/zip code.",I don't know.,,Infrastructure,,For research (e.g. to find data for academic or public policy research),,,Spatial (e.g. maps),Statewide,,Request forwarded to agency
07/28/2024,affordable housing units by town,Department of Housing,,Housing and development,,For work (e.g. using data on the Portal as part of my professional work),,,Tabular (e.g. tables or spreadsheets),,,The CT Department of Housing publishes this dataset that may address your question: Affordable Housing by Town 2011-2023 (https://data.ct.gov/Housing-and-Development/Affordable-Housing-by-Town-2011-2023/3udy-56vi/about_data).
08/01/2024,Workforce data for Executive Branch.  Number of Days to Fill a state position.,Department of Administrative Services,,Business,,For work (e.g. using data on the Portal as part of my professional work),,"As part of the CDC Public Health Infrastructure Grant, we are required to report Workforce-related data for the Dept of Public Health.   This data on number of days to hire has been provided to us via ad-hoc request.   Because we are reporting this regularly, we are interested in having this as a standard report available on data.ct.gov.",Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
08/02/2024,If an oil tank has been removed from [redacted] circa 2003,I don't know.,,Business,,For work (e.g. using data on the Portal as part of my professional work),,I am a realtor and need to know if an underground oil tank was removed.,Not sure,,,"There are several datasets about UST on the Portal:
Regarding Tank Removal information, this data sets includes tank removal information in the column called Closure Type:
Underground Storage Tanks (USTs) - Facility and Tank Details (https://data.ct.gov/Environment-and-Natural-Resources/Underground-Storage-Tanks-USTs-Facility-and-Tank-D/utni-rddb); 
These 3 data sets may be of interest regarding Remediation:
Releases from Federally Regulated Underground Storage Tank Systems (https://data.ct.gov/Environment-and-Natural-Resources/Releases-from-Federally-Regulated-Underground-Stor/yc6z-jrb5);
List of Contaminated or Potentially Contaminated Sites - SASU Case Management System (https://data.ct.gov/Environment-and-Natural-Resources/List-of-Contaminated-or-Potentially-Contaminated-S/77ya-7twa);
List of Contaminated or Potentially Contaminated Sites - Remediation Division (https://data.ct.gov/Environment-and-Natural-Resources/List-of-Contaminated-or-Potentially-Contaminated-S/u76p-weqj).
If you have more questions about USTs, you can get in touch with the Site Assessment and Support Unit (SASU) at DEEP at this email: DEEP.Leakingust@ct.gov"
08/08/2024,I would like to see the state employee workforce data by male and female can you share that data?,I don't know.,,Other,female participation rate in state government and agency and municipality employment,For work (e.g. using data on the Portal as part of my professional work),,,Not sure,,,Request forwarded to agency
08/09/2024,I'd really like to see a dataset around the projects that the local towns and cities are using their ARPA allocations to fund.,I don't know.,,Local government,,For work (e.g. using data on the Portal as part of my professional work),,I'm a reporter. I'm trying to do a comparison of what different towns/cities are spending those ARPA dollars on.,Tabular (e.g. tables or spreadsheets),,,"Two ARPA related resources that include information on some municipal projects are: 
American Rescue Plan Project Inventory (https://data.ct.gov/Government/American-Rescue-Plan-Project-Inventory/rcur-2uns/about_data);
American Rescue Plan Act (ARPA) Funding & Project Inventory Dashboard (https://data.ct.gov/stories/s/d8eu-4zpa)"
08/12/2024,The data I am requesting is the underlying data of the public insurance license search tool. I am interested in data on all brokers and agents that sell health insurance between 2000-present or the earliest date available (including insurers that do not have active licenses). Below is the full list of the specific data variables I am interested in. Data Variables of Interest: Broker/Agent Name NPN Domicile State Resident Address Business Address Resident State License Information License Type License number (in the excel file already so not needed) Status date Effective date Expiration date Legacy License ID Designated Home State Line of Authority Information Line Name Qualification School Codes Exam/Certif Date Line Status Status Date Effective Date Designated Responsible Licensed Producer Alias Names Continuing Education Information Appointments Company Name NAIC CoCode License Type Line of Authority Appointment Date Effective Date Expiration Date Business Entity Affiliations,Department of Insurance,,Business,,For research (e.g. to find data for academic or public policy research),,"Many individuals choose their health plan with the help of insurance producers (or insurance agents). Understanding how the presence of insurance agents changes over time, with different regulations will help us understand plan choice, especially in the Medicare market where seniors and individuals with disabilities disproportionately rely on insurance agents.",Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
08/12/2024,CT Open Data for death records in Hartford CT in 1935,I don't know.,,Local government,,For personal use (e.g. to find data about my community or other topics of personal interest),,For Genealogical Research on my family,Tabular (e.g. tables or spreadsheets),,,"This information can be found in the Connecticut Vital Records - Index of Deaths, 1897-2001 dataset at this link: https://data.ct.gov/History/Connecticut-Vital-Records-Index-of-Deaths-1897-200/psf6-3vsu/about_data"
08/14/2024,Grand list break down by property for tax years 2000 - 2024,Office of Policy and Management,,Local government,,Other,Special tax district analysis,,Tabular (e.g. tables or spreadsheets),,,Grand list data is available in the dataset: Net Grand List by Town (https://data.ct.gov/Local-Government/Net-Grand-List-by-Town-2011-2023/webp-fgt3/about_data).
08/26/2024,I am looking to get a listing of agency addresses/locations,I don't know.,,Government,,For work (e.g. using data on the Portal as part of my professional work),,"I am working as part of the team on the DAS/BITS help desk system, and we are currently in the process of creating an asset database and are interested in relating assets to specific locations. Having a breakdown of addresses associated with specific agencies would be very helpful, and as of yet we have been unable to find a cohesive list containing this information. If this data is available it would be very useful in making our system accurate and effective. Thank you in advance for any assistance you may be able to provide!",Tabular (e.g. tables or spreadsheets),,,"OPM maintains the state inventory of real property, linked to below:

Inventory  of real property info: https://portal.ct.gov/opm/finance-assets/jestir/state-real-property-inventory
State Owned Buildings dataset: https://data.ct.gov/Government/State-Owned-Buildings/6htq-gj2r/about_data
Leased state locations: https://data.ct.gov/Government/Leased-State-Locations/u2up-g29d/about_data"
08/29/2024,List of contaminated properties statewide,Department of Energy and Environmental Protection,,Business,,For personal use (e.g. to find data about my community or other topics of personal interest),,,Tabular (e.g. tables or spreadsheets),,,"Contaminated sites are listed in two datasets:
List of Contaminated or Potentially Contaminated Sites - Remediation Division (https://data.ct.gov/Environment-and-Natural-Resources/List-of-Contaminated-or-Potentially-Contaminated-S/u76p-weqj/about_data)
List of Contaminated or Potentially Contaminated Sites - SASU Case Management System (https://data.ct.gov/Environment-and-Natural-Resources/List-of-Contaminated-or-Potentially-Contaminated-S/77ya-7twa/about_data)"
09/04/2024,New formation of LLC's from Bridgeport.,I don't know.,,Business,,For work (e.g. using data on the Portal as part of my professional work),,,Tabular (e.g. tables or spreadsheets),,,This information can be found in the Connecticut Business Registry database (https://data.ct.gov/Business/Connecticut-Business-Registry-Business-Master/n7gp-d28j/about_data) managed by the Office of the Secretary of the State.
09/05/2024,"Traffic Stops counts per year for the last 10 year to include 2024 to 2014. I would like to see the counts per police department. Additionally I would like to add to the same dataset, the total number of employed police officers per town per year for last 10 years by year. The Rows should be by Police department. The columns should be each Year and Police department headcount for that year (e.g. 2024, 2024 Police head count,  2023, 2023 Police headcount, 2022, Police headcount  etc. The data defined in the rows and columns will be Total count of Traffic Stops for 2024, 2023, 2022 etc. and the Police headcount Row's data should be the Total reported head count for the specified Police Department for that year. 
Example:
Police Department | 2024 | 2024 Head count | 2023 | 2023 Head count | etc.
Ansonia                    |        X |                              X |        X |                             X |",Department of Emergency Services and Public Protection,,Public safety,,For personal use (e.g. to find data about my community or other topics of personal interest),,"As a parent, taxpayer and member of the CT community, I am requesting this data for analysis.",Tabular (e.g. tables or spreadsheets),,,"The traffic stop data is available on the CT Data Collaborative website here: http://trafficstops.ctdata.org/. You can download data for all agencies at the bottom of the page. For the law enforcement officer count data, the Department of Emergency Services and Public Protection can provide this information."
09/25/2024,"can I get a list of all companies in Connecticut? I would need address, name of company, email address and revenue if you have that..also the industry type",I don't know.,,Business,,For work (e.g. using data on the Portal as part of my professional work),,,Tabular (e.g. tables or spreadsheets),,,"The Connecticut Business Registry dataset maintained by the Office of the Secretary of the State has information about businesses from the CT Business Registry (https://data.ct.gov/Business/Connecticut-Business-Registry-Business-Master/n7gp-d28j/about_data), including company name, address, email, and business type."
09/27/2024,"Hello,
I am requesting race/ethnicity data to be added to the State's Open Payroll dataset.",I don't know.,,Demographics,,For personal use (e.g. to find data about my community or other topics of personal interest),,,Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
10/02/2024,"Most recent environmental health investigation results and follow-up by property/parcel, especially on lead, asbestos, and radon. I envision something similar to a property search feature with a map where you can search by addresses.",Department of Public Health,,Housing and development,,For research (e.g. to find data for academic or public policy research),,"I work with refugees and immigrants, whom are disproportionately affected by lead poisoning, so I would like to use this data to ensure my clients are in safe homes without a history of environmental health hazards.",Spatial (e.g. maps),Local,,Request forwarded to agency
10/09/2024,Nurse practitioner prescribing by specialty.,I don't know.,,Other,"I would like to see the categorization of nurse practitioner specialties and prescribing schedule II medications. The physicians are categorized according to specialties. There is a difference between FNP , PMHNP, Pediatric NP, Women's Health NP, etc.",For personal use (e.g. to find data about my community or other topics of personal interest),,"I attended the DEA webinar regarding stimulant prescribing and it seems a bit skewed to say NPs (broad term) are responsible for the increase. Nurse practitioners can be categorized by specialty (NPI/taxonomy ID), MDs can also be divided by specialty and not grouped together. This would allow for more accurate reporting and targeted intervention and policies.",Not sure,,,Request forwarded to agency
10/10/2024,"From the 2023 LiDAR data set, would the GIS office be able to make a roof centerline dataset? The COGs may lack the processing power to run a model to create this type of data. The background for this is during the CT GIS Network's Summer Webinar https://www.youtube.com/watch?v=DVU938AB6Yk WestCOG presented a project on solar adoption and one data point they used was road orientation, assuming roofs generally follow the same centerline. I questioned the methodology, and the conclusion was there wasn't a dataset out there to validate the assumption, and the computing power needed to make such a dataset was outside the ability and scope of the project.",I don't know.,,Elevation,,For research (e.g. to find data for academic or public policy research),,"The original concept was validating theories about rooftop solar, but perhaps it can be used in other environmental projects like  evaluating whether roof orientation affects heat islands, or power consumption, or whether houses are built at an orientation that maximizes passive heat generation in the winter and cooling in the summer.",Spatial (e.g. maps),Statewide,,Request forwarded to agency
10/20/2024,new Haven county death records,I don't know.,,Demographics,,For personal use (e.g. to find data about my community or other topics of personal interest),,,Not sure,,,"This data is available in the dataset Connecticut Vital Records — Index of Deaths, 1897-2001 (https://data.ct.gov/History/Connecticut-Vital-Records-Index-of-Deaths-1897-200/psf6-3vsu/about_data)"
10/25/2024,CT Sales & Use Tax Penalty & Interest Revenue by month,I don't know.,,Business,,For personal use (e.g. to find data about my community or other topics of personal interest),,I was unfairly charged a penalty for my business Sales & Use Tax for the period ending June 2024. It was unfair because the CT DRS made a change to the way the submission worked on their website. I need to find out the Sales & Use Tax Penalty amount by month for this year,Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
10/28/2024,WWII veteran death,Department of Veterans Affairs,,Other,Deaths in WWII,For personal use (e.g. to find data about my community or other topics of personal interest),,Need death information for honoring him on Veterans day,Tabular (e.g. tables or spreadsheets),,,"This information is available in the National Archives. I will link to a few resources below that may help address your question:
WWII Casualty Lists guidance - document from the National Archive explaining how to find information on WWII casualties (https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.archives.gov%2Ffiles%2Fresearch%2Fmilitary%2Fww2%2Fcasualty-lists.pdf&data=05%7C02%7Cpauline.zaldonis%40ct.gov%7C806e89f3260b4bd98d4a08dcf81d3596%7C118b7cfaa3dd48b9b02631ff69bb738b%7C0%7C0%7C638658051584506656%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=Ng3ERDSfoSdVyTPUlKicOc4szvXSlIKO0CCOxRJDMWY%3D&reserved=0);
National Archives Catalog - online resource for accessing information in the National Archives (https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fcatalog.archives.gov%2F&data=05%7C02%7Cpauline.zaldonis%40ct.gov%7C806e89f3260b4bd98d4a08dcf81d3596%7C118b7cfaa3dd48b9b02631ff69bb738b%7C0%7C0%7C638658051584548502%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=6DcefYNl88QkOy38pOVDY95LG1oXLwToW567YutDaew%3D&reserved=0);
National Archives WWII Records page - more information about WWII records in the National Archives (https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.archives.gov%2Fresearch%2Fmilitary%2Fww2&data=05%7C02%7Cpauline.zaldonis%40ct.gov%7C806e89f3260b4bd98d4a08dcf81d3596%7C118b7cfaa3dd48b9b02631ff69bb738b%7C0%7C0%7C638658051584564127%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=k8N1HBsAP2DFT2s%2F1Ngm2%2FDE3u52Xchhvx6knEToN1M%3D&reserved=0)"
11/02/2024,I am looking for the blue print of how my well was dug at my house.,I don't know.,,Elevation,,For personal use (e.g. to find data about my community or other topics of personal interest),,I need to find where a part of the underground well pump is to have it repaired and there is no data in our information.  We bought the house 4 years ago,Spatial (e.g. maps),Local,,"For technical assistance on well construction, maintenance, water quality or water treatment please contact the CT Department of Public Health, Private Well Program at 860-509-8401, DPH.PrivateWellProgram@ct.gov, or contact your Local Health Department/District."
11/14/2024,"We need list of general merchandise wholesale stores and convenience stores , grocery stores , gas stations in Connecticut",State Data Center,,Business,,For work (e.g. using data on the Portal as part of my professional work),,For sales and marketing purposes,Tabular (e.g. tables or spreadsheets),,,"You can find this information in the State Licenses and Credentials dataset at this link: https://data.ct.gov/Business/State-Licenses-and-Credentials/ngch-56tr/about_data. This dataset has all the licenses and credentials in Connecticut's eLicensing system. 

You can filter the dataset for the licenses/credentials for the business types you are interested in. A list of license types is available here: https://portal.ct.gov/dcp/-/media/dcp/pdf/forms/licensetypesprefixfeespdf.pdf?rev=dd5f2039206e4f80ada5984e6ed9d6b4&hash=A68A99C06B38F71B6C4746552097C930"
11/14/2024,Literacy Assessment across CT.,State Department of Education,,Education,,For work (e.g. using data on the Portal as part of my professional work),,,Tabular (e.g. tables or spreadsheets),,,"The Grade 3 English Language Arts (ELA) Smarter Balanced Assessment results is available at Smarter Balanced Achievement/Participation (https://public-edsight.ct.gov/performance/smarter-balanced-achievement-participation?language=en_US). Smarter Balanced ELA assessment results are available for all Grades 3 through 8. In Grade 11, it’s the SAT and those data are at Connecticut SAT School Day (https://public-edsight.ct.gov/performance/connecticut-school-day-sat?language=en_US).

Other types of literacy assessments like phonemic awareness, vocabulary, fluency, etc. assessments are not currently collected or reported by the CSDE."
11/21/2024,"I am looking to see if [redacted] in Stratford, CT falls under any contaminated lists. I know that a neighboring business has been identified on the Remediation Division list, but I am do not see [redacted], which shares the same address, but not the same building.",I don't know.,,Environment and natural resources,,For personal use (e.g. to find data about my community or other topics of personal interest),,I am looking to see if [redacted] is under any investigation for environmental issues or potential contamination.,Not sure,,,The Department of Energy and Environmental Protection advised that this request should be made through the DEEP FOIA process. More information about the FOIA request process is here: https://portal.ct.gov/deep/about/foia-requests
11/26/2024,drilling contractors list,Department of Public Health,,Other,water well,For research (e.g. to find data for academic or public policy research),,,Tabular (e.g. tables or spreadsheets),,,"You can find this information in the State Licenses and Credentials dataset at this link: https://data.ct.gov/Business/State-Licenses-and-Credentials/ngch-56tr/about_data. This dataset has all the licenses and credentials in Connecticut's eLicensing system. 

You can filter the dataset for the credentials that are relevant to well drilling, which are listed here: https://portal.ct.gov/dcp/license-services-division/all-license-applications/well-drilling?language=en_US"
11/26/2024,Are there population projections per town more recent than the ones published in August 2017?,I don't know.,,Demographics,,For work (e.g. using data on the Portal as part of my professional work),,Tighe & Bond is an engineering consulting firm. We use the population projection data per town to estimate the population served by our drinking water utility clients and to estimate demand projections for water supply planning purposes.,Tabular (e.g. tables or spreadsheets),,,"The dataset you referenced (Connecticut Town Population Projections, 2015-2040: https://data.ct.gov/Government/Connecticut-Town-Population-Projections-2015-2040/p6hp-fnp7/about_data) is the current population projections data that I am aware of. The CT Department of Public Health and the CT Data Collaborative (the State Data Center for Connecticut) are working to develop updated projections."
12/10/2024,"Dear Connecticut Research Team,
I hope you are doing well.  I conduct research with Dr. Friedman and the TEMPO Lab at the Yale School of Public Health. We are currently researching recreational cannabis policies across the United States. More specifically, we are looking at the opt-out decisions by municipality.

Based on our reading of the Uniform Controlled Substances Act, we understand that Connecticut is required to collect information regarding each municipality’s choice. Is there a central repository for which you collect opt-outs/or information by municipality for the time-frame 2018-2024 with us?

Your help will enable us to accurately analyze Connecticut's cannabis landscape – ensuring CT is accurately represented in the project we are constructing for public use.",I don't know.,,Local government,,For research (e.g. to find data for academic or public policy research),,"CAPS Project Specifics Summary, Scope, Related Projects, and CollaboratorsProject Summary:
This project seeks to understand the impact of state and local cannabis policies on tobacco and nicotine product use. Researchers will collect data on a wide array of cannabis and tobacco policies, and analyze how these shape cannabis access as well as youth and adult use of cigarettes, cigars, e-cigarettes, other nicotine products, and cannabis. 

PI and Co-investigators:
Dr. Abigail Friedman at Yale University (PI)
Dr. Rosalie Pacula at University of Southern California (USC):
Dr. Michael Pesko at University of Missouri (Mizzou):
Dr. Jennifer Pearson at University of Nevada, Reno (UNR):
Dr. Sarah Stith at University of New Mexico (UNM):",Tabular (e.g. tables or spreadsheets),,,The Drug Control Division in the Department of Consumer Protection shared this website about municipal cannabis zoning changes reported to DCP: https://portal.ct.gov/cannabis/knowledge-base/articles/municipal-cannabis-zoning-changes-reported-to-dcp?language=en_US
12/10/2024,"Cannabis Regulatory cost breakdown (revenue from cannabis business licensing fees and costs to regulate like expenses for staff, IT materials, etc.)",Department of Consumer Protection,,Tax and revenue,,For work (e.g. using data on the Portal as part of my professional work),,"This data would be used for our adult-use cannabis finance report, to illustrate how much revenue states can potential make after regulating adult-use (recreational) cannabis.",Tabular (e.g. tables or spreadsheets),,,The Drug Control Division in the Department of Consumer Protection does not have this information available at this time. The Department of Revenue Services does publish information about taxes on cannabis products in a dataset here: https://data.ct.gov/Tax-and-Revenue/Cannabis-Tax/jey2-vq68/about_data
12/16/2024,Andover tax assessments latest detail list of all property's,I don't know.,,Tax and revenue,,For personal use (e.g. to find data about my community or other topics of personal interest),,Will be taking the CAAO class in June so want to look at the data to review what we will see in the class,Tabular (e.g. tables or spreadsheets),,,Assessor data for the whole state from 2024 is available in this dataset on the Open Data Portal: 2024 Connecticut Parcel and CAMA Data (https://data.ct.gov/Local-Government/2024-Connecticut-Parcel-and-CAMA-Data/pqrn-qghw/about_data).
12/31/2024,Birth index - similar to death records and divorce index; it is extremely time consuming to find this information. It would be helpful to have dates of birth occurring in Connecticut (dates of birth occurring greater than 75 years ago within Connecticut) published for genealogy and research.,Department of Public Health,,Demographics,,For personal use (e.g. to find data about my community or other topics of personal interest),,"Use for genealogy. The use of 3rd party companies to index data is a conflict of interest as it is typically behind a paywall (such as ""Ancestry.com""). Driving around Connecticut to compile the data is time consuming, requires physical access in many cases to the records (even if they are digitized) unless a premium is paid for digital access (which does not guarantee availability). This type of research does not require a physical copy of the record, just the data itself.",Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
01/03/2025,New Business registration,I don't know.,,Business,,For work (e.g. using data on the Portal as part of my professional work),,,Tabular (e.g. tables or spreadsheets),,,You can find all business registrations in Connecticut in this dataset: Connecticut Business Registry - Business Master (https://data.ct.gov/Business/Connecticut-Business-Registry-Business-Master/n7gp-d28j/about_data). There is also a dashboard that highlights trends in this data here (https://data.ct.gov/stories/s/dagr-u2hb).
