Report Year,Agency Name,Data Set Title,Data Set Description,Update Frequency,Planned Release Date,Date Status,Agency Comment
2013,Department of Education (DOE),"Regents  Exams results, by School","Regents results by School for all subjects, by Year",Annually,12/31/2018,,
2013,Department of Education (DOE),Location Information Report,"Report of all DOE School Information including Principal and Superintendent names, Cluster, Network, addresses & phone numbers",Daily,12/31/2018,,
2013,Department of Education (DOE),Audited Register Data,Official audited register by school,Annually,12/31/2018,,
2013,Department of Education (DOE),Annual Arts in School Reports Raw Data,"The Annual Arts in Schools Report includes data about arts teachers, arts budgeting, space for the arts, partnerships with arts and cultural organizations, and parent involvement for elementary, middle, and high schools. These reports help school administrators, parents, and students understand how their schools are progressing towards offering universal arts education to all students",Annually,12/31/2018,,
2013,Department of Education (DOE),School Facilities Summary,"School Facilities Summary includes: Architectural, Mechanical, and Electrical survey details, capacity and utilization data, capacity plan, active capital projects",Annually,12/31/2018,,
2013,Department of Education (DOE),Bus Route Status,"Bus Route Status for the day. Information coming from the Bus Route Status System 2.0. The Office of Pupil Transportation (OPT) provides service to over 600,000 NYC students attending both public and non-public schools located within the five boroughs and neighboring counties in New York, New Jersey and Connecticut",Daily,12/31/2018,,
2013,Department of Education (DOE),School Bus Delays and Breakdowns,"List of school bus delay for the day. The Office of Pupil Transportation (OPT) provides service to over 600,000 NYC students attending both public and non-public schools located within the five boroughs and neighboring counties in New York, New Jersey and Connecticut",Daily,12/31/2018,,
2013,Department of Education (DOE),Attendance by School and Year,"Attendance data reflect what has been reported via our Period Attendance Reporting (PAR) process. As additional data is reported, it will be reflected in subsequent postings. Monthly data can change as new data is reported, and overall register numbers are expected to decrease each year once audited numbers are finalized. CBOs not included. Register statistics are unaudited and unofficial",Annually,12/31/2018,,
2013,Department of Education (DOE),Daily School-wide Attendance,Daily school-wide attendance for all schools,Daily,12/31/2018,,
2013,Department of Education (DOE),Underutilized Space Report,"The DOE has previously identified 594 schools located in 330 buildings as “under-utilized” based upon the 2010-2011 Enrollment-Capacity-Utilization Report (The Blue Book). The DOE is also identifying 25 school buildings (listed below) which contain schools proposed for full phase-out, grade truncation or immediate closure due to poor performance. These proposals are scheduled to be voted on by the Panel for Education Policy on February 9, 2012. Should these proposals be approved, there will be excess space available in the buildings. In many cases, the DOE has already made companion proposals on how to use this additional space",Annually,12/31/2018,,
2013,Department of Transportation (DOT),Concrete Weekly Resurfacing Schedule,"Concrete schedule for installation or repair of concrete facilities (pedestrian, islands)",Weekly,08/01/2014,,
2013,Department of Environmental Protection (DEP),Summary of FCR of Distribution Samples,The data tables summarizes the chlorine residual values found at sites in distribution each month,Monthly,03/01/2015,,
2013,Department of Environmental Protection (DEP),Summary of Fluoride Levels of Distribution Samples,The data tables summarizes the fluoride values found at sites in distribution each month,Monthly,03/01/2015,,
2013,Department of Environmental Protection (DEP),Compliance Coliform Samples,This list contains information on the analytical results of samples collected for compliance with the Total Coliform Rule,Monthly,03/01/2015,,
2017,Office of the Manhattan Borough President (MBPO),Scheduling Google Form,Requests to meet with the BP form,As Needed,10/20/2017,New,
2013,Department of Environmental Protection (DEP),Summary of Turbidity of Distribution Samples,The data tables summarizes the turbidity values found at sites in distribution each month,Monthly,03/01/2015,,
2013,Department of Environmental Protection (DEP),Summary of DBP Quarterly Report,The data tables summarizes the disinfection by-product results for TTHM and HAA5 from distribution sites and calculated compliance values for each quarter,Quarterly,03/01/2015,,
2013,Department of Environmental Protection (DEP),CCR Annual Report,The data tables published as part of the Annual NYC Drinking Water Supply and Quality Report,Annually,05/30/2014,,
2013,Department of Environmental Protection (DEP),Entry Point LCR Monitoring Results,"Daily results from the entry points for orthophosphate, pH, temperature, conductivity and monthly alkalinity, calcium, lead and copper - Bi annually updated",Annually,03/01/2015,,
2013,Department of Environmental Protection (DEP),Distribution Sites LCR Monitoring Results,"Monthly results from the distribution sites for orthophosphate, pH, temperature, conductivity and monthly alkalinity, calcium, lead and copper - Bi annually updated",Annually,03/01/2015,,
2013,Department of Environmental Protection (DEP),Water Quality complaints,This is a running list of all water quality complaint types logged in Hansen.,Monthly,03/01/2015,,
2013,Department of Environmental Protection (DEP),Lead Kit Requests,This is a running list of 311 requests for lead testing kits which are logged in Hansen.,Quarterly,03/01/2015,,
2013,Department of Environmental Protection (DEP),LCR 90th percentile dataset,At-the-tap LCR compliance and free residential 1st draw 90th percentile data.,Quarterly,03/01/2015,,
2013,Department of Environmental Protection (DEP),LIMS and SAS databases,Water Quality data for watershed streams and reservoirs,Annually,07/31/2014,,
2013,Department of Environmental Protection (DEP),Daily Source Water Turbidity Data,The data table summarizes the daily source water turbidity data for DEL18DT,Monthly,03/01/2015,,
2013,Department of Environmental Protection (DEP),Source Water Fecal Coliform Data,The data table summarizes the daily source water fecal coliform data and SWTR compliance (% samples >20 FC/100 mL over previous 6 months) for DEL18DT,Monthly,03/01/2015,,
2013,Department of Environmental Protection (DEP),Cryptosporidium and Giardia Data Set,Cryptosporidium and Giardia Background Information and Monitoring Program,Annually,01/01/2014,,
2013,Department of Environmental Protection (DEP),Reservoir Provisional Data,"The data tables provides current reservoir storage levels along with release, diversion, and spill rates",Monthly,01/01/2014,,
2013,Department of Environmental Protection (DEP),Water Report,The data tables provides current precipitation and reservoir capacity data,Monthly,01/01/2014,,
2013,Department of Environmental Protection (DEP),Wastewater Treatment Plant Performance Data,The data tables provides a monthly roll up of key parameters at Wastewater treatment plants including SPEDES permit requirements,Monthly,01/01/2014,,
2013,Department of Environmental Protection (DEP),Land Acquisition Statistics,"The data tables provides annual statics on how much land we own, acquired, and total protected lands in the water shed",Annually,04/01/2014,,
2013,Department of Environmental Protection (DEP),Recreational Boating Permits,The data tables provides a number of permits issued by type of boat and by basin,Annually,04/01/2014,,
2013,Department of Environmental Protection (DEP),Monthly Operating Efficiency,Average monthly performance data for 14 NYC WWTPs.,Monthly,06/30/2014,,
2013,Department of Environmental Protection (DEP),Water Quality,Weekly /YTD Water quality data,Weekly,06/30/2014,,
2013,Department of Environmental Protection (DEP),CATS Permits,Contains information on current boiler and industrial operation permits in New York City registered with  DEP,Daily,12/31/2014,,
2013,Department of Environmental Protection (DEP),ARTSACP7,Contains information on asbestos abatement  projects taking place in New York City,Daily,12/31/2017,,
2013,Department of Environmental Protection (DEP),Catch Basin Permit,"The DEP Application and Permit data will contain information about the different types of applications approved and permits issued on a regular basis. The Data will include application information such as development details, location, results, and status information.",Daily,12/01/2016,,
2013,Department of Environmental Protection (DEP),Manhole Permit,Manhole Permit,Daily,09/01/2016,,
2013,Department of Environmental Protection (DEP),Private Sewer Construction Permit,Private Sewer Construction Permit,Daily,09/01/2016,,
2013,Department of Environmental Protection (DEP),Private Water Main Construction Permit,Private Water Main Construction Permit,Daily,09/01/2016,,
2013,Department of Environmental Protection (DEP),Seepage Basins Permit,Seepage Basins Permit,Daily,09/01/2016,,
2013,Department of Environmental Protection (DEP),Sewer Connection Permit,Sewer Connection Permit,Daily,12/01/2014,,
2013,Department of Environmental Protection (DEP),Sewer Plug Permit,Sewer Plug Permit,Daily,12/01/2014,,
2013,Department of Environmental Protection (DEP),Water Service Plug Permit,Water Service Plug Permit,Daily,12/01/2014,,
2013,Department of Environmental Protection (DEP),DEP Cross Connection Control Risk Assessment,This is a guideline for Professional Engineers/Registered Architects for filing Backflow Prevention Device Plans for all property types.,Annually,01/01/2014,,
2013,Department of Environmental Protection (DEP),Acceptable Double Check Valve Assemblies,List of acceptable double check valve assemblies,Annually,01/01/2014,,
2013,Department of Environmental Protection (DEP),Acceptable Reduced Pressure Zone Devices,List of acceptable reduced pressure zone devices,Annually,01/01/2014,,
2013,Department of Environmental Protection (DEP),Acceptable Double Check Detector Assemblies,List of acceptable double detector assemblies,Annually,01/01/2014,,
2013,Department of Environmental Protection (DEP),Acceptable Reduced Pressure Detector Assemblies,List of acceptable reduced pressure detector assemblies,Annually,01/01/2014,,
2013,Department of Environmental Protection (DEP),Sewer Design Standards,"Standards for sewers, manholes, catch basins, precast manholes, precast catch basins and sewer appurtenances. Those standards are used in the design of capital & private sewer projects",Annually,01/01/2014,,
2013,Department of Environmental Protection (DEP),Hydraulic Computation Worksheet Templates,This is an example worksheet for developing and submitting a Hydraulic Study for DEP approval. A Hydraulic Study is used to analyze the adequacy of an existing sewer to receive sanitary and storm flows generated from an area tributary to the sewer.,Annually,01/01/2014,,
2013,Department of Environmental Protection (DEP),Work Order  Management Module,Work orders associated with a CSR complaints,Daily,12/01/2014,,
2013,Department of Environmental Protection (DEP),Customer Service Module,"The DEP Customer Service dataset will contain information about the different types of complaints received /processed on a regular basis. The dataset will include complaint information such as complaint type, caller information, location, status, or resolution code.",Daily,07/01/2014,,
2013,Department of Environmental Protection (DEP),CSO BMP Report Appendices,Data from tables and charts included in DEP's Combined Sewer Overflow Best Management Practices Annual Report,Annually,03/01/2014,,
2013,Department of Finance (DOF),Exemption Classification Codes,Table of codes and the corresponding description,Semi-annually,12/31/2018,,
2013,Department of Finance (DOF),Annualized Calendar Sales Update,Sales data for the calendar year,Annually,12/31/2018,,
2013,Department of Finance (DOF),Open Balance Detail,Mainframe text file.,Quarterly,12/31/2018,,
2013,Department of Finance (DOF),Licensed cigarette wholesale dealers,Mainframe file,Semi-annually,12/31/2018,,
2013,Department of Finance (DOF),Stamping agents,Mainframe file,Semi-annually,12/31/2018,,
2013,Department of Finance (DOF),Vending machine operators,Mainframe file,Semi-annually,12/31/2018,,
2013,Department of Finance (DOF),Tax lien sale lists,Properties with tax and/or water liens that are potentially eligible to be included in the next lien sale.,Monthly,12/31/2018,,
2013,Department of Finance (DOF),Property Abatements,Benefits which reduce property tax liability and related details.  Abatement detail files (mainframe files),Quarterly,12/31/2018,,
2013,Department of Finance (DOF),Properties that received Revised Notice of Value,Original and revised assessment figures for each parcel of property related to a particular mailing.  (Register as an Excel spread sheet),Semi-annually,12/31/2018,,
2013,Department of Finance (DOF),Property tax rates by tax class,Table of tax rates by year,Annually,12/31/2018,,
2013,Department of Finance (DOF),Refund list - real property tax,"Details about refund checks for overpaid Property Tax accounts, with amounts broken down by specific charge. Available for calendars years 2011-Current.",Monthly,12/31/2018,,
2013,Department of Finance (DOF),Real Property Income and Expense Form non-compliance lists,Properties required to file RPIE-2010 which did not do so.,Annually,12/31/2018,,
2013,Department of Finance (DOF),Public Improvement lien (mechanics liens) docket,Details about claims of non-payment for labor or materials provided to a government contractor or subcontractor.,Monthly,12/31/2018,,
2013,Department of Finance (DOF),Cigarette tax enforcement data,"Amount billed and collected from vendors or untaxed cigarettes, including number of NYC customers for each vendor.",Monthly,12/31/2018,,
2013,Department of Finance (DOF),General Corporation Tax Issuer Allocation Percentage Reports,IAP for all corporations subject to the tax for 1998 - Current.,Annually,12/31/2018,,
2013,Department of Finance (DOF),Banking Corporation Tax Issuer Allocation Percentage Reports,IAP for all corporations subject to the tax for 1997 - Current.,Annually,12/31/2018,,
2013,Department of Finance (DOF),ACRIS - Real Property - Master Records,This dataset contains one record for each recorded real property document. The unique key (which is the link to the other records for the document) is the Document ID.,Monthly,09/23/2013,,
2013,Department of Finance (DOF),ACRIS -Real Property - Lot Record,This dataset contains property information with one record for each property (BBL) on the document.,Monthly,09/23/2013,,
2013,Department of Finance (DOF),ACRIS - Real Property -Party Record,This dataset contains party information with one record for each party on the document.,Monthly,09/23/2013,,
2013,Department of Finance (DOF),ACRIS - Real Property -Cross References Record,This dataset contains cross reference information (if any) for recorded documents.,Monthly,09/23/2013,,
2013,Department of Finance (DOF),ACRIS - Real Property -Remarks Record,This dataset contains remarks information (if any) for recorded documents.,Monthly,09/23/2013,,
2013,Department of Finance (DOF),ACRIS - Personal Property - Master Record,This dataset contains one record for each recorded personal property document. The unique key (which is the link to the other records for the document) is the Document ID.,Monthly,09/23/2013,,
2013,Department of Finance (DOF),ACRIS - Personal Property - Lot Record,This dataset contains property information with one record for each property (BBL) on the document.,Monthly,09/23/2013,,
2013,Department of Finance (DOF),ACRIS - Personal Property - Party Record,This dataset contains party information with one record for each party on the document.,Monthly,09/23/2013,,
2013,Department of Finance (DOF),ACRIS - Personal Property - Cross References Record,This dataset contains cross reference information (if any) for recorded documents.,Monthly,09/23/2013,,
2013,Department of Finance (DOF),Personal Property - Remarks Record,This dataset contains remarks information (if any) for recorded documents.,Monthly,12/31/2018,,
2013,Department of Finance (DOF),CPRR Receivables,"Amounts owed for various agencies such as DOF Parking and Property Taxes, DCAS Rents, DSNY Abandoned Vehicle Towing, FDNY Inspections, DOB Electrical Permits, ECB violations, SAPO Street Activity Permits.",TBD,12/31/2018,,
2013,Department of Finance (DOF),CPRR Remittances,"Payments received via web pages for various agencies such as DOF Parking Tickets and Property Taxes, DCAS Rents, DOHMH Dog Licenses, HPD Heat and Hot Water Repairs, DSNY Abandoned Vehicle Towing, FDNY Inspections, DOB Electrical Permits, ECB violations",TBD,12/31/2018,,
2013,Department of Finance (DOF),NYCServ Payments,"Payments received for DOF Parking Tickets, Property and Business Taxes, DEP Water Charges, ECB, DOH, DCA Violations",TBD,12/31/2018,,
2013,Department of Health and Mental Hygiene (DOHMH),Air Quality,Dataset contains information on New York City air quality surveillance data,Annually,12/31/2018,,
2013,Department of Social Services (DSS) - Department of Homeless Services (DHS),Data Dashboard,The DHS Data Dashboard provides aggregate information on individuals and families by case type; the ethnicity of shelter clients; the number of shelter entrants by borough; the number of shelter exits; how many school aged children are in shelter; the placements of chronically street homeless individuals; and prevention enrollments,Quarterly,12/31/2015,,
2013,Department of Social Services (DSS) - Department of Homeless Services (DHS),Local Law 37 report,The DHS Local Law 37 report provides aggregate information on individuals and families that utilize DHS services including data on length of stay and shelter applications,Monthly,12/31/2014,,
2013,Department of Social Services (DSS) - Department of Homeless Services (DHS),"Local Law 19, Section 612 Report","The DHS Local Law 19, Section 612 report provides aggregate data on outreach services, permanent housing placements and shelter length of stay",Quarterly,12/31/2014,,
2013,Department of Social Services (DSS) - Department of Homeless Services (DHS),Daily Report,The Daily Report dataset includes the daily number of families and individuals residing in the Department of Homeless Services (DHS) shelter system and the daily number of families applying to the DHS shelter system,Daily,08/23/2014,,
2013,Department of Housing Preservation and Development (HPD),Building,"Pursuant to New York City's Housing Maintenance Code, HPD collects information on multiple dwellings in New York City, and other buildings that fall under its jurisdiction. The list contains building location information, multiple registration numbers and the number of dwelling units by type",Monthly,02/01/2014,,
2013,Department of Housing Preservation and Development (HPD),Charges,"The data set contains information on work orders created through HPD's Emergency Repair Program, Alternative Enforcement Program and Demolition programs and fees assessed against properties by HPD pursuant the Housing Manteca Code.  The work orders are created to conduct emergency repair work when an owner fails to address a hazardous condition pursuant to the requirements of an HPD-issued violation, a Department of Buildings Declaration of Emergency, a Department of Health Commissioner's Order to Abate or an emergency violation issued by another City Agency",Monthly,02/01/2014,,
2013,Department of Housing Preservation and Development (HPD),Complaints,"HPD records complaints that are made by the public through the 311 City Services Center, Code Enforcement Borough Offices or the internet for conditions which violate the NYC Housing Maintenance Code or the NY State Multiple Dwelling Law (MDL).  Each complaint is associated with one or more problems reported by the complainant",Monthly,02/01/2014,,
2013,Department of Transportation (DOT),Sidewalk Weekly Resurfacing Schedule,"Sidewalk schedule to repair, replace and/or install sidewalks and curbs",Weekly,08/01/2014,,
