#,Tracker,Status,Priority,Subject,Assignee,Updated,% Done
9125,Bug,Review,Normal,Failure to convert decimal variables that exceed 50 decimals.,Artur ?colnic,09/03/2024 07:00 AM,0
11161,Bug,Review,Normal,fail gracefully when the database connection can not be established,Artur ?colnic,03/09/2026 11:03 AM,50
9061,Bug,WIP,Normal,Catch inside a catch block does not work.,Artur ?colnic,08/21/2024 04:55 AM,0
8272,Bug,WIP,Normal,reduce ClassNotFoundException and NoSuchMethodException usage in RuntimeJastInterpreter,Artur ?colnic,02/19/2025 05:54 AM,0
9091,Bug,WIP,Normal,Unique composite index is ignored when create is used in an external procedure,Artur ?colnic,09/05/2024 05:06 AM,0
10963,Bug,WIP,Urgent,appserver resiliency and self healing,Artur ?colnic,02/03/2026 03:38 AM,90
11288,Bug,WIP,Normal,Check if c3p0 is required for in-memory databases,Artur ?colnic,03/27/2026 11:27 AM,0
10362,Bug,WIP,Normal,FastFindCache.L2Key uses the buffer alias in the FQL ,Artur ?colnic,12/23/2025 06:15 AM,50
10373,Bug,WIP,Normal,Try to replace the StackUnwindExceptions used for control flow in BlockManager with a return value,Artur ?colnic,08/06/2025 05:26 AM,0
6389,Bug,WIP,High,LENGTH function with COLUMN option,Artur ?colnic,06/23/2025 01:05 PM,50
9702,Bug,New,Normal,BaseRecord.getDirtyIndices is slow,Artur ?colnic,02/25/2025 07:04 AM,0
6919,Bug,Review,High,fix ErrorManager.displayError in TempTableBuilder,Boris Schegolev,03/09/2023 03:03 PM,100
7438,Bug,Review,Normal,"the label in the UNDO <lbl>, THROW is not validated or used in 4GL",Constantin Asofiei,06/16/2023 07:16 AM,100
11271,Bug,Review,Normal,server-side streams and files with frames/redirected terminal,Constantin Asofiei,03/27/2026 03:16 AM,100
6810,Bug,Review,High,NPE in PreselectQuery.assembleFromClause,Constantin Asofiei,10/05/2022 11:08 AM,100
6642,Bug,Review,Normal,improve parsing memory footprint,Constantin Asofiei,07/29/2022 06:51 AM,100
11015,Bug,Review,High,"allow cleanup the DMO types, caches, etc for dynamic temp-tables",Constantin Asofiei,02/13/2026 04:50 PM,90
2809,Bug,WIP,Normal,implement missing behaviour related to HIDDEN attribute,Constantin Asofiei,11/16/2016 12:23 PM,70
3589,Bug,WIP,Normal,empty title forces a title area in a GUI frame,Constantin Asofiei,05/30/2018 04:57 AM,100
2204,Bug,WIP,Normal,concurrency issue between  user authentication and security cache refresh by the admin console,Constantin Asofiei,11/26/2013 04:08 AM,70
7089,Bug,WIP,Normal,sanitize p2j.oo method signature,Constantin Asofiei,02/15/2023 05:21 AM,50
5558,Bug,WIP,High,Direct Java interface: extra semicolon in converted Java breaks program logic,Constantin Asofiei,07/23/2021 02:20 PM,50
2075,Bug,WIP,Normal,unknown literals in nested expressions,Constantin Asofiei,03/04/2013 10:53 AM,0
6766,Bug,WIP,Normal,"before-table options not inherited from the after-table (like NO-UNDO, SHARED, etc)",Constantin Asofiei,09/17/2022 09:04 AM,0
2713,Bug,WIP,Low,Incorrect labels in case of the overlapping widgets.,Constantin Asofiei,10/20/2015 01:53 PM,0
3347,Bug,WIP,Normal,HELP string support doesn't work for demo_widgets.p,Constantin Asofiei,10/10/2017 02:54 PM,100
6392,Bug,WIP,Normal,buffer flush and validation when the external program gets deleted can cause unique index validation error,Constantin Asofiei,05/24/2022 08:50 AM,0
4421,Bug,WIP,Normal,blob/clob access with H2,Constantin Asofiei,12/02/2019 09:21 AM,0
10483,Bug,WIP,Normal,memory leak in BufferManager.openBuffers,Constantin Asofiei,10/03/2025 04:40 AM,70
4160,Bug,WIP,Normal,Arrays assigment issue,Constantin Asofiei,03/03/2020 01:04 PM,80
6591,Bug,WIP,Normal,DMO collisions with converted program/legacy class name or FWD classes,Constantin Asofiei,07/12/2022 02:38 PM,100
3093,Bug,WIP,Normal,widget-pool resources need to be pre-ordered when deleted (to enforce parent/child relationshinps for widgets),Constantin Asofiei,09/21/2016 09:45 AM,0
1442,Bug,WIP,Normal,stream re-opened to the same file flushes previous buffer,Constantin Asofiei,01/11/2013 12:14 PM,0
6699,Bug,WIP,Normal,TemporaryBuffer$Multiplexer memory leak in global block,Constantin Asofiei,09/15/2022 01:24 PM,90
8154,Bug,WIP,Normal,refactor scopeable stacks,Constantin Asofiei,04/01/2024 06:41 PM,30
5046,Bug,New,Normal,ErrorManager - recordOrShowError,Constantin Asofiei,12/18/2020 02:00 AM,0
4825,Bug,New,Normal,OutputTableHandleCopier dynamically defines destination temp-table,Constantin Asofiei,10/20/2020 01:21 PM,0
5194,Bug,New,Normal,"Stream handle - type missing, not deletable",Constantin Asofiei,03/12/2021 09:33 AM,0
2766,Bug,New,Normal,implement a text metrics server process,Constantin Asofiei,12/28/2017 11:13 AM,0
2728,Bug,New,Normal,MOUSE_RELEASED/CLICKED needs to use the same source as the initial MOUSE_PRESSED event,Constantin Asofiei,11/16/2016 12:23 PM,0
5150,Bug,New,Normal,killing the web page for the web client should raise the equivalent of a window-close event,Constantin Asofiei,01/13/2022 10:57 AM,0
10110,Bug,New,Normal,add ClientPrincipal support for FWD OpenClient,Constantin Asofiei,07/29/2025 06:24 AM,30
2356,Bug,New,Normal,pphints bug - nested includes are missing from the.pphints file,Constantin Asofiei,04/27/2017 12:40 PM,0
2727,Bug,New,Normal,fill-in text selection is broken,Constantin Asofiei,11/16/2016 12:23 PM,0
5123,Bug,New,Normal,Remove sessionFree AppServer configuration parameter,Constantin Asofiei,02/02/2021 11:42 AM,0
6629,Bug,Internal Test,Normal,incremental conversion for OpenClient proxy programs,D?nu? Filimon,03/04/2026 04:22 AM,100
11156,Bug,Review,Normal,Conversion fails if source folder is a symlink,D?nu? Filimon,01/30/2026 05:44 AM,100
9078,Bug,Review,Normal,emit FindQuery as (reused) variables,D?nu? Filimon,08/19/2025 09:00 AM,100
9318,Bug,Review,Normal,Make record nursery visible on removeRecords,D?nu? Filimon,05/13/2025 06:42 AM,90
9032,Bug,WIP,Normal,Reduce the number of exceptions that are being thrown,D?nu? Filimon,10/01/2024 05:38 AM,50
7059,Bug,WIP,Normal,FWD shouldn't raise errors for non-numeric extent indexes.,D?nu? Filimon,06/27/2023 08:04 AM,0
7567,Bug,WIP,Normal,use Session.PK instead of DatabaseManager.PRIMARY_KEY wherever possible,D?nu? Filimon,11/15/2023 08:23 AM,80
6385,Bug,WIP,Normal,Problem with conversion of REPOSITION TO ROWID with UNKNOWN literal for rowid,D?nu? Filimon,07/05/2023 03:30 AM,0
8044,Bug,WIP,Normal,"Fix ""Failed direct-access due to Error direct accessing for finding record by unique index"" messages",D?nu? Filimon,04/25/2025 05:42 AM,90
7421,Bug,WIP,Normal,Check only the indexes that were changed when using Validation.checkMaxIndexSize ,D?nu? Filimon,07/26/2023 03:29 AM,80
7722,Bug,WIP,Normal,improve performance of equals/not equals when used with character/longchar,D?nu? Filimon,08/24/2023 07:45 AM,80
9590,Bug,WIP,Normal,Double LOAD for each record in FWD,D?nu? Filimon,02/19/2025 03:30 AM,50
9852,Bug,WIP,Normal,"Portal ""C_10"" does not exist error",D?nu? Filimon,04/03/2025 06:55 AM,0
5307,Bug,WIP,Normal,AdaptiveQuery goes into dynamic mode too aggressively,D?nu? Filimon,11/09/2022 07:36 AM,0
9396,Bug,WIP,Normal,Improve Incompatible data types in expression or assignment. (223) error handling,D?nu? Filimon,12/12/2024 04:29 AM,80
7647,Bug,New,Normal,Leverage internal H2 _ROWID_ with FWD recid,D?nu? Filimon,08/17/2023 03:20 AM,0
11294,Bug,Review,Normal,Widget is overlapped by another widget after the parent frame is made visible ,Delia Mitric,03/13/2026 07:53 AM,100
11314,Bug,Review,Normal,UP/DOWN key pressed after CTRL_LEFT /CTRL_RIGHT in a COMBO-BOX doesn't select the correct  list-item,Delia Mitric,03/25/2026 04:13 AM,100
11044,Bug,Review,Normal,FILL-IN with Unknown Value: Incorrect Key Input Handling,Delia Mitric,03/05/2026 05:50 AM,100
10706,Bug,Review,Normal,Date FILL-IN: Unintended VALUE-CHANGED Event Triggered by BACKSPACE,Delia Mitric,01/29/2026 03:38 PM,100
10875,Bug,Review,Normal,COMBO-BOX: Ctrl-UP and Ctrl-DOWN keys do nothing,Delia Mitric,03/25/2026 06:09 AM,100
11170,Bug,WIP,Normal,The caret position is initially wrong  for DECIMAL/INTEGER FILL-IN widgets,Delia Mitric,03/24/2026 05:14 AM,90
6963,Bug,New,Normal,Incorrect conversion of legacy class constructors with an unknown argument of object type,Eduard Marcu,12/03/2024 05:35 AM,0
7999,Bug,Review,Urgent,FWD does not honor FIELDS/EXCEPT at dynamic queries,Eduard Soltan,02/27/2026 04:23 AM,100
10611,Bug,Review,Normal,Incorrect abbreviation name resolved at conversion time,Eduard Soltan,01/30/2026 07:09 AM,100
4602,Bug,Review,Normal,fixes for OO 4GL and structured error handling ,Eduard Soltan,03/18/2026 10:35 AM,100
7352,Bug,WIP,Normal,Mismatching results when comparing case-insensitive/case-sensitive values between 4GL and FWD,Eduard Soltan,07/11/2023 02:50 AM,0
5651,Bug,WIP,Normal,conditions raised from a finally block,Eduard Soltan,03/25/2026 01:31 PM,20
9354,Bug,WIP,Normal,Invalid handle (3135) error is thrown insted of the 10068 error.,Eduard Soltan,02/24/2026 10:10 AM,90
9819,Bug,WIP,Normal,SESSION:FIRST-ASYNC-REQUEST and SESSION:LAST-ASYNC-REQUEST,Eduard Soltan,05/21/2025 07:15 AM,70
5761,Bug,New,Normal,replace ErrorManager.displayError with recordOrThrowError and fix recordOrShowError to morph into a recordOrThrowError in certain cases.,Eduard Soltan,03/19/2026 08:13 AM,0
10961,Bug,New,Normal,Optimize StringBuilder usage in FWD,Eduard Soltan,12/08/2025 03:52 AM,0
2656,Bug,WIP,Normal,race condition in DynamicTablesHelper,Eric Faulhaber,11/16/2016 12:08 PM,0
3315,Bug,WIP,Normal,infinite loop in mark_client_branch during annotations because of nest CAN-FINDs with temp and perm tables,Eric Faulhaber,08/24/2017 11:49 AM,0
2261,Bug,New,Normal,improve server startup performance,Eric Faulhaber,11/16/2016 12:30 PM,50
4797,Bug,New,Normal,"review Persistence.load, as called by RAQ.executeImpl",Eric Faulhaber,07/20/2020 03:00 PM,0
6599,Bug,New,Normal,minimal mode conversion problem with DMO name collision,Eric Faulhaber,08/15/2022 01:11 PM,0
8135,Bug,New,Normal,replace ScopedDictionary for better performance,Eric Faulhaber,12/21/2023 02:42 PM,0
10693,Bug,Merge Pending,Normal,Incorrect z-order and focus for new Stack trace dialog ,Eugenie Lyzenko,12/03/2025 06:38 AM,100
6676,Bug,Review,Normal,BACK-TAB jumps by two widgets at once,Eugenie Lyzenko,08/16/2022 10:34 AM,0
7657,Bug,Review,Normal,8-bit character entry problem in ChUI,Eugenie Lyzenko,04/30/2025 08:23 AM,100
8139,Bug,New,Normal,"OS-COMMAND fails on windows if not in ""batch mode""",Eugenie Lyzenko,02/02/2024 03:03 AM,0
8116,Bug,New,Normal,SEARCH vs FILE-INFO,Eugenie Lyzenko,12/14/2023 09:29 AM,0
10365,Bug,Internal Test,Normal,Mismatched number of parameters passed to routine for external function,Florin Eugen Rotaru,09/15/2025 09:16 AM,100
9350,Bug,Internal Test,Normal,gap marking for LOG-MANAGER attributes and methods is probably wrong,Galya B,12/10/2024 09:57 AM,100
8383,Bug,Review,Normal,Some JsonObject methods create a LOG-MANAGER record in silent,Galya B,11/21/2024 07:54 AM,100
4978,Bug,Review,Normal,Static method call in base class,Greg Shah,07/26/2021 10:22 AM,100
5561,Bug,Review,High, Direct Java interface: conversion crashes when an expression is passed as argument to Java call,Greg Shah,07/22/2021 03:06 PM,100
6640,Bug,New,Normal,"parsing bug for initial "",0000""  for decimal variables or fields",Greg Shah,12/09/2024 11:55 AM,0
7742,Bug,WIP,Normal,NPE on LinuxKeyboardReader when pressing Escape in ChUI Swing application,Hynek Cihlar,08/23/2023 01:54 PM,80
5375,Bug,New,Normal,Window resizing by mouse dragging problem in WEB client,Hynek Cihlar,05/17/2021 03:06 PM,0
4043,Bug,New,Normal,Eclipse static code analysis potential issues,Igor Skornyakov,04/19/2019 06:06 AM,0
2879,Bug,New,Normal,selecting item from the list by mouse in SELECTION-LIST widget is broken,Igor Skornyakov,02/18/2016 09:04 AM,0
2935,Bug,New,Normal,Active drop-down disables triggers and WAIT ... PAUSE,Igor Skornyakov,01/06/2016 10:34 AM,0
7364,Bug,New,Normal,Build a full test-suite for fast copy-temp-table ,Ioana-Cristina Prioteasa,04/24/2025 03:38 AM,0
10266,Bug,WIP,Normal,Incorrect Input Handling in Grouped CHARACTER FILL-INs,Ionut-Mihai Simioniuc,02/09/2026 11:59 AM,80
9133,Bug,Internal Test,Normal,Array subscript is out of range stops the evaluation of other expressions in the where clause,Lorian Sandu,01/22/2025 04:13 AM,0
9414,Bug,New,Normal,Re-enable support for nio sockets on Java 17,Lorian Sandu,02/10/2025 06:40 AM,0
10732,Bug,New,Normal,Fix Stream.assignDatum to handle all possible BDT types ,Lorian Sandu,10/16/2025 07:38 AM,0
7460,Bug,Merge Pending,High,implement Progress.Lang.Class:getMethods ,Marian Edu,12/04/2023 03:25 AM,80
6053,Bug,Review,Normal,Widget realisation,Marian Edu,07/21/2022 11:54 AM,100
10569,Bug,Internal Test,Normal,Semicolon is skipped while preprocessing,Octavian Adrian Gavril,02/25/2026 08:57 AM,100
10639,Bug,Review,Normal,Incremental conversion - unexpected DMO generation for space-only changes,Octavian Adrian Gavril,11/11/2025 03:03 AM,100
10482,Bug,WIP,High,[REGRESSION] DMO temp-table SQL name is no longer deterministic,Octavian Adrian Gavril,09/04/2025 04:10 AM,0
9969,Bug,WIP,Normal,Parsing query string error with \r character.,Octavian Adrian Gavril,02/24/2026 08:35 AM,100
10028,Bug,WIP,Normal,FWD needs full support for unicode/octal escape sequences,Octavian Adrian Gavril,05/22/2025 09:51 AM,0
9835,Bug,WIP,Normal,The same rules files are loaded and compiled multiple times,Octavian Adrian Gavril,04/10/2025 09:58 AM,0
7113,Bug,Review,Normal,Problem with nested CAN-FIND conversion,Ovidiu Maxiniuc,11/29/2023 11:56 AM,0
6577,Bug,Review,Normal,move RecordBuffer.ooFields at the DMO meta,Ovidiu Maxiniuc,07/20/2022 04:51 AM,100
1576,Bug,WIP,Normal,Moving ACL items up and down faulty in admin applet,Ovidiu Maxiniuc,10/15/2012 09:50 AM,0
5289,Bug,WIP,Normal,Misc. problems with triggers,Ovidiu Maxiniuc,06/14/2021 06:15 PM,0
5322,Bug,WIP,Low,FqlToSqlConverter fails to identify property,Ovidiu Maxiniuc,05/07/2021 02:05 PM,0
4796,Bug,WIP,Normal,locking regression in RAQ introduced with the FFC ,Ovidiu Maxiniuc,07/21/2020 02:37 AM,0
1575,Bug,WIP,Normal,Move ACL instance fail,Ovidiu Maxiniuc,10/05/2012 11:54 AM,0
5625,Bug,WIP,Normal,changing a before-table reserved field does not flush the change in the after-table,Ovidiu Maxiniuc,09/13/2021 10:55 AM,0
1450,Bug,WIP,Normal,comment conversion fail,Ovidiu Maxiniuc,10/24/2012 10:42 AM,0
6703,Bug,WIP,Normal,loading schema table DMO interface with no defined fields,Ovidiu Maxiniuc,10/05/2022 02:21 PM,100
3647,Bug,WIP,Normal,incorrect hql and incorrect sql generated for nested CAN-FIND,Ovidiu Maxiniuc,07/20/2018 09:30 AM,0
6502,Bug,WIP,High,"DATASET:CREATE-LIKE copies temp-table options (like XML-NODE-NAME), while TEMP-TABLE:CREATE-LIKE does not",Ovidiu Maxiniuc,07/07/2022 12:45 PM,50
8952,Bug,WIP,Normal,Maximum function call inside a dynamic query is broken,Ovidiu Maxiniuc,07/12/2024 09:23 AM,0
3243,Bug,New,Low,possible mismatch in runtime sequence definition and retrieval,Ovidiu Maxiniuc,02/07/2017 12:08 PM,0
4917,Bug,New,Normal,eliminate redundant ORDER BY elements in multi-table queries,Ovidiu Maxiniuc,10/01/2020 01:16 PM,0
2536,Bug,New,Low,improve dynamic query parser error handling,Ovidiu Maxiniuc,11/16/2016 01:21 PM,80
1690,Bug,New,Normal,better exception handling when OS libraries are not found by P2J,Ovidiu Maxiniuc,10/23/2012 05:33 PM,0
10624,Bug,Review,Normal,DO WHILE that contains a FINALLY block can be executed too many times,Paul Bodale,01/21/2026 08:37 AM,100
4766,Bug,WIP,Normal,fix CHR and ASC,Paul Bodale,02/20/2026 10:29 AM,70
2990,Bug,New,Normal,inconsequent field names in shared temp-tables,Paul E,02/11/2016 11:18 AM,0
10620,Bug,Review,Normal,Missing getter when converting frame attributes in MESSAGE statements,Paula P?str?gu?,09/26/2025 07:24 AM,100
9985,Bug,WIP,Normal,Incorrect text width calculation when metrics are not cached,Paula P?str?gu?,09/18/2025 04:01 AM,10
7132,Bug,WIP,Normal,Eliminate for-each loops and lambda in FWD-H2 code,Radu Apetrii,02/27/2023 08:45 AM,50
7211,Bug,WIP,Normal,Several H2 connections for one single session,Radu Apetrii,06/01/2023 08:30 AM,0
7252,Bug,WIP,Normal,Use direct-access to support for-each queries without WHERE and BY clauses,Radu Apetrii,02/08/2024 09:01 AM,90
7474,Bug,WIP,Normal,FindQuery provides the wrong result because the record is not updated in the database,Radu Apetrii,03/15/2024 01:30 PM,0
9194,Bug,WIP,High,FWD selects the wrong index when using CONTAINS?,Radu Apetrii,11/26/2024 09:45 AM,50
8459,Bug,WIP,Normal,investigate changing H2 to allow NULL to equal NULL (and the impact on the other compare operators),Radu Apetrii,03/25/2024 02:53 AM,90
11114,Bug,Internal Test,Normal,NPE when redirecting terminal,Razvan-Nicolae Chichirau,03/16/2026 09:32 AM,100
10938,Bug,Review,Normal,Date FILL-IN: Incorrect SCREEN-VALUE after widget enablement,Razvan-Nicolae Chichirau,03/23/2026 07:50 AM,100
11211,Bug,Review,Normal,Improve source detection when dispatching mouse wheel events,Razvan-Nicolae Chichirau,02/27/2026 06:24 AM,100
11191,Bug,WIP,Normal,ChUI: COMBO-BOX raises error 4058 on valid SCREEN-VALUE assignment,Razvan-Nicolae Chichirau,03/24/2026 04:47 AM,0
9525,Bug,Review,Normal,Testcases: incorrect placeholders in directory.xml.template and other configuration problems,Roger Borrello,09/23/2025 10:56 AM,100
5587,Bug,WIP,Normal,Decimal format  not handled properly ,Roger Borrello,08/06/2021 03:48 PM,0
9102,Bug,WIP,Normal,Cleanup implementation of custom color tables,Roger Borrello,02/11/2025 01:00 PM,0
4618,Bug,New,Normal,Default location of dialog box title is left justified instead of centered,Roger Borrello,04/29/2020 12:01 PM,0
8919,Bug,WIP,Normal,Cursor issues with LOAD-MOUSE-POINTER and Win32 SetCursor,?erban Bursuc,07/23/2024 09:38 AM,20
10530,Bug,WIP,Normal,Move cursor change logic from JS client to the FWD client,?erban Bursuc,09/08/2025 07:09 AM,0
9592,Bug,New,Normal,Implement a global cursor in Swing ,?erban Bursuc,01/30/2025 04:12 AM,0
9529,Bug,New,Normal,Newly created window is shown in front of DIALOG-BOX,?erban Bursuc,01/14/2025 06:33 AM,0
10915,Bug,Internal Test,Normal,ugly dialogs,Sergey Ivanovskiy,03/30/2026 05:03 AM,100
6267,Bug,Review,High,StackOverflowError in BROWSE widget,Sergey Ivanovskiy,05/02/2022 06:46 AM,100
9640,Bug,WIP,Normal,port range resiliency issue,Sergey Ivanovskiy,02/11/2025 01:30 PM,0
5045,Bug,WIP,High, Message area becomes unchanged if its window is resizing,Sergey Ivanovskiy,12/28/2020 01:54 PM,0
2759,Bug,New,Normal,the key input becomes frozen (no deadlock) if the keys are pressed rapidly,Sergey Ivanovskiy,11/16/2016 12:23 PM,0
10914,Bug,Review,Urgent,clicking browse hyperlinked cells does not load its content into a browser tab,Stanislav Lomany,11/22/2025 03:54 PM,0
5245,Bug,Review,Normal,BrowseColumnWidget.getScreenValue(): incorrect handling of an unknown value,Stanislav Lomany,04/24/2021 06:15 PM,0
2955,Bug,WIP,Normal,Update records participating in a scrolling adaptive query.,Stanislav Lomany,04/25/2016 02:16 PM,0
5068,Bug,WIP,Normal,error-status:error is invalid,Stanislav Lomany,01/07/2021 07:55 AM,0
1308,Bug,WIP,Normal,dirty share - related abend,Stanislav Lomany,11/08/2012 05:54 PM,0
6636,Bug,WIP,Normal,Unwanted selection due to direct manipulation,Stanislav Lomany,07/25/2022 11:44 AM,0
2896,Bug,New,Normal,Close dynamically defined query when an underlying buffer is closed ,Stanislav Lomany,03/28/2016 03:06 PM,0
4057,Bug,New,Normal,h2 performance degradation,Stanislav Lomany,01/23/2024 04:31 PM,0
7907,Bug,New,Normal,Browse row-leave handler not called after apply entry in FWD,Stanislav Lomany,10/16/2023 04:27 AM,0
9918,Bug,Internal Test,Normal,tilde doesn't duplicate semicolon in alternative codings,Stefan Vieru,02/24/2026 08:34 AM,100
10099,Bug,Internal Test,Normal,"Tilde consumes the octals/follow-up characters, when in OE this doesn't happen",Stefan Vieru,02/24/2026 08:34 AM,100
9905,Bug,Internal Test,Normal,EOF file is not matched during preprocessing,Stefan Vieru,02/24/2026 08:35 AM,100
9886,Bug,Internal Test,Normal,Double slashes should produce a new line during preprocessing,Stefan Vieru,02/24/2026 08:33 AM,100
9903,Bug,Internal Test,Normal,alternative codings with ' (quote) don't convert to ` (backtick),Stefan Vieru,02/24/2026 08:34 AM,100
6308,Bug,Internal Test,Normal,post string literal alternative coding quirk in 4GL preprocessor,Stefan Vieru,02/24/2026 08:33 AM,100
9633,Bug,Review,High,bulk delete for permanent tables,Stefanel Pezamosca,12/04/2025 07:52 AM,80
10026,Bug,WIP,Normal,A multi-table AdaptiveQuery running off-end is still updating the cursor,Stefanel Pezamosca,07/29/2025 09:32 AM,0
10772,Bug,Internal Test,Low,NUM-RESULTS on a FOR EACH query fails,Teodor Gorghe,03/13/2026 08:54 AM,100
10937,Bug,Internal Test,Normal,fwd-h2 'killedMultiplexesCleanup' must not abend if the batch is not empty,Teodor Gorghe,02/16/2026 10:18 AM,90
10390,Bug,Internal Test,Normal,FIND FIRST buffer field change does not propagate into the next FIRST FIRST statements.,Teodor Gorghe,02/19/2026 01:49 AM,100
11149,Bug,Review,Normal,"DO i = 1 TO LENGTH(r, ""RAW"") converts to incompatible type expression",Teodor Gorghe,01/28/2026 03:56 AM,100
9340,Bug,Internal Test,Normal,CHOOSE statement does not display widget help string in ChUI,Tomasz Domin,02/16/2026 12:45 PM,100
7879,Bug,WIP,Normal,Cursor isn't positioned right when FILL-IN split on multiple lines,Tomasz Domin,10/17/2023 04:41 AM,0
3056,Bug,New,Normal,Mouse pointer issues for menus,Vadim Gindin,04/21/2016 01:27 AM,0
2557,Bug,New,Low,Fix MENUBAR layouting in a window,Vadim Gindin,11/16/2016 02:37 PM,0
2482,Bug,WIP,Normal,conversion of FIND does not honor NO-LOCK when specified early,Vadim Nebogatov,04/19/2016 11:31 AM,0
7646,Bug,Merge Pending,Normal,FILL-IN: NPE during the PASTE of non-text clipboard contents,Vladimir Tsichevski,02/13/2026 11:35 AM,100
8309,Bug,Internal Test,Normal,Do the error handling for r-index and extend implementation to INDEX and LONGCHAR,Vladimir Tsichevski,12/24/2025 09:22 AM,100
8261,Bug,Internal Test,Normal,REGRESSION: delete selection works incorrectly for a left-aligned decimal FILL-IN,Vladimir Tsichevski,02/09/2024 01:17 PM,100
9657,Bug,Internal Test,Normal,Date FILL-IN with no separator format: incorrect display value for unknown date value,Vladimir Tsichevski,02/11/2026 12:14 PM,100
9278,Bug,Internal Test,Normal,FILL-IN: VALUE-CHANGED sent twice for user input causing selection clear action,Vladimir Tsichevski,10/25/2024 05:51 AM,100
8206,Bug,Internal Test,Normal,Logging manager issues,Vladimir Tsichevski,12/24/2025 01:33 PM,100
10876,Bug,Internal Test,Normal,Date FILL-IN: Incorrect ENTER key handling in GUI mode,Vladimir Tsichevski,02/05/2026 03:04 PM,100
9400,Bug,Internal Test,Normal,REGRESSION: Extra spaces inserted into date FILL-IN for formats with no date component separators,Vladimir Tsichevski,02/06/2025 02:37 AM,100
10471,Bug,Internal Test,Normal,Incorrect Integer Formatting as Legacy Time,Vladimir Tsichevski,02/05/2026 11:32 AM,100
9572,Bug,Internal Test,Normal,ArrayIndexOutOfBoundsException and wrong newline handling in RedirectedTerminal.addChar() ,Vladimir Tsichevski,02/11/2026 03:40 PM,100
10973,Bug,Review,Normal,REGRESSION: No string literal to LONGCHAR conversion for 4GL class method call parameters,Vladimir Tsichevski,12/13/2025 01:42 PM,100
6767,Bug,Review,Normal,Possible name clashes in DMO classes,Vladimir Tsichevski,02/05/2026 03:50 PM,100
9037,Bug,WIP,Normal,Two timers problem: only one fires,Vladimir Tsichevski,02/13/2026 08:32 AM,100
10075,Bug,WIP,Normal,Number format validation issues,Vladimir Tsichevski,01/30/2026 09:29 AM,0
