"Phenotype Domain",Description,"UMLS CUI","UMLS Term","dbGaP Tag Name (Phenotype Concept)"
Inflammation,"Quantitative measure of C-reactive protein (CRP) concentration in blood",C0428528,"C-reactive protein level","CRP in blood"
Inflammation,"Quantitative measure of Interleukin 6 (IL-6) concentration in blood",C0366888,Interleukin6:ACnc:Pt:Ser/Plas:Qn,"Interleukin 6 in blood"
"Kidney function","Quantitative measure of the ratio of albumin concentration to creatinine concentration in urine",C1318330,"Urine albumin:creatinine ratio result","Albumin-creatinine ratio in urine"
"Kidney function","Quantitative measure of creatinine concentration in blood",C0428279,"Finding of creatinine level","Creatinine in blood"
"Kidney function","Quantitative measure of cystatin C concentration in blood",C1445989,"Blood cystatin C measurement","Cystatin C in blood"
"Kidney function","Quantitative measure of glomerular filtration rate (GFR)",C4524116,"Estimated GFR",GFR
Lipids,"Quantitative measure of high-density lipoprotein (HDL) cholesterol concentration in blood",C2603387,"Cholesterol.in HDL [Mass or Molecules/volume] in Serum or Plasma","HDL in blood"
Lipids,"Quantitative measure of low-density lipoprotein (LDL) cholesterol concentration in blood",C2603388,"Cholesterol.in LDL [Mass or Molecules/volume] in Serum or Plasma","LDL in blood"
Lipids,"Quantitative measure of total cholesterol concentration in blood",C0201950,"Cholesterol measurement test","Total cholesterol in blood"
Lipids,"Quantitative measure of triglyceride concentration in blood",C0428475,"Triglyceride level - finding","Triglycerides in blood"
Lung,"Qualitative indicator of asthma status",C1272273,"Asthma finding",Asthma
Lung,"Qualitative and quantitative measures of asthma severity",C0581122,"Asthma severity","Asthma severity"
Lung,"Qualitative indicator of Chronic Obstructive Pulmonary Disease (COPD) status",C0024117,"Chronic Obstructive Airway Disease",COPD
Lung,"Forced expiratory volume in 1 second (FEV1) measured using spirometry",C0802965,"Volume^at 1.0 s post forced expiration:Volume:Point in time:Respiratory system:Quantitative",FEV1
Lung,"Quantitative measure of forced vital capacity (FVC) measured using spirometry",C3714541,"Forced Vital Capacity",FVC
Sleep,"Quantitative measure of Apnea-Hypopnea Index (AHI), a measure of sleep apnea severity",C2111846,"Apnea-hypopnea index procedure",AHI
Sleep,"Qualitative indicator of sleep apnea status",C0037315,"Sleep Apnea Syndromes","Sleep apnea"
Smoking,"Qualitative and quantitative measures of cigarette smoking history and cigarette smoking status",C1519384,"Smoking History","Cigarette smoking"
Stroke,"Qualitative indicator of hemorrhagic stroke status",C0553692,"Brain hemorrhage","Hemorrhagic stroke"
Stroke,"Qualitative indicator of ischemic stroke status",C0948008,"Ischemic stroke","Ischemic stroke"
Stroke,"Qualitative indicator of other/unspecified stroke status",C4489300,"Stroke-other stroke","Other stroke"
"Supporting phenotypes","Participant age at enrollment or age at which data or biosamples were collected",C0001779,Age,"Age at enrollment/collection"
"Supporting phenotypes","Categorical indicator of the clinical visit (exam, year, etc.) during which observations, measurements and/or other data/biosample collections were made",C0008952,"Clinic Visits","Clinic visit"
"Supporting phenotypes","Qualitative or quantitative indicator describing or quantifying fasting status prior to blood draw for any blood sample-derived measurement",C1976106,"Fasting Status",Fasting
"Supporting phenotypes","Categorical indicator of the clinic, recruitment site, and/or field center at which participants were recruited, and/or where data or biosamples were collected.",C2828208,Locality,"Geographic site"
"Supporting phenotypes","Qualitative or quantitative indicator of use of any kind of medication, vitamin, mineral, or dietary supplement",C0240320,"medication use","Medication/supplement use"
"Supporting phenotypes","Categorical indicator of membership in different study subcohorts (i.e. participant subsets within a study who were recruited at different times and/or enrolled in different sub-studies)",C0599755,Cohort,Subcohort
