"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
bilirubin,laboratory_abnormalities,,yesno,"Total bilirubin: Greater than 2.0 x ULN, when other liver functions are in the normal range, Greater than 1.50 x ULN when accompanied by any increase in other liver function tests.
",,,,,,,,y,RH,,,,
hiv_status,hiv_status_and_cd4_count,,radio,"HIV status","1, Negative | 2, Positive",,,,,,,,,,,,
cd4_count,hiv_status_and_cd4_count,,text,"CD4 Count (cells/µl)",,,number,,,,"[hiv_status] = '2'",,,,,,
diagnosis_hiv_date,hiv_status_and_cd4_count,,text,"Date of diagnosis",,,datetime_dmy,,,,"[hiv_status] = '1' or [hiv_status] = '2'",,,,,,
karnofsky,karnofsky_score,,yesno,"Was Karnofsky Performance status assessed?",,,,,,,,,RH,,,,
karno_date,karnofsky_score,,text,"Date of assessment ",,,date_dmy,,,,"[karnofsky] = '1'",,RH,,,,
karnof_score,karnofsky_score,,text,"Karnofsky Score",,%,number,,,,"[karnofsky] = '1'",,,,,,
smoker,smoking_habit_c72f2c,,yesno,"Is the patient a smoker?",,,,,,,,,RH,,,,
smoked,smoking_habit_c72f2c,,yesno,"Has the patient ever smoked?",,,,,,,"[smoker] = '0'",,RH,,,,
allergy,drug_allergy,,yesno,"Does the subject have a history of drug allergy?",,,,,,,,,RH,,,,
allergy_details,drug_allergy,,notes,"Provide details",,,,,,,"[allergy] = '1'",,RH,,,,
ops_collected_date,overnight_pooled_sputum,,text,"Date and time for collected overnight pooled sputum ",,,datetime_dmy,,,,,y,,,,,
ops_received_date,overnight_pooled_sputum,,text,"Date and time received for overnight pooled sputum ",,,datetime_dmy,,,,,y,,,,,
ops_lab_number,overnight_pooled_sputum,,text,"Laboratory label number",,,number,,,,,,,,,,
up_test_result,urine_pregnancy_test,,radio,"Results of urine pregnancy test: ","1, Negative | 2, Positive | 3, NA",,,,,,,,RH,,,,
up_testdate,urine_pregnancy_test,,text,"Urinary pregnancy test date",,,date_dmy,,,,"[up_test_result] = '1' or [up_test_result] = '2'",,,,,,
fbc,laboratory_safety_test,"FBC (Full Blood Count)",radio,"FBC (Full Blood Count)","0, Done | 1, Not done",,,,,,,,RH,,,,
fbc_notdone,laboratory_safety_test,,notes,"Give Reasons",,,,,,,"[fbc] = '1'",y,,,,,
haemoglobin_0ca2d7,laboratory_safety_test,,text,Haemoglobin,,,number,11.5,18.2,,"[fbc] = '0'",y,RH,,,,
haemoglobin_unit,laboratory_safety_test,,radio,"Haemoglobin unit","0, g/dL | 1, mmol/L | 3, k/ul | 4, Fl | 5, 10^3/mm^3 | 6, 10e9/L | 7, 10^3U/L | 8, mg/dL | 9, m/mm^3 | 2, Not done",,,,,,"[haemoglobin_0ca2d7] > 0",,RH,,,,
platelets_cbbf23,laboratory_safety_test,,text,"Platelets (PLT)",,,number,130,450,,"[fbc] = '0'",y,,,,,
platelets_unit,laboratory_safety_test,,radio,"Platelets unit ","0, cells/mm^3 | 1, cells/L | 2, 10^3/mm^3 | 3, k/ul | 4, Fl | 5, m/mm^3",,,,,,"[platelets_cbbf23] > 0",,RH,,,,
white_blood_cell,laboratory_safety_test,,text,"White blood cell (WBC)",,,number,3.5,12,,"[fbc] = '0'",y,RH,,,,
wbc_unit,laboratory_safety_test,,radio,"WBC unit","0, cells/mm^3 | 1, cells/L | 2, 10^3/mm^3 | 3, k/ul | 4, Fl | 5, 10e9/L | 6, 10^3U/L",,,,,,"[white_blood_cell] > 0",,RH,,,,
neutrophil,laboratory_safety_test,,text,"Neutrophil (Neu)",,,,,,,"[fbc] = '0'",,,,,,
neutrophil_unit,laboratory_safety_test,,radio,"Neutrophil unit ","0, cells/mm^3 | 1, cells/L | 2, 10^3/mm^3 | 3, k/ul | 4, Fl",,,,,,"[neutrophil] > 0",,RH,,,,
lymphocyte,laboratory_safety_test,,text,"Lymphocytes (Lym)",,,,,,,"[fbc] = '0'",,,,,,
lymphocyte_unit,laboratory_safety_test,,radio,"Lymphocyte unit ","0, cells/mm^3 | 1, cells/L | 2, 10^3/mm^3 | 3, k/ul | 4, Fl",,,,,,"[lymphocyte] > 0",,RH,,,,
mcv_base,laboratory_safety_test,,text,MCV,,,,,,,"[fbc] = '0'",,,,,,
mcv_unit_base,laboratory_safety_test,,radio,"MCV unit ","0, cells/mm^3 | 1, cells/L | 2, Um^3 | 3, k/ul | 4, Fl",,,,,,"[mcv_base] > 0",,RH,,,,
mch_base,laboratory_safety_test,,text,MCH,,,,,,,"[fbc] = '0'",,,,,,
mch_unit,laboratory_safety_test,,radio,"MCH unit ","0, cells/mm^3 | 1, cells/L | 2, pg | 3, k/ul | 4, Fl",,,,,,"[mch_base] > 0",,RH,,,,
mch_c_base,laboratory_safety_test,,text,"MCH C",,,,,,,"[fbc] = '0'",,,,,,
mch_c_unit,laboratory_safety_test,,radio,"MCH C unit ","0, cells/mm^3 | 1, cells/L | 2, g/dL | 3, k/ul | 4, Fl",,,,,,"[mch_c_base] > 0",,RH,,,,
biochemistry_serology,laboratory_safety_test,"Biochemistry and Serology",radio,"Biochemistry and Serology","0, Done | 1, Not done",,,,,,,,RH,,,,
biochemistry_notdone,laboratory_safety_test,,notes,"Give Reasons",,,,,,,"[biochemistry_serology] = '1'",y,,,,,
potassium,laboratory_safety_test,,text,Potassium,,,number,3.5,5.5,,"[biochemistry_serology] = '0'",y,RH,,,,
potasium_unit,laboratory_safety_test,,radio,"Potasium unit","0, mEq/L | 1, mmol/L | 2, Not done",,,,,,"[potassium] > 0",,RH,,,,
glucose_condition,laboratory_safety_test,,radio,"Glucose condition:","0, Fasting | 1, Random | 2, Unknown | 3, Not done",,,,,,"[biochemistry_serology] = '0'",,RH,,,,
glucose,laboratory_safety_test,,text,Glucose,,,,,,,"[glucose_condition] = '0' or [glucose_condition] = '1' or [glucose_condition] = '2'",,RH,,,,
glucose_unit,laboratory_safety_test,,radio,"Glucose unit","0, mg/L | 1, mmol/L",,,,,,"[glucose] > 0",,RH,,,,
alt_sgpt,laboratory_safety_test,,text,ALT/SGPT,,U/L,number,0,55,,"[biochemistry_serology] = '0'",y,RH,,,,
ast_sgot,laboratory_safety_test,,text,AST/SGOT,,U/L,number,0,45,,"[biochemistry_serology] = '0'",y,RH,,,,
creatinine,laboratory_safety_test,,text,"Serum Creatinine",,,number,0.7,114.92,,"[biochemistry_serology] = '0'",y,RH,,,,
creatinine_unit,laboratory_safety_test,,radio,"Creatinine unit","0, mg/dL | 1, umol/L",,,,,,"[creatinine] > 0",,RH,,,,
creatinine_clearence_base,laboratory_safety_test,,text,"Creatinine Clearance",,mL/min,number,,,,,,,,,,
hbsag,laboratory_safety_test,,radio,HBsAg,"0, Seropositive | 1, Seronegative | 2, Not done",,,,,,"[biochemistry_serology] = '0'",,RH,,,,
hbsag_date,laboratory_safety_test,,text,"HBsAg date",,,date_dmy,,,,"[hbsag] = '0' or [hbsag] = '1'",,RH,,,,
hbc_igm,laboratory_safety_test,,radio,"HBc IgM","0, seropositive | 1, seronegative | 2, Not done",,,,,,"[biochemistry_serology] = '0'",,RH,,,,
hbc_igm_date,laboratory_safety_test,,text,"HBc IgM date",,,date_dmy,,,,"[hbc_igm] = '0' or [hbc_igm] = '1'",,,,,,
hcv_ab,laboratory_safety_test,,radio,"HCV Ab","0, seropositive | 1, seronegative | 2, Not done",,,,,,"[biochemistry_serology] = '0'",,RH,,,,
hcv_ab_date,laboratory_safety_test,,text,"HCV Ab date",,,date_dmy,,,,"[hcv_ab] = '0' or [hcv_ab] = '1'",,,,,,
ua,laboratory_safety_test,,text,"Uric Acid",,,number,210,432,,"[biochemistry_serology] = '0'",,RH,,,,
uau,laboratory_safety_test,,radio,"Uric Acid Units ","1, mmol/L | 2, µmol/L",,,,,,"[ua]<>""""",,,,,,
ual_outr,laboratory_safety_test,,yesno,"Confirm, if values are out of range",,,,,,,"[ua]<>""""",,,,,,
mycobacteriology,laboratory_safety_test,"Mycobacteriology result",radio,"Mycobacteriology result","0, Done | 1, Not done",,,,,,,,RH,,,,
myco_notdone,laboratory_safety_test,,notes,"Give Reasons",,,,,,,"[mycobacteriology] = '1'",y,,,,,
sputum_collection_date,laboratory_safety_test,,text,"Date of sputum collection:",,,date_dmy,,,,"[afb_smear_1] = '0' or [afb_smear_1] = '1' or [afb_smear_1] = '2' or [afb_smear_1] = '3' or [afb_smear_1] = '4'",,RH,,,,
xpert_mtb_rif_test,laboratory_safety_test,,radio,"Xpert MTB/RIF Test","0, Valid | 1, Invalid | 2, No result",,,,,,"[mycobacteriology] = '0'",,RH,,,,
mtb_complex,laboratory_safety_test,,radio,"If valid result: M. tuberculosis (Mtb) complex","0, Detected | 1, Not detected",,,,,,"[xpert_mtb_rif_test] = '0'",,RH,,,,
mtb_detected,laboratory_safety_test,,radio,"MTB detected","0, Very low | 1, Low | 2, Medium | 3, High",,,,,,"[mtb_complex] = '0'",,,,,,
rifampicin_resistance,laboratory_safety_test,,radio,"If MTBC detected: Rifampicin resistance","0, Detected | 1, Not detected | 2, Indeterminate",,,,,,"[mtb_detected] = '0' or [mtb_detected] = '1' or [mtb_detected] = '2' or [mtb_detected] = '3'",,RH,,,,
afb_smear_1,laboratory_safety_test,,radio,"AFB Smear ","0, Negative | 1, Scanty | 2, 1+ | 3, 2+ | 4, 3+",,,,,,"[mycobacteriology] = '0'",,RH,,,,
date_of_sputum_collection,laboratory_safety_test,,text,"Date of sputum collection",,,date_dmy,,,,"[xpert_mtb_rif_test] = '0' or [xpert_mtb_rif_test] = '1' or [xpert_mtb_rif_test] = '2'",,RH,,,,
afb_smear_examination_date,laboratory_safety_test,,text,"Date of AFB smear examination",,,date_dmy,,,,"[afb_smear_1] = '0' or [afb_smear_1] = '1' or [afb_smear_1] = '2' or [afb_smear_1] = '3' or [afb_smear_1] = '4'",,RH,,,,
line_probe_assay,laboratory_safety_test,,checkbox,"Line-probe Assay:","0, Fluoroquinolones | 1, Aminoglycosides",,,,,,"[mycobacteriology] = '0'",,RH,,,,
fluoroquinolones,laboratory_safety_test,,radio,Fluoroquinolones,"0, Susceptible | 1, Resistant | 2, Indeterminate | 3, NA",,,,,,"[line_probe_assay(0)] = '1'",,RH,,,,
aminoglycosides,laboratory_safety_test,,radio,Aminoglycosides,"0, Susceptible | 1, Resistant | 2, Indeterminate | 3, NA",,,,,,"[line_probe_assay(1)] = '1'",,RH,,,,
date_sputum_collection,laboratory_safety_test,,text,"Date of sputum collection:",,,date_dmy,,,,"[line_probe_assay(0)] = '1' or [line_probe_assay(1)] = '1'",,,,,,
patient_intial_scr_ecg,ecg_test,,text,"Patient Initials",,"e.g. KLO",,,,y,,y,,,,,
date_of_visit_ecg,ecg_test,visit,text,"Date of visit:",,,date_dmy,,,,,,,,,,
ecg_test,ecg_test,"ECG TEST",radio,"ECG TEST","0, Done | 1, Not done",,,,,,,,RH,,,,
ecg_notdone,ecg_test,,notes,"Give Reasons",,,,,,,"[ecg_test] = '1'",y,,,,,
ecg_ecg,ecg_test,,checkbox,"ECG (12-lead)","0, QT interval (Fridericia) | 2, Heart rate | 3, Note done",,,,,,"[ecg_test] = '0'",,RH,,,,
ecg_visit_ecg,ecg_test,,radio,ECG,"0, Baseline | 1, Week 1 | 2, Week 2 | 3, Week 4 | 4, Week 8 | 5, Week 12 | 6, Week 16",,,,,,"[ecg_ecg(0)] = '1' or [ecg_ecg(2)] = '1' or [ecg_ecg(3)] = '1'",y,,,,,
ecg_value_ecg,ecg_test,,text,"ECG unit",,msec,,,,,"[ecg_ecg(0)] = '1'",,RH,,,,
ecg_value_1_ecg,ecg_test,,text,"ECG unit",,bpm,,,,,"[ecg_ecg(2)] = '1'",,RH,,,,
ecg_date_ecg,ecg_test,,text,"ECG date",,,date_dmy,,,,"[ecg_value_ecg] > '06/06/2020' or [ecg_value_1_ecg] > '06/06/2020'",,,,,,
chest_x_ray,chest_xray,"Chest X-ray",radio,"Chest X-ray","0, Normal in both lungs | 1, Abnormal | 2, Not done",,,,,,"[other_tests] = '0'",,RH,,,,
cavities,chest_xray,,radio,Cavities,"0, Yes | 1, No | 2, Unknown",,,,,,"[chest_x_ray] = '1'",,RH,,,,
extent_of_disease,chest_xray,,radio,"Extent of disease","0, A(<25%) | 1, B(25%-49%) | 2, C(>=50%) | 3, Unknown",,,,,,"[chest_x_ray] = '1'",,RH,,,,
chest_x_ray_date,chest_xray,,text,"Chest X-ray date",,,date_dmy,,,y,"[chest_x_ray] = '0' or [chest_x_ray] = '1'",,RH,,,,
feverish,tb_symptom_profile,"Tuberculosis Symptom Profile",radio,"Feeling feverish","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,tb_symptom_p,,
chills,tb_symptom_profile,,radio,"Feeling chills","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,tb_symptom_p,,
sweating,tb_symptom_profile,,radio,"Excessive sweating","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,tb_symptom_p,,
breath,tb_symptom_profile,,radio,"Shortness of breath","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,tb_symptom_p,,
chest,tb_symptom_profile,,radio,"Chest pain","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,tb_symptom_p,,
unwell,tb_symptom_profile,,radio,"Feeling unwell","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,tb_symptom_p,,
tiredness,tb_symptom_profile,,radio,Tiredness/Weakness,"1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,tb_symptom_p,,
cough,tb_symptom_profile,,radio,Cough,"1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,tb_symptom_p,,
c_mcous,tb_symptom_profile,,radio,"Cough up mucous","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,tb_symptom_p,,
c_blood,tb_symptom_profile,,radio,"Cough up blood","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,tb_symptom_p,,
apetite,tb_symptom_profile,,radio,"During the period between this and the past visit how do you rate your appetite","1, Good | 2, Fair | 3, Poor",,,,,,,,RH,,,,
eq5d5l,patient_reported_health_status,,yesno,"Patient reported health status questionnaire EQ-5D-5L",,,,,,,,,,,,,
eq5d5l_date,patient_reported_health_status,,text,"Date of Completion",,,date_dmy,,,,"[eq5d5l] = '1'",,,,,,
obtained_by,patient_reported_health_status,,radio,"Obtained by Proxy by ","1, Investigator | 2, Study Coordinator | 3, Study Nurse | 4, Counselor/Other",,,,,,,,,,,,
mobility,patient_reported_health_status,,radio,Mobility,"1, No problems in walking | 2, Slight problems in walking | 3, Moderate problems in walking | 4, Severe problems in walking | 5, Unable to walk about",,,,,,,,,,,,
selfcare,patient_reported_health_status,,radio,Self-Care,"1, No problems washing or dressing him/herself | 2, Slight problems washing or dressing him/herself | 3, Moderate problems washing or dressing him/herself | 4, Severe problems washing or dressing him/herself | 5, Unable to wash or dress him/herself",,,,,,,,,,,,
usual_activity,patient_reported_health_status,,radio,"Usual Activities (e.g. work, study, house-work, family or leisure activities)","1, No problems doing his/her usual activities | 2, Slight problem doing his/her usual activities | 3, Moderate problem doing his/her usual activities | 4, Severe problems doing his/her usual activities | 5, Unable to do his/her usual activities",,,,,,,,,,,,
pain,patient_reported_health_status,,radio,Pain/Discomfort,"1, No pain or discomfort | 2, Slight pain or discomfort | 3, Moderate pain or discomfort | 4, Severe pain or discomfort | 5, Extreme pain or discomfort",,,,,,,,,,,,
anxiety,patient_reported_health_status,,radio,Anxiety/Depression,"1, No anxious or depression | 2, Slight anxious or depression | 3, Moderately anxious or depression | 4, Severe anxious or depression | 5, Extremely anxious or depression",,,,,,,,,,,,
health_today,patient_reported_health_status,,text,"The subject's health today as recorded on the Visual Analogue Scale",,,number,,,,,,,,,,
vital_s,vital_signs_weight,"Vital Sign",yesno,"Vital signs assessed?",,,,,,,,,RH,,,,
date_time_assessment,vital_signs_weight,,text,"Date and Time of assessment ",,,datetime_dmy,,,,"[vital_s] = '1'",,RH,,,,
pre_dose_vital,vital_signs_weight,,yesno,"Vital signs pre-dose:",,,,,,,,,RH,,,,
sbp_bbe,vital_signs_weight,,text,"Systolic Blood Pressure (mmHg)",,,number,91,139,,"[pre_dose_vital] = '1'",,RH,,,,
sbpout_range,vital_signs_weight,,yesno,"Confirm, if any values are out of range",,,,,,,"[sbp_bbe] > 0",,RH,,,,
sbpsignificant,vital_signs_weight,,yesno,"Clinically significant?",,,,,,,"[sbpout_range] = '1'",,RH,,,,
sbp_ae_reported,vital_signs_weight,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,"[sbpsignificant] = '1'",,RH,,,,
sbpae,vital_signs_weight,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[sbp_ae_reported] = '1'",,,,,,
dbp_p,vital_signs_weight,,text,"Diastolic Blood Pressure (mmHg)",,,number,51,89,,"[pre_dose_vital] = '1'",,RH,,,,
dbpout_range,vital_signs_weight,,yesno,"Confirm, if any values are out of range",,,,,,,"[dbp_p] > 0",,RH,,,,
dbpsignificant,vital_signs_weight,,yesno,"Clinically significant?",,,,,,,"[dbpout_range] = '1'",,RH,,,,
dbp_ae_reported,vital_signs_weight,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,"[dbpsignificant] = '1'",,RH,,,,
dbpae,vital_signs_weight,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[dbp_ae_reported] = '1'",,,,,,
h_r,vital_signs_weight,,text,"Heart rate (bpm)",,,number,51,119,,"[pre_dose_vital] = '1'",,RH,,,,
hr_out_range,vital_signs_weight,,yesno,"Confirm, if any values are out of range",,,,,,,"[h_r] > 0",,RH,,,,
hrsignificant,vital_signs_weight,,yesno,"Clinically significant?",,,,,,,"[hr_out_range] = '1'",,RH,,,,
hr_ae_reported,vital_signs_weight,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,"[hrsignificant] = '1'",,RH,,,,
hrae,vital_signs_weight,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[hr_ae_reported] = '1'",,,,,,
r_r,vital_signs_weight,,text,"Respiratory rate (breaths per minute)",,,number,12,20,,"[pre_dose_vital] = '1'",,RH,,,,
rr_out_range,vital_signs_weight,,yesno,"Confirm, if any values are out of range",,,,,,,"[r_r] > 0",,RH,,,,
rrsignificant,vital_signs_weight,,yesno,"Clinically significant?",,,,,,,"[rr_out_range] = '1'",,RH,,,,
rr_ae_reported,vital_signs_weight,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,"[rrsignificant] = '1'",,RH,,,,
rrae,vital_signs_weight,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[rr_ae_reported] = '1'",,,,,,
b_t,vital_signs_weight,,text,"Axillary Body Temperature (ºC)",,,number,35,37.7,,"[pre_dose_vital] = '1'",,RH,,,,
bt_out_range,vital_signs_weight,,yesno,"Confirm, if any values are out of range",,,,,,,"[b_t] > 0",,RH,,,,
btsignificant,vital_signs_weight,,yesno,"Clinically significant?",,,,,,,"[bt_out_range] = '1'",,RH,,,,
bt_ae_reported,vital_signs_weight,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,"[btsignificant] = '1'",,RH,,,,
btae,vital_signs_weight,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[bt_ae_reported] = '1'",,,,,,
weight_kg,vital_signs_weight,,text,"Weight (kg)",,,number,35,100,,"[pre_dose_vital] = '1'",,RH,,,,
bmi,vital_signs_weight,,calc,BMI,"round(([weight_kg]*10000)/(([screening_arm_1][height])^(2)), 1)",,,,,,,,,,,,
vsa,vital_signs_weight_f045,"Vital Sign",yesno,"Vital signs assessed?",,,,,,,,,RH,,,,
dta,vital_signs_weight_f045,,text,"Date and Time of assessment ",,,datetime_dmy,,,,"[vsa] = '1'",,RH,,,,
vspd,vital_signs_weight_f045,,yesno,"Vital signs pre-dose:",,,,,,,,,RH,,,,
sbp,vital_signs_weight_f045,,text,"Systolic Blood Pressure (mmHg)",,,number,91,139,,"[vspd] = '1'",,RH,,,,
sbpout,vital_signs_weight_f045,,yesno,"Confirm, if any values are out of range",,,,,,,"[sbp] > 0",,RH,,,,
sbp_signf,vital_signs_weight_f045,,yesno,"Clinically significant?",,,,,,,"[sbpout] = '1'",,RH,,,,
sbp_ae,vital_signs_weight_f045,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,"[sbp_signf] = '1'",,RH,,,,
ae_sbp,vital_signs_weight_f045,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[sbp_ae] = '1'",,,,,,
dbp,vital_signs_weight_f045,,text,"Diastolic Blood Pressure (mmHg)",,,number,51,89,,"[vspd] = '1'",,RH,,,,
dbpout,vital_signs_weight_f045,,yesno,"Confirm, if any values are out of range",,,,,,,"[dbp] > 0",,RH,,,,
dbp_signf,vital_signs_weight_f045,,yesno,"Clinically significant?",,,,,,,"[dbpout] = '1'",,RH,,,,
dbp_ae,vital_signs_weight_f045,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,"[dbp_signf] = '1'",,RH,,,,
ae_dbp,vital_signs_weight_f045,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[dbp_ae] = '1'",,,,,,
hr,vital_signs_weight_f045,,text,"Heart rate (bpm)",,,number,51,119,,"[vspd] = '1'",,RH,,,,
hrout,vital_signs_weight_f045,,yesno,"Confirm, if any values are out of range",,,,,,,"[hr] > 0",,RH,,,,
hr_signf,vital_signs_weight_f045,,yesno,"Clinically significant?",,,,,,,"[hrout] = '1'",,RH,,,,
ae_hr,vital_signs_weight_f045,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,"[hr_signf] = '1'",,RH,,,,
hr_ae,vital_signs_weight_f045,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[ae_hr] = '1'",,,,,,
rr,vital_signs_weight_f045,,text,"Respiratory rate (breaths per minute)",,,number,12,20,,"[vspd] = '1'",,RH,,,,
rrout,vital_signs_weight_f045,,yesno,"Confirm, if any values are out of range",,,,,,,"[rr] > 0",,RH,,,,
rr_signf,vital_signs_weight_f045,,yesno,"Clinically significant?",,,,,,,"[rrout] = '1'",,RH,,,,
rr_ae,vital_signs_weight_f045,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,"[rr_signf] = '1'",,RH,,,,
aerr,vital_signs_weight_f045,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[rr_ae] = '1'",,,,,,
bt,vital_signs_weight_f045,,text,"Axillary Body Temperature (ºC)",,,number,35,37.7,,"[vspd] = '1'",,RH,,,,
