id labor	Valdkond	VK sort	Paneel	P kood	Analüüsi nimetus	A kood	Kehtiv	Kehtiv lõpp	Tellitav	Vahendatav	T lühend	Kasutatav nimetus	T Nimetus	Vastuskood	T Ühik	Labor ühik	Seade	Diagnostikumi_tootja	Sort	Risttabel	id algandmed	Loinc #	Component	Property	Time Aspects	System	Scale	Method	Ex UCUM Units	Ex Units	%99+ Common Tests	Class	Long Common Name	Short Name	Type	Order/Obs	Doc/Section	Ext
11	HE	1	2.tüüpi diabeetiku jälgimise pakett; Activate pakett; Alkoholi mõju pakett; Aneemia pakett; Hemogramm 3-osalise leukogrammiga; Hemogramm 5-osalise leukogrammiga; Küpse naise tervisekontroll; Last sooviva naise pakett; Mehe tervisekontroll; Mehe terviseriskid vanusele kuni 35; Mehe terviseriskid vanusele üle 35; Naise tervise- ja ilupakett; Noorsportlane Pluss pakett; Noorsportlase pakett; Organismi vastupanuvõimet hindav pakett; Podagrahaige jälgimise pakett; Reumaatilise haige jälgimise pakett; Südamepakett; Südamepakett pluss; Tähelepanuvõime ja kognitiivse võimekuse pakett; Taimetoitlase pakett; Teismelise tervisekontroll; Terviseriski pakett; Terviseriski pakett lapsele; Tervisesportlase pakett; Väsimuse pakett	T2D-X-PNL; ACTIVATE-X-PNL; ALC_IMPACT-X-PNL; ANEMIA-X-PNL; CBC_3_DIFF-X-PNL; CBC_5_DIFF-X-PNL; HEALTH_RISK_WOMEN-X-PNL; MOTHER_TO_BE-X-PNL; HEALTH_RISK_MEN-X-PNL; HEALTH_RISK_35MEN-X-PNL; HEALTH_RISK_35+MEN-X-PNL; HEALTH_BEAUTY-X-PNL; JUNIOR_ATHLETE_PLUS-X-PNL; JUNIOR_ATHLETE-X-PNL; IMMUNE_RESISTANCE-X-PNL; GOUT_PATIENT-X-PNL; RHEUMA_PATIENT-X-PNL; HEART-X-PNL; HEART_PLUS-X-PNL; ATTENTION_COGNITIVE-X-PNL; VEGETARIAN-X-PNL; TEENAGER_HEALTH-X-PNL; HEALTH_RISK-X-PNL; HEALTH_RISK_CHILD-X-PNL; ATHLETES-X-PNL; TIREDNESS-X-PNL	Plt	CBC_PLT-TST	JAH		EI	EI	B-Plt	Plt	Trombotsüüdid	QN	E9/L	E9/L			19	JAH/Võrreld	11	777-3	Platelets	NCnc	Pt	Bld	Qn	Automated count	10*3/uL	10^9/L		HEM/BC	Platelets [#/volume] in Blood by Automated count	Platelet # Bld Auto	1	Observation		
12	HE	1	Terviseriski pakett lapsele	HEALTH_RISK_CHILD-X-PNL	Eosinofiilide suhtarv	B-EO_SUHT-HE	EI	2020-07-31	EI	EI	B-Eo%	Eo%	Eosinofiilide suhtarv	QN	%	%	Sysmex	Sysmex	20	JAH/Võrreld	23	713-8	Eosinophils/100 leukocytes	NFr	Pt	Bld	Qn	Automated count	%	%		HEM/BC	Eosinophils/100 leukocytes in Blood by Automated count	Eosinophil NFr Bld Auto	1	Observation		
13	HE	1	Terviseriski pakett lapsele	HEALTH_RISK_CHILD-X-PNL	Basofiilide suhtarv	B-BASO_SUHT-HE	EI	2020-07-31	EI	EI	B-Baso%	Baso%	Basofiilide suhtarv	QN	%	%	Sysmex	Sysmex	21	JAH/Võrreld	24	706-2	Basophils/100 leukocytes	NFr	Pt	Bld	Qn	Automated count	%	%		HEM/BC	Basophils/100 leukocytes in Blood by Automated count	Basophils NFr Bld Auto	1	Observation		
14	HE	1	Terviseriski pakett lapsele	HEALTH_RISK_CHILD-X-PNL	Monotsüütide suhtarv	B-MONO_SUHT-HE	EI	2020-07-31	EI	EI	B-Mono%	Mono%	Monotsüütide suhtarv	QN	%	%	Sysmex	Sysmex	22	JAH/Võrreld	25	5905-5	Monocytes/100 leukocytes	NFr	Pt	Bld	Qn	Automated count	%	%		HEM/BC	Monocytes/100 leukocytes in Blood by Automated count	Monocytes NFr Bld Auto	1	Observation		
15	HE	1	Terviseriski pakett lapsele	HEALTH_RISK_CHILD-X-PNL	Lümfotsüütide suhtarv	B-LYMPH_SUHT-HE	EI	2020-07-31	EI	EI	B-Lymph%	Lymph%	Lümfotsüütide suhtarv	QN	%	%	Sysmex	Sysmex	23	JAH/Võrreld	26	736-9	Lymphocytes/100 leukocytes	NFr	Pt	Bld	Qn	Automated count	%	%		HEM/BC	Lymphocytes/100 leukocytes in Blood by Automated count	Lymphocytes NFr Bld Auto	1	Observation		
16	HE	1			Keskmise suurusega leukotsüütide suhtarv	B-MXD_SUHT-HE	EI	2020-07-31	EI	EI	B-Mxd%	Mxd%	Keskmise suurusega leukotsüütide suhtarv	QN	%	%	Sysmex		25	JAH/Võrreld	2111	32155-4	Basophils+Eosinophils+Monocytes/100 leukocytes	NFr	Pt	Bld	Qn	Automated count	%	%		HEM/BC	Basophils+Eosinophils+Monocytes/100 leukocytes in Blood by Automated count	Baso+Eos+Monos NFr Bld Auto	1	Observation		11,4729
17	HE	1	Terviseriski pakett lapsele	HEALTH_RISK_CHILD-X-PNL	Neutrofiilide suhtarv	B-NEUT_SUHT-HE	EI	2020-07-31	EI	EI	B-Neut%	Neut%	Neutrofiilide suhtarv	QN	%	%	Sysmex	Sysmex	26	JAH/Võrreld	27	770-8	Neutrophils/100 leukocytes	NFr	Pt	Bld	Qn	Automated count	%	%	1,03%	HEM/BC	Neutrophils/100 leukocytes in Blood by Automated count	Neutrophils NFr Bld Auto	1	Observation		
2222	HE	1	Hemogramm 5-osalise leukogrammiga	CBC_5_DIFF-X-PNL	IG%	CBC_IG_RATIO-TST	JAH		EI	EI	B-IG%	IG%	Ebaküpsete granulotsüütide suhtarv	QN	%	%			28	JAH/Võrreld	33	38518-7	Granulocytes.immature/100 leukocytes	NFr	Pt	Bld	Qn		%	%		HEM/BC	Granulocytes Immature/100 leukocytes in Blood	Imm Granulocytes NFr Bld	1	Observation		
18	HE	1	2.tüüpi diabeetiku jälgimise pakett; Activate pakett; Alkoholi mõju pakett; Aneemia pakett; Hemogramm 5-osalise leukogrammiga; Küpse naise tervisekontroll; Last sooviva naise pakett; Mehe tervisekontroll; Naise tervise- ja ilupakett; Noorsportlane Pluss pakett; Noorsportlase pakett; Organismi vastupanuvõimet hindav pakett; Podagrahaige jälgimise pakett; Reumaatilise haige jälgimise pakett; Südamepakett; Südamepakett pluss; Tähelepanuvõime ja kognitiivse võimekuse pakett; Taimetoitlase pakett; Teismelise tervisekontroll; Terviseriski pakett; Terviseriski pakett lapsele; Tervisesportlase pakett; Väsimuse pakett	T2D-X-PNL; ACTIVATE-X-PNL; ALC_IMPACT-X-PNL; ANEMIA-X-PNL; CBC_5_DIFF-X-PNL; HEALTH_RISK_WOMEN-X-PNL; MOTHER_TO_BE-X-PNL; HEALTH_RISK_MEN-X-PNL; HEALTH_BEAUTY-X-PNL; JUNIOR_ATHLETE_PLUS-X-PNL; JUNIOR_ATHLETE-X-PNL; IMMUNE_RESISTANCE-X-PNL; GOUT_PATIENT-X-PNL; RHEUMA_PATIENT-X-PNL; HEART-X-PNL; HEART_PLUS-X-PNL; ATTENTION_COGNITIVE-X-PNL; VEGETARIAN-X-PNL; TEENAGER_HEALTH-X-PNL; HEALTH_RISK-X-PNL; HEALTH_RISK_CHILD-X-PNL; ATHLETES-X-PNL; TIREDNESS-X-PNL	Eo	CBC_EO-TST	JAH		EI	EI	B-Eo#	Eo	Eosinofiilide arv	QN	E9/L	E9/L			29	JAH/Võrreld	28	711-2	Eosinophils	NCnc	Pt	Bld	Qn	Automated count	10*3/uL		0,03%	HEM/BC	Eosinophils [#/volume] in Blood by Automated count	Eosinophil # Bld Auto	1	Both		
19	HE	1	2.tüüpi diabeetiku jälgimise pakett; Activate pakett; Alkoholi mõju pakett; Aneemia pakett; Hemogramm 5-osalise leukogrammiga; Küpse naise tervisekontroll; Last sooviva naise pakett; Mehe tervisekontroll; Naise tervise- ja ilupakett; Noorsportlane Pluss pakett; Noorsportlase pakett; Organismi vastupanuvõimet hindav pakett; Podagrahaige jälgimise pakett; Reumaatilise haige jälgimise pakett; Südamepakett; Südamepakett pluss; Tähelepanuvõime ja kognitiivse võimekuse pakett; Taimetoitlase pakett; Teismelise tervisekontroll; Terviseriski pakett; Terviseriski pakett lapsele; Tervisesportlase pakett; Väsimuse pakett	T2D-X-PNL; ACTIVATE-X-PNL; ALC_IMPACT-X-PNL; ANEMIA-X-PNL; CBC_5_DIFF-X-PNL; HEALTH_RISK_WOMEN-X-PNL; MOTHER_TO_BE-X-PNL; HEALTH_RISK_MEN-X-PNL; HEALTH_BEAUTY-X-PNL; JUNIOR_ATHLETE_PLUS-X-PNL; JUNIOR_ATHLETE-X-PNL; IMMUNE_RESISTANCE-X-PNL; GOUT_PATIENT-X-PNL; RHEUMA_PATIENT-X-PNL; HEART-X-PNL; HEART_PLUS-X-PNL; ATTENTION_COGNITIVE-X-PNL; VEGETARIAN-X-PNL; TEENAGER_HEALTH-X-PNL; HEALTH_RISK-X-PNL; HEALTH_RISK_CHILD-X-PNL; ATHLETES-X-PNL; TIREDNESS-X-PNL	Baso	CBC_BASO-TST	JAH		EI	EI	B-Baso#	Baso	Basofiilide arv	QN	E9/L	E9/L			30	JAH/Võrreld	29	704-7	Basophils	NCnc	Pt	Bld	Qn	Automated count	10*3/uL		0,76%	HEM/BC	Basophils [#/volume] in Blood by Automated count	Basophils # Bld Auto	1	Observation		
20	HE	1	2.tüüpi diabeetiku jälgimise pakett; Activate pakett; Alkoholi mõju pakett; Aneemia pakett; Hemogramm 5-osalise leukogrammiga; Küpse naise tervisekontroll; Last sooviva naise pakett; Mehe tervisekontroll; Naise tervise- ja ilupakett; Noorsportlane Pluss pakett; Noorsportlase pakett; Organismi vastupanuvõimet hindav pakett; Podagrahaige jälgimise pakett; Reumaatilise haige jälgimise pakett; Südamepakett; Südamepakett pluss; Tähelepanuvõime ja kognitiivse võimekuse pakett; Teismelise tervisekontroll; Terviseriski pakett; Terviseriski pakett lapsele; Tervisesportlase pakett; Väsimuse pakett	T2D-X-PNL; ACTIVATE-X-PNL; ALC_IMPACT-X-PNL; ANEMIA-X-PNL; CBC_5_DIFF-X-PNL; HEALTH_RISK_WOMEN-X-PNL; MOTHER_TO_BE-X-PNL; HEALTH_RISK_MEN-X-PNL; HEALTH_BEAUTY-X-PNL; JUNIOR_ATHLETE_PLUS-X-PNL; JUNIOR_ATHLETE-X-PNL; IMMUNE_RESISTANCE-X-PNL; GOUT_PATIENT-X-PNL; RHEUMA_PATIENT-X-PNL; HEART-X-PNL; HEART_PLUS-X-PNL; ATTENTION_COGNITIVE-X-PNL; TEENAGER_HEALTH-X-PNL; HEALTH_RISK-X-PNL; HEALTH_RISK_CHILD-X-PNL; ATHLETES-X-PNL; TIREDNESS-X-PNL	Mono	CBC_MONO-TST	JAH		EI	EI	B-Mono#	Mono	Monotsüütide arv	QN	E9/L	E9/L			31	JAH/Võrreld	30	742-7	Monocytes	NCnc	Pt	Bld	Qn	Automated count	10*3/uL	10^9/L		HEM/BC	Monocytes [#/volume] in Blood by Automated count	Monocytes # Bld Auto	1	Observation		
21	HE	1	2.tüüpi diabeetiku jälgimise pakett; Activate pakett; Alkoholi mõju pakett; Aneemia pakett; Hemogramm 3-osalise leukogrammiga; Hemogramm 5-osalise leukogrammiga; Küpse naise tervisekontroll; Last sooviva naise pakett; Mehe tervisekontroll; Naise tervise- ja ilupakett; Noorsportlane Pluss pakett; Noorsportlase pakett; Organismi vastupanuvõimet hindav pakett; Podagrahaige jälgimise pakett; Reumaatilise haige jälgimise pakett; Südamepakett; Südamepakett pluss; Tähelepanuvõime ja kognitiivse võimekuse pakett; Taimetoitlase pakett; Teismelise tervisekontroll; Terviseriski pakett; Terviseriski pakett lapsele; Tervisesportlase pakett; Väsimuse pakett	T2D-X-PNL; ACTIVATE-X-PNL; ALC_IMPACT-X-PNL; ANEMIA-X-PNL; CBC_3_DIFF-X-PNL; CBC_5_DIFF-X-PNL; HEALTH_RISK_WOMEN-X-PNL; MOTHER_TO_BE-X-PNL; HEALTH_RISK_MEN-X-PNL; HEALTH_BEAUTY-X-PNL; JUNIOR_ATHLETE_PLUS-X-PNL; JUNIOR_ATHLETE-X-PNL; IMMUNE_RESISTANCE-X-PNL; GOUT_PATIENT-X-PNL; RHEUMA_PATIENT-X-PNL; HEART-X-PNL; HEART_PLUS-X-PNL; ATTENTION_COGNITIVE-X-PNL; VEGETARIAN-X-PNL; TEENAGER_HEALTH-X-PNL; HEALTH_RISK-X-PNL; HEALTH_RISK_CHILD-X-PNL; ATHLETES-X-PNL; TIREDNESS-X-PNL	Lymph	CBC_LYMPH-TST	JAH		EI	EI	B-Lymph#	Lymph	Lümfotsüütide arv	QN	E9/L	E9/L			32	JAH/Võrreld	31	731-0	Lymphocytes	NCnc	Pt	Bld	Qn	Automated count	10*3/uL		0,28%	HEM/BC	Lymphocytes [#/volume] in Blood by Automated count	Lymphocytes # Bld Auto	1	Observation		
22	HE	1	Hemogramm 3-osalise leukogrammiga	CBC_3_DIFF-X-PNL	Mxd	CBC_MXD-TST	JAH		EI	EI	B-Mxd#	Mxd	Keskmise suurusega leukotsüütide arv	QN	E9/L	E9/L			34	JAH/Võrreld	2110	32154-7	Basophils+Eosinophils+Monocytes	NCnc	Pt	Bld	Qn	Automated count	10*3/uL	10*9/L		HEM/BC	Basophils+Eosinophils+Monocytes [#/volume] in Blood by Automated count	Baso+Eos+Monos # Bld Auto	1	Observation		11,4729
