Year,Month,Area,Article,Author,Score,Sex,Notes,Funding,Clinical vs Biomedical,NIH
1999,February,N/A,Association of Polymorphism in the NeuroD/BETA2 Gene With Type 1 Diabetes in the Japanese,Iwata et al.,3,N/a,"Score of 3 awarded, as both male and female subjects were included, but no data was analyzed by sex. ",N/A,Biomedical,N/A
1999,February,N/A,Leptin Promotes Aggregation of Human Platelets via the Long Form of Its Receptor,Nakata et al.,0,N/A,"Score of 0 awarded, as the sex of the participants is not listed. Blood samples were taken from ""healthy, non-obese volunteers"".  ","Ministry of Education, Science, Sports and Culture of Japan, the Japan Diabetes Foundation",Biomedical,No
1999,February,N/A,Streptozotocin Treatment Upregulates Uncoupling Protein 3 Expression in the Rat Heart,Hidaka et al.,1,Male,"Score of 1 awarded, as only male rats were included in the study. Rats used were Winstar King A and Zucker (fatty and lean), all male. No justification for female exclusion provided.","Grant-in-Aid from the Japanese Ministry of Education, Science and Culture; Research Grants from the Japanese Fisheries Agency for Research into Efficient Exploitation of Marine Products for Promotion of Health",Biomedical,No
1999,February,N/A,Post-starvation gene expression of skeletal muscle uncoupling protein 2 and uncoupling protein 3 in response to dietary fat levels and fatty acid composition: a link with insulin resistance.,Samec et al.,1,Male,"Score of 1 awarded, as only male Sprauge-Dawley rats were used, and no justification was provided for female exclusion. ",Swiss National Science Foundation,Biomedical,No
1999,March,N/A,Response of Adipose Tissue Lipoprotein Lipase to the Cephalic Phase of Insulin Secretion,Picard et al.,3,N/A,"Score of 3 awarded, as experiments included male and female rats. However, three separate protocols were followed, and each protocol used only a single sex. The 'postprandial time course of insulin and LPL' study used only male Sprauge-Dawley rats, the 'food intake with inhibition of insulin secretion on LPL' study used only male Sprauge-Dawley rats, and the 'cephalic- versus nutrient-mediated insulin secretion on LPL study' used only female obese Zucker rats. Paper not given a 1, even though no experiments used both sexes, becuase both male and female data is presented at different times. All data was analyzed by sex, as all data was only collected in a single sex at a time: paper not given a score >3 because no data were collected for both sexes. ",Medical Research Council of Canada and by the Natural Sciences and Engineering Research Council of Canada,Biomedical,No
1999,March,N/A,"Major DQ8-restricted T-cell epitopes for human GAD65 mapped using human CD4, DQA1*0301, DQB1*0302 transgenic IA(null) NOD mice.",Liu et al.,3,N/A,"Score of 3 awarded as both sexes of mice were used for experiments (three strains: WT NOD; human CD4, HLA-DQ8 NOD; and NOD human CD4+/+ DQ8+/+ IAnull). However, no results were reported or analyzed by sex. It is noted in the results section that older female NOD human CD4+/+ DQ8+/+ IAnull mice showed cardiac immunopathology, but these apparently sex-specific results were not discussed further (it is noted that these results were to be discussed in a seperate report). ","Canaidan Diabetes Association, Juvenile Diabetes Foundation/ Medical Research Council of Canada Research Network Program",Biomedical,No
1999,March,N/A,Essential role of caspase-3 in apoptosis of mouse beta-cells transfected with human Fas,Yamada et al.,0,N/A,Score of 0 awarded as the sex of the cell line used (Beta TC1 mouse islets) was not specified.,"Japanese Ministry of Education, Science and Culture",Biomedical,No
1999,March,N/A,The mechanism of islet amyloid polypeptide toxicity is membrane disruption by intermediate-sized toxic amyloid particles,Janson et al.,0,N/A,"Score of 0 awarded as the sex of the mouse islets used was not specified, nor was the sex of the human islets used. Pancreatic islets were isolated from Friend virus B-type (FVB) mice.","US Public Health Service, Pfizer, the Mayo Foundation, the Wellcome Trust, the British Diabetic Association, the University of Edinburgh",Biomedical,No
1999,March,N/A,Site-specific phosphorylation of synapsin I by Ca2+/calmodulin-dependent protein kinase II in pancreatic betaTC3 cells: synapsin I is not associated with insulin secretory granules,Krueger et al.,0,N/A,Score of 0 awarded as the sex of the cells used (Beta TC3 cells) was not mentioned.,"NIH, National Science Foundation",Biomedical,Yes
1999,March,N/A,The Homeodomain Protein IDX-1 Increases After an Early Burst of Proliferation During Pancreatic R e g e n e r a t i o n,Sharma et al.,0,N/A,Score of 0 awarded as the sex of the rats used was not specified (Sprauge-Dawley rats).,"NIH, American Diabetes Association",Biomedical,Yes
1999,March,N/A,"Metabolic regulation, activity state, and intracellular binding of glucokinase in insulin-secreting cells",Tiedge et al.,1,Male,"Score of 1 awarded as pancretic islets were isolated from male (Winstar) rats. Additional experiments used ob/ob mouse islets and RINm5F cells, neither of which had their sex specified. ","Deutsche Forschungsgemeinschaft and the Ministry of Education, Science, Research and Technology (BMBF) of the Federal Republic of G e r m a n y",Biomedical,No
1999,March,N/A,Prolonged elevation of plasma free fatty acids desensitizes the insulin secretory response to glucose in vivo in rats,Mason et al.,1,Female,"Score of 1 awarded as only female Winstar rats were used for experiments. No justification for male exclusion is given. While is it stated that these female rats were chosen explicitly for comparison to female ZDF rats in future studies, it is not stated why female Winstar/ZDF rats were selected over cohorts of both sexes.",Eli Lilly/Banting and Best Diabetes Program,Biomedical,No
1999,March,N/A,Molecular cloning of a pancreatic islet-specific glucose-6-phosphatase catalytic subunit-related protein,Arden et al.,0,N/A,Score of 0 awarded as the sex of the cells used to express the protein in question (COS 1 and HIT M2.2.2 cells) were not specified. mRNA was extracted from mouse tissues and embryonic NOD mouse pancreases of unspecified sex.,Children's Diabetes Foundation,Biomedical,No
1999,March,N/A,Structure and Promoter Activity of an I s l e t - S p e c i fic Glucose-6-Phosphatase Catalytic Subunit–Related Gene,Ebert et al.,0,N/A,"Score of 0 awarded as the sex of the mice from which the DNA was extracted was not specified, nor was the sex of any of the cells used throughout the experiments specfied.","NIH, Juvenile Diabetes Foundation, Vanderbilt University Research council, Mark Collie Foundation, and the American Diabetes Association",Biomedical,Yes
1999,March,N/A,Specific gene expression in pancreatic beta-cells: cloning and characterization of differentially expressed genes,Arava et al.,0,N/A,"Score of 0 awarded as the sex of the murine cell lines used was not specified (Alpha TC1, Beta TC1). ","Israel Academy of Sciences and Humanities, the Juvenile Diabetes Foundation International, the Leo and Julia Forchheimer Center for Molecular Genetics at the Weizmann Institute, and the Levine Fund",Biomedical,No
1999,March,N/A,Acute vasoconstriction-induced insulin resistance in rat muscle in vivo,Rattigan et al.,1,Male,Score of 1 awarded as only male Sprauge-Dawley rats were used. No justification for female exclusion is provided.,"National Health and Medical Research Council, National Heart Foundation of Australia, NIH",Biomedical,Yes
1999,March,N/A,Chronic hypoglycemia and diabetes impair counterregulation induced by localized 2-deoxy-glucose perfusion of the ventromedial hypothalamus in rats,Borg et al.,1,Male,Score of 1 awarded as only male rats were used (nondiabetic and spontaneously diabetic BB rats). No justification for female exclusion was provided.,Public Health Service,Biomedical,No
1999,March,N/A,Brain-derived neurotrophic factor improves blood glucose control and alleviates fasting hyperglycemia in C57BLKS-Lepr(db)/lepr(db) mice,Tonra et al.,1,Male,"Score of 1 awarded as only male mice were used (db/db experimental, and db/+ & WT C57BL6 control). Experiments used sex-matched controls. It is stated within the paper that the results they got differed from similar experiments using female mice, but did not explain their choice to exclude females from this particular study.",Regeneron Pharmaceuticals,Biomedical,No
1999,March,N/A,Stretch-induced overproduction of fibronectin in mesangial cells is mediated by the activation of mitogen-activated protein kinase,Ishida et al.,1,Male,Score of 1 awarded as mesangial cells used were obtained from male Sprauge-Dawley rats. The choice not to use cells cultured from female rats as well was not justified/ explained.,"Ministry of Education, Science and Culture, Japan",Biomedical,No
1999,March,N/A,Heterogeneous cardiac sympathetic denervation and decreased myocardial nerve growth factor in streptozotocin-induced diabetic rats: implications for cardiac sympathetic dysinnervation complicating diabetes,Schmid et al.,1,Male,Score of 1 awarded as only male animals were used (Wistar rats). No justification for female exclusion was provided.,American Diabetes Association,Biomedical,No
1999,March,N/A,Hemodynamic basis for the acute cardiac effects of troglitazone in isolated perfused rat hearts,Shimoyama et al.,1,Male,Score of 1 awarded as only male rats (Wistar) were used. No justifcation for female exclusion was provided.,N/A,Biomedical,N/A
1999,March,N/A,Fatty acids modulate the composition of extracellular matrix in cultured human arterial smooth muscle cells by altering the expression of genes for proteoglycan core proteins,Olsson et al.,0,N/A,Score of 0 awarded as the sex of the cells used (untransformed mycoplasma-free human arterial skeletal muscle cells) was not specified. ,"Tore Nilssons Foundation for Medical Research, the Council for Research and Development of Health Science Education, the Swedish Medical Research Council, the Swedish Heart-Lung Foundation, Strategic Funds National Network for Cardiovascular Research, government support to the hospital, the foundations of the National Board of Health and Welfare, and Astra Hässle",Biomedical,No
1999,March,N/A,Phylogenetic analysis of mitochondrial DNA in type 2 diabetes: maternal history and ancient population expansion,Sherratt et al.,0,N/A,Score of 0 awarded as the sex of the patients recruited for analysis is unspecified. ,"British Diabetes Association, Welsh Scheme for Health and Social Research",Biomedical,No
1999,March,N/A,Identification and functional analysis of novel human melanocortin-4 receptor variants,Gu et al.,3,N/A,"Score of 3 awarded as both men and women were included for analysis. Paper states that they controlled for sex in analysis. As such, results have been analyzed or presented by sex (though one allelic variant, Ile137Thr, found was specified to have been observed only in a single woman). The sex of the cell line into which the gene was cloned for further analysis was not specified.","NIH, TOPS, Hoffmann-La Roche",Biomedical,Yes
1999,March,N/A,Exclusion of insulin receptor substrate 2 (IRS-2) as a major locus for early-onset autosomal dominant type 2 diabetes,Bektas et al.,0,N/A,"Score of 0 awarded as the sex of the individuals/ family memebers included in the screen was not specified. Paper does state that the clinical characteristics of the study participants is listed online, but the link provided in the text no longer works.","Joslin’s Diabetes and Endocrinology Research Center, NIH,  Lucille P. Markey Charitable Trust",Biomedical,Yes
1999,March,N/A,Identification of mutations in the hepatocyte nuclear factor-1alpha gene in Japanese subjects with early-onset NIDDM and functional analysis of the mutant proteins.,Yamada et al.,3,N/A,Score of 3 awarded as both male and female subjects were involved in analysis. The sex of the cell line used for further analysis of mutated GLUT2 protein (MIN6) was not specified.,"Grant-in-Aid for Creative Basic Research from the Japanese Ministry of Science, Education, Sports and Culture, the Uehara Memorial Foundation, and the Juvenile Diabetes Foundation International",Biomedical,No
1999,March,N/A,Mice transgenic for an expanded CAG repeat in the Huntington's disease gene develop diabetes,Hurlbert et al.,0,N/A,Score of 0 awarded as the sex of the animals used in the experiment was not specified. It was discussed that the animals used were bred from healthy CBAxC57BL/6 female mice and males carrying the CAG variant.,"U.S. Public Health Service, the National Parkinson Foundation, the Program to end Parkinson's Disease, the Children's Diabetes Foundation",Biomedical,No
1999,March,N/A,Prevention of autoimmune recurrence and rejection by adenovirus-mediated CTLA4Ig gene transfer to the pancreatic graft in BB rat,Uchikoshi et al.,1,Male,"Score of 1 awarded as only male rats were used (diabetes-prone & diabetes-resistant BB/Wor rats, and Lewis rats). No justifcation for female exclusion is provided.","NIH, Juvenile Diabetes Foundation International",Biomedical,Yes
1999,March,N/A,Hyperglycemia inhibits insulin activation of Akt/protein kinase B but not phosphatidylinositol 3-kinase in rat skeletal muscle,Kurowski et al.,1,Male,Score of 1 awarded as only male Sprague-Dawley rats were used. No justifaction was provided for female exclusion.,"NIH, Juvenile Diabetes Foundation ",Biomedical,Yes
1999,March,N/A,Muscle fiber type-specific defects in insulin signal transduction to glucose transport in diabetic GK rats,Song et al.,1,Male,Score of 1 awarded as only male animals were used (GK experimental and sex-matched Wistar controls). No justification for female exclusion is provided.,"Swedish Medical Research Council, the Novo Nordisk Foundation, the Swedish Diabetes Association, the Foundation for Strategic Research, Pharmacia, and UpJohn, National Institutes of Health",Biomedical,Yes
1999,April,N/A,DNA Demethylation During the Differentiation of 3T3-L1 Cells Affects the Expression of the Mouse GLUT4 Gene,Yokomori et al.,0,N/A,"Score of 0 awarded as the sex of the cell line used for experiments was not specified. Cells used were 3T3-L1 cells, which were induced to differentiation into adipocytes.",N/A,Biomedical,N/A
1999,April,N/A,"Activation of protein kinase B and induction of adipogenesis by insulin in 3T3-L1 preadipocytes: contribution of phosphoinositide-3,4,5-trisphosphate versus phosphoinositide-3,4-bisphosphate",Gagnon et al.,0,N/A,Score of 0 awarded as the sex of the cells used (3T3-L1 preadipocytes) was not specified.,Medical Research Council of Canada,Biomedical,No
1999,April,N/A,Reduced sensitivity of inducible nitric oxide synthase-deficient mice to multiple low-dose streptozotocin-induced diabetes,Flodström et al.,1,Male,"Score of 1 awarded as only male mice were used. Control mice were C57BL/6 and 129SvEv strains, while experimental mice were iNOS mice on a C57BL/6Jx129SvEv background.","Swedish Medical Research Council , the Swedish Diabetes Association, the Swedish American Diabetes Research Program, the Family Ernfors Fund, the Novo Nordic Fund, and the Juvenile Diabetes Foundation International",Biomedical,No
1999,April,N/A,Laminin-1 promotes differentiation of fetal mouse pancreatic beta-cells,Jiang et al.,0,N/A,Score of 0 awarded as the sex of the fetal murine pancreases used was not specified. CBA mice were used.,"The Juvenile Diabetes Foundation International, NIH, National Health and Medical Research Council of Australia",Biomedical,Yes
1999,April,N/A,"Interaction between genetic and dietary factors determines beta-cell function in Psammomys obesus, an animal model of type 2 diabetes",Nesher et al.,3,N/A,"Score of 3 awarded as the study used animals of both sexes. However, data was pooled; no sex specific analysis was performed.","Juvenile Diabetes Foundation International,  Israel Academy for Sciences and Humanities, Picciotto Foundation Geneva",Biomedical,No
1999,April,N/A,Hyperglycemia-induced beta-cell apoptosis in pancreatic islets of Psammomys obesus during development of diabetes,Donath et al.,3,N/A,"Score of 3 awarded as both sexes of P. obesus were used, although no sex based analysis was performed. The Sprauge-Dawley rats used in addition to the P. obesus were all male, with no justifcation provided for female exclusion. Inclusion of both sexes of P. obesus allowed this paper to be scored at a 3 rather than a 1.","Israel Science Foundation, Juvenile Diabetes Foundation International",Biomedical,No
1999,April,N/A,Gene transfer to human pancreatic endocrine cells using viral vectors,Leibowitz et al.,0,N/A,Score of 0 awarded as the sex of neither the fetal nor adult pancreatic cells/tissues were specified.,"Juvenile Diabetes Foundation, the Stern Foundation, NIH, the Herbert O. Perry Fund, the Whittier Institute",Biomedical,Yes
1999,April,N/A,Glucose-dependent stimulatory effect of glucagon-like peptide 1(7-36) amide on the electrical activity of pancreatic beta-cells recorded in vivo,Fernandez et al.,0,N/A,Score of 0 awarded as the sex of the Albino mice used was not specified.,"Comision Interministerial de Ciencia y Tecnologia, Spain",Biomedical,No
1999,April,N/A,NH2-terminally modified gastric inhibitory polypeptide exhibits amino-peptidase resistance and enhanced antihyperglycemic activity,O'Harte et al.,1,Male,Score of 1 awarded as both the human plasma samples and the Wistar rats used were exclusively male. No justification for female exclusion in either case is provided.,Department of Health and Personal Social Services for Northern Ireland and Northern Ireland Development Research Funding,Biomedical,No
