Ordered Reference Number (ORN),Virtual Platform,Database (DB),Unique Identifier (UI),Authors (AU),Title (TI),Comments,Source/Publication (SO),Abstract (AB),Main Headers (MH),Other Designations (OD),Database notes 1,Database notes 2,Other notes (ON),Useful Related References 1,Keywords,Useful Related References 2,Observations,Secondary sources/access,
204,Ovid Technologies,Ovid MEDLINE(R),12821856,"Sicotte NL

Voskuhl RR

Bouvier S

Klutch R

Cohen MS

Mazziotta JC",Comparison of multiple sclerosis lesions at 1.5 and 3.0 Tesla.,,"Investigative Radiology. 38(7):423-7, 2003 Jul.","OBJECTIVE: To evaluate the relative sensitivity of MR scanning for multiple sclerosis (MS) at 1.5 Tesla (T) and 3.0 T using identical acquisition conditions, as is typical of multicenter clinical trials.

METHODS: Twenty-five subjects with MS were scanned at 1.5 T and 3.0 T using fast spin echo, and T(1)-weighted SPGR with and without gadolinium contrast injections. Image data, blinded to field strength, were analyzed using automated segmentation and lesion counting.

RESULTS: Relative to scanning at 1.5 T, the 3.0 T scans showed a 21% increase in the number of detected contrast enhancing lesions, a 30% increase in enhancing lesion volume and a 10% increase in total lesion volume.

DISCUSSION: The improved detection ability using high-field MR imaging is prominent even when sequence parameters are optimized around the midfield units. Multicenter trials using both 1.5 T and 3.0 T instruments may be affected by these sensitivity differences.","Adolescent

Adult

*Brain/pa [Pathology]

Child

Contrast Media

Female

Gadolinium

Humans

Image Enhancement

*Magnetic Resonance Imaging/is [Instrumentation]

Male

*Multiple Sclerosis/pa [Pathology]

Sensitivity and Specificity",1,"From MEDLINE, a database of the U.S. National Library of Medicine.",MEDLINE,"Comparative Study

Journal Article

Research Support, Non-U.S. Gov't

Research Support, U.S. Gov't, P.H.S.","Sicotte, Nancy L. Department of Neurology, Division of Brain Mapping, University of California Los Angeles, Los Angeles, CA, USA.",,,"0 (Contrast Media)

AU0V1LM3JT (Gadolinium)",,
204,Ovid Technologies,Embase,53111156,"Wattjes M.P.

Barkhof F.",Diagnosis of natalizumab-associated progressive multifocal leukoencephalopathy using MRI.,,"Current Opinion in Neurology. 27 (3) (pp 260-270), 2014. Date of Publication: June 2014.","PURPOSE OF REVIEW: This review describe the role and advancements of MRI in the diagnosis and monitoring of progressive multifocal leukoencephalopathy (PML) in multiple sclerosis patients treated with natalizumab. RECENT FINDINGS: MRI is the most sensitive paraclinical tool in the detection of PML lesions in natalizumab-treated multiple sclerosis patients, showing lesions in very early disease stages up to months before clinical symptoms occur. The sensitivity of PML lesion detection is dependent on the MRI pulse-sequences used. Fluid-attenuated inversion recovery shows the highest sensitivity and diffusion-weighted MRI is well suited to depict active and acute demyelination in PML lesions. Compared with the PML in HIV-infected patients, the MRI appearance of natalizumab-associated PML is rather heterogeneous and fluctuating, including signs of inflammation and showing new imaging patterns such as cortical grey matter involvement. The importance of reliable PML detection is particularly obvious in patients at an asymptomatic stage. The clinical relevance of natalizumab-associated PML detected at an asymptomatic stage is best illustrated by the fact that such patients have a substantially better outcome compared with symptomatic PML patients. SUMMARY: MRI is the most powerful method in the detection of natalizumab-associated PML by showing imaging patterns helpful in the differentiation between PML and multiple sclerosis lesions. The early - preferably asymptomatic - detection of PML is related to a more favorable outcome in terms of survival and functional outcome parameters. ¸ ¸ 2014 Wolters Kluwer Health
Lippincott Williams &Wilkins.","cerebral blindness

cerebrospinal fluid analysis

contrast enhancement

corticosteroid therapy

demyelination

diagnosis

differential diagnosis

diffusion weighted imaging

disease activity

disease course

electron microscopy

gray matter

histopathology

human

Human immunodeficiency virus infected patient

Human immunodeficiency virus infection

immune reconstitution inflammatory syndrome

immunohistochemistry

inflammation

middle cerebellar peduncle

multiple sclerosis

*nuclear magnetic resonance imaging

*progressive multifocal leukoencephalopathy/si [Side Effect]

progressive multifocal leukoencephalopathy/si [Side Effect]

review

seizure

survival

susceptibility weighted imaging

symptom

treatment outcome

white matter lesion

corticosteroid

*natalizumab/ae [Adverse Drug Reaction]","cerebral blindness

cerebrospinal fluid analysis

contrast enhancement

corticosteroid therapy

demyelination

diagnosis

differential diagnosis

diffusion weighted imaging

disease activity

disease course

electron microscopy

gray matter

histopathology

human

Human immunodeficiency virus infected patient

Human immunodeficiency virus infection

immune reconstitution inflammatory syndrome

immunohistochemistry

inflammation

middle cerebellar peduncle

multiple sclerosis

*nuclear magnetic resonance imaging

*progressive multifocal leukoencephalopathy / *side effect

progressive multifocal leukoencephalopathy / side effect

review

seizure

survival

susceptibility weighted imaging

symptom

treatment outcome

white matter lesion","corticosteroid

*natalizumab / *adverse drug reaction",,,,,,,,
205,Ovid Technologies,Embase,373249342,"Oguz I.

Sonka M.",LOGISMOS-B: Layered Optimal graph image segmentation of multiple objects and surfaces for the brain.,,"IEEE Transactions on Medical Imaging. 33 (6) (pp 1220-1235), 2014. Article Number: 6734677. Date of Publication: June 2014.","Automated reconstruction of the cortical surface is one of the most challenging problems in the analysis of human brain magnetic resonance imaging (MRI). A desirable segmentation must be both spatially and topologically accurate, as well as robust and computationally efficient. We propose a novel algorithm, LOGISMOS-B, based on probabilistic tissue classification, generalized gradient vector flows and the LOGISMOS graph segmentation framework. Quantitative results on MRI datasets from both healthy subjects and multiple sclerosis patients using a total of 16 800 manually placed landmarks illustrate the excellent performance of our algorithm with respect to spatial accuracy. Remarkably, the average signed error was only 0.084 mm for the white matter and 0.008 mm for the gray matter, even in the presence of multiple sclerosis lesions. Statistical comparison shows that LOGISMOS-B produces a significantly more accurate cortical reconstruction than FreeSurfer, the current state-of-the-art approach (p < 0.001). Furthermore, LOGISMOS-B enjoys a run time that is less than a third of that of FreeSurfer, which is both substantial, considering the latter takes 10 h/subject on average, and a statistically significant speedup. ¸ 1982-2012 IEEE.","*algorithm

article

brain asymmetry

brain cortex

brain stem

brain tissue

calcarine sulcus

central sulcus

cerebellum

cingulate sulcus

computer program

controlled study

gray matter

hemisphere

human

image processing

*image reconstruction

imaging and display

*multiple sclerosis

*nuclear magnetic resonance imaging

parieto-occipital sulcus

quantitative analysis

superior temporal sulcus

Sylvian fissure

white matter

Freesurfer

generalized gradient vector flow

*image segmentation

*logismos b

superior frontal sulcus","*algorithm

article

brain asymmetry

brain cortex

brain stem

brain tissue

calcarine sulcus

central sulcus

cerebellum

cingulate sulcus

computer program

controlled study

gray matter

hemisphere

human

image processing

*image reconstruction

imaging and display

*multiple sclerosis

*nuclear magnetic resonance imaging

parieto-occipital sulcus

quantitative analysis

superior temporal sulcus

Sylvian fissure

white matter",,,,,,,,,
205,Ovid Technologies,Ovid MEDLINE(R),12695881,Helms G,T2-based segmentation of periventricular paragraph sign volumes for quantification of proton magnetic paragraph sign resonance spectra of multiple sclerosis lesions.,,"Magma. 16(1):10-6, 2003 Feb.","Partial volume averaging of signal from multiple sclerosis lesions influences biexponential fitting of the water T2 relaxation as used for tissue/CSF segmentation of spectroscopic volumes. Periventricular volumes-of-interest comprising CSF, lesion and normal-appearing white matter in varying proportion were studied. The relaxation of the localized water signal was measured at 12 echo times (STEAM, geometric spacing from 30 ms to 2000 ms, least-squares fit). Magnetization transfer (MT) was applied to identify contributions of tissue signal to the CSF component. The T2 of the longlived component (T2(long)=433-1782 ms) and its prolongation after MT were inversely correlated to the MT ratio. Hence, short T2(long) is associated with overestimation of CSF partial volume, and thus metabolite concentrations. A T2-correction for the CSF partial volume was suggested and applied to the quantification of MR spectra of large MS lesions. The T2 of bulk CSF (2280+/-87 ms) and the influence of the TE sampling scheme were also studied.","*Algorithms

Anatomy, Cross-Sectional/mt [Methods]

Artifacts

*Cerebral Ventricles/pa [Pathology]

Humans

*Image Interpretation, Computer-Assisted/mt [Methods]

*Imaging, Three-Dimensional/mt [Methods]

*Magnetic Resonance Imaging/mt [Methods]

*Multiple Sclerosis/di [Diagnosis]

Multiple Sclerosis/pa [Pathology]

Protons

Quality Control",1,"From MEDLINE, a database of the U.S. National Library of Medicine.",MEDLINE,"Clinical Trial

Controlled Clinical Trial

Journal Article

Validation Studies","Helms, Gunther. Department of Clinical Neuroscience, Karolinska Hospital, Huddinge University Hospital, Karolinska Institutet, Stockholm, Sweden. gunther.helms@med.uni-tuebingen.de",,,0 (Protons),,
206,Ovid Technologies,Embase,373032464,"Smith A.K.

Dortch R.D.

Dethrage L.M.

Smith S.A.","Rapid, high-resolution quantitative magnetization transfer MRI of the human spinal cord.",,"NeuroImage. 95 (pp 106-116), 2014. Date of Publication: 2014.","Quantitative magnetization transfer (qMT) imaging can provide indices describing the interactions between free water protons and immobile macromolecular protons. These indices include the macromolecular proton fraction (MPF), which has been shown to correlate with myelin content in white matter. Because of the long scan times required for high-resolution spinal cord imaging, qMT studies of the human spinal cord have not found wide-spread application. Herein, we investigated whether these limitations could be overcome by utilizing only a single MT-weighted acquisition and a reference measurement, as was recently proposed in the brain. High-resolution, in vivo qMT data were obtained at 3.0T in the spinal cords of healthy volunteers and patients with relapsing remitting multiple sclerosis (MS). Low- and high-resolution acquisitions (low/high resolution=1x1x5mm<sup>3</sup>/0.65x0.65x5mm<sup>3</sup>) with clinically acceptable scan times (12min/7min) were evaluated. We also evaluated the reliability over time and the sensitivity of the model to the assumptions made in the single-point method, both in disease and healthy tissues. Our findings suggest that the single point qMT technique can provide maps of the MPF in the spinal cord in vivo with excellent grey/white matter contrast, can be reliably obtained within reasonable scan times, and are sensitive to MS pathology. Consistent with previous qMT studies in the brain, the observed MPF values were higher in healthy white matter (0.16+/-0.01) than in grey matter (0.13+/-0.01) and in MS lesions (0.09+/-0.01). The single point qMT technique applied at high resolution provides an improved method for obtaining qMT in the human spinal cord and may offer a reliable outcome measure for evaluating spinal cord disease. ¸ 2014 Elsevier Inc.","adult

article

calculation

case report

controlled study

female

gray matter

human

human tissue

image analysis

image processing

image quality

male

mathematical analysis

multiple sclerosis

*nuclear magnetic resonance imaging

nuclear magnetic resonance scanner

priority journal

reliability

*spinal cord

white matter","adult

article

calculation

case report

controlled study

female

gray matter

human

human tissue

image analysis

image processing

image quality

male

mathematical analysis

multiple sclerosis

*nuclear magnetic resonance imaging

nuclear magnetic resonance scanner

priority journal

reliability

*spinal cord

white matter",,,,,,,,,
207,Ovid Technologies,Ovid MEDLINE(R),12594719,"Ashton EA

Takahashi C

Berg MJ

Goodman A

Totterman S

Ekholm S",Accuracy and reproducibility of manual and semiautomated quantification of MS lesions by MRI.,Sodium MRI in Multiple Sclerosis is Compatible with Intracellular Sodium Accumulation and Inflammation-Induced Hyper-Cellularity of Acute Brain Lesions.,"Journal of Magnetic Resonance Imaging. 17(3):300-8, 2003 Mar.","PURPOSE: To evaluate the accuracy, reproducibility, and speed of two semiautomated methods for quantifying total white matter lesion burden in multiple sclerosis (MS) patients with respect to manual tracing and to other methods presented in recent literature.

MATERIALS AND METHODS: Two methods involving the use of MRI for semiautomated quantification of total lesion burden in MS patients were examined. The first method, geometrically constrained region growth (GEORG), requires user specification of lesion location. The second technique, directed multispectral segmentation (DMSS), requires only the location of a single exemplar lesion. Test data sets included both clinical MS data and MS brain phantoms.

RESULTS: The mean processing times were 60 minutes for manual tracing, 10 minutes for region growth, and 3 minutes for directed segmentation. Intra- and interoperator coefficients of variation (CVs) were 5.1% and 16.5% for manual tracing, 1.4% and 2.3% for region growth, and 1.5% and 5.2% for directed segmentation. The average deviations from manual tracing were 9% for region growth and 5.7% for directed segmentation.

CONCLUSION: Both semiautomated methods were shown to have a significant advantage over manual tracing in terms of speed and precision. The accuracy of both methods was acceptable, given the high variability of the manual results.
Copyright 2003 Wiley-Liss, Inc.","Algorithms

*Brain/pa [Pathology]

*Brain Neoplasms/pa [Pathology]

Humans

*Image Processing, Computer-Assisted/mt [Methods]

Image Processing, Computer-Assisted/sn [Statistics & Numerical Data]

*Magnetic Resonance Imaging/mt [Methods]

Magnetic Resonance Imaging/sn [Statistics & Numerical Data]

*Multiple Sclerosis/pa [Pathology]

Observer Variation

Phantoms, Imaging

Reproducibility of Results

Time Factors",1,"From MEDLINE, a database of the U.S. National Library of Medicine.",MEDLINE,"Comparative Study

Journal Article","Ashton, Edward A. Department of Radiology, University of Rochester Medical Center, Rochester, New York 14580, USA. edashton@ece.rochester.edu",,,,,
207,Ovid Technologies,Embase,372524573,"Treaba C.A.

Balasa R.

Podeanu D.M.

Simu I.P.

Buruian M.M.",Cerebral lesions of multiple sclerosis: Is gadolinium always irreplaceable in assessing lesion activity?.,,"Diagnostic and Interventional Radiology. 20 (2) (pp 178-184), 2014. Date of Publication: March - April 2014.","Purpose We aimed to identify imaging characteristics on conventional magnetic resonance imaging that could predict multiple sclerosis (MS) brain lesion activity without contrast media administration. MATERIALS AND Methods Magnetic resonance data sets of forty-two patients with relapsing- remitting MS who presented symptoms or signs suggestive of new disease activity were retrospectively reviewed. We classified the MS lesions into three types according to different patterns present on T2-weighted images and evaluated their relationship with the contrast uptake. Evolving aspects of each type of lesion were observed in 18 patients during a follow-up period ranging from nine to 36 months. Results On T2-weighted images, only the pattern consisting of a thin border of decreased intensity compared with the lesion's center and perifocal edema (Type II) reached diagnostic accuracy in terms of its relationship with gadolinium enhancement (P = 0.006). The sensitivity was 0.461, and the specificity was 0.698. In contrast, enhancement was not significantly related to the pattern consisting of a lesion center that was homogeneously brighter than its periphery (Type I) or less-hyperintense T2 focal lesions with either homogeneous or inhomogeneous center (Type III) (P > 0.05 for both). Conclusion The assessment of MS lesion activity should include a careful evaluation of T2-weighted images in addition to contrast enhancement assessment. The presence of an accompanying peripheral thin rim of hypointensity on T2-weighted images related best with contrast enhancement and subsequent lesion activity and may represent an additional pattern for disease activity assessment when gadolinium examination is contraindicated or influenced by prior therapy. ¸ Turkish Society of Radiology 2014.","adult

article

*brain damage

clinical article

corona radiata (brain)

disease activity

disease association

disease duration

drug uptake

female

follow up

human

male

*multiple sclerosis

nuclear magnetic resonance imaging

retrospective study

sensitivity and specificity

*gadolinium pentetate/va [Intravaginal Drug Administration]

gadolinium pentetate meglumine","adult

article

*brain damage

clinical article

corona radiata (brain)

disease activity

disease association

disease duration

drug uptake

female

follow up

human

male

*multiple sclerosis

nuclear magnetic resonance imaging

retrospective study

sensitivity and specificity","*gadolinium pentetate / *intravenous drug administration

gadolinium pentetate meglumine","Biokanol [Germany]

Schering [Germany]

magnevist: Biokanol [Germany]

magnevist: Schering [Germany]",,,,,,,
208,Ovid Technologies,Ovid MEDLINE(R),12490477,"Melhem ER

Herskovits EH

Karli-Oguz K

Golay X

Hammoud DA

Fortman BJ

Munter FM

Itoh R",Defining thresholds for changes in size of simulated T2-hyperintense brain lesions on the basis of qualitative comparisons.,,"AJR. American Journal of Roentgenology. 180(1):65-9, 2003 Jan.","OBJECTIVE: Our purpose was to define thresholds below which trained reviewers cannot detect changes in the size of T2-hyperintense brain lesions.

MATERIALS AND METHODS: We generated T2-weighted brain MR images (TR/TE, 4000/80) with simulated hyperintense lesions derived from a real multiple sclerosis plaque. The size of the original multiple sclerosis lesion was varied by scaling up or down the lesion using a bicubic interpolation method. Three hundred seventy-eight composite images, in which two T2-weighted images containing lesions were paired, were presented to three equally trained neuroradiologists to define thresholds below which changes in original lesion size could not be detected. Stepwise logistic regression was used to evaluate the dependency of size thresholds on the original size of the lesion.

RESULTS: Thresholds ranged from a 5% to 15% increase in the original lesion diameter. For increases greater than 15%, all three reviewers detected the change in lesion size irrespective of the diameter of the original lesion. There was a dependency of the threshold on the diameter of the original lesion (p = 0.02).

CONCLUSION: Using an MR simulator, we can define thresholds below which changes in original lesion size cannot be reliably detected. These results may guide the design of clinical trials that rely on trained reviewers to assess change in lesion burden.","*Brain/pa [Pathology]

*Brain Diseases/di [Diagnosis]

Computer Simulation

Diagnostic Errors

Humans

Logistic Models

*Magnetic Resonance Imaging

Observer Variation",1,"From MEDLINE, a database of the U.S. National Library of Medicine.",MEDLINE,"Comparative Study

Journal Article

Research Support, U.S. Gov't, P.H.S.","Melhem, Elias R. Division of Neuroradiology, The Johns Hopkins Medical Institutions, 600 N. Wolfe Street, Baltimore, MD 21287-7619, USA.",Non-programmatic,,,,
209,Ovid Technologies,Embase,601999137,"Krauspe B.M.

Dreher W.

Beyer C.

Baumgartner W.

Denecke B.

Janssen K.

Langhans C.-D.

Clarner T.

Kipp M.",Short-Term Cuprizone Feeding Verifies N-Acetylaspartate Quantification as a Marker of Neurodegeneration.,,"Journal of Molecular Neuroscience. 55 (3) (pp 733-748), 2014. Date of Publication: 2014.","Proton magnetic resonance spectroscopy (1H-MRS) is a quantitative MR imaging technique often used to complement conventional MR imaging with specific metabolic information. A key metabolite is the amino acid derivative N-Acetylaspartate (NAA) which is an accepted marker to measure the extent of neurodegeneration in multiple sclerosis (MS) patients. NAA is catabolized by the enzyme aspartoacylase (ASPA) which is predominantly expressed in oligodendrocytes. Since the formation of MS lesions is paralleled by oligodendrocyte loss, NAA might accumulate in the brain, and therefore, the extent of neurodegeneration might be underestimated. In the present study, we used the well-characterized cuprizone model. There, the loss of oligodendrocytes is paralleled by a reduction in ASPA expression and activity as demonstrated by genome-wide gene expression analysis and enzymatic activity assays. Notably, brain levels of NAA were not increased as determined by gas chromatography-mass spectrometry and 1H-MRS. These important findings underpin the reliability of NAA quantification as a valid marker for the paraclinical determination of the extent of neurodegeneration, even under conditions of oligodendrocyte loss in which impaired metabolization of NAA is expected. Future studies have to reveal whether other enzymes are able to metabolize NAA or whether an excess of NAA is cleared by other mechanisms rather than enzymatic metabolism.
Copyright ¸ 2014, Springer Science+Business Media New York.","animal tissue

article

axonal injury

cell metabolism

controlled study

corpus callosum

down regulation

electron microscopy

gas chromatography

gene expression regulation

histochemistry

immunohistochemistry

male

mass spectrometry

mouse

*nerve degeneration

nonhuman

oligodendroglia

protein expression

proton nuclear magnetic resonance

reliability

reverse transcription polymerase chain reaction

upregulation

Western blotting

aspartoacylase/ec [Endogenous Compound]

*cuprizone

messenger RNA/ec [Endogenous Compound]

*n acetylaspartic acid/ec [Endogenous Compound]","animal tissue

Article

axonal injury

cell metabolism

controlled study

corpus callosum

down regulation

electron microscopy

gas chromatography

gene expression regulation

histochemistry

immunohistochemistry

male

mass spectrometry

mouse

*nerve degeneration

nonhuman

oligodendroglia

protein expression

proton nuclear magnetic resonance

reliability

reverse transcription polymerase chain reaction

upregulation

Western blotting","aspartoacylase / endogenous compound

*cuprizone

messenger RNA / endogenous compound

*n acetylaspartic acid / *endogenous compound",,,,,,,,
210,Ovid Technologies,Embase,52836529,"Grabner G.

Dal-Bianco A.

Hametner S.

Lassmann H.

Trattnig S.",Group specific vein-atlasing: An application for analyzing the venous system under normal and multiple sclerosis conditions.,,"Journal of Magnetic Resonance Imaging. 40 (3) (pp 655-661), 2014. Date of Publication: September 2014.","Purpose To create a group-specific vein-atlas based on healthy control subjects to visualize the average venous system under normal conditions and to compare the venous volume portion in multiple sclerosis (MS) lesions with that atlas. Materials and Methods Susceptibility-weighted imaging (SWI), as well as T1-weighted imaging, was performed at 7 Tesla on nine healthy controls and nine age-matched MS patients. Automatic vein segmentation was performed on SWI data. The vessel segmentation results of the healthy controls were nonlinearly transformed into a model space, and subsequently averaged to create the vein-atlas. Thirteen normal-appearing white matter (NAWM) regions and 18 MS lesions were manually segmented in the patient data, and were used to calculate the venous volume portion in individual patient data and in corresponding regions within the vein-atlas. Results The vein-atlas illustrates the average venous network of the control group. The venous volume portion in MS lesions was significantly higher (Pa<a0.05) compared with the corresponding regions in the vein-atlas. NAWM regions did not differ significantly (Pa>a0.05) from corresponding atlas regions. Conclusion The developed vein-atlas shows the average venous system of a specific population and allows, therefore, the evaluation of the venous system of individual subjects. ¸ 2013 Wiley Periodicals, Inc.","adult

*anatomy

article

clinical article

controlled study

diffusion weighted imaging

female

human

image analysis

image processing

male

*multiple sclerosis/di [Diagnosis]

nuclear magnetic resonance imaging

priority journal

susceptibility weighted imaging

vein diameter

*venous circulation

white matter

*vein atlas","adult

*anatomy

article

clinical article

controlled study

diffusion weighted imaging

female

human

image analysis

image processing

male

*multiple sclerosis / *diagnosis

nuclear magnetic resonance imaging

priority journal

susceptibility weighted imaging

vein diameter

*venous circulation

white matter",,,,,,,,,
211,Ovid Technologies,Embase,602088999,"Prados F.

Cardoso M.J.

MacManus D.

Wheeler-Kingshott C.A.

Ourselin S.",A modality-agnostic patch-based technique for lesion filling in multiple sclerosis.,One-shot domain adaptation in multiple sclerosis lesion segmentation using convolutional neural networks.,"Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention. Part 2. 17 (pp 781-788), 2014. Date of Publication: 2014.","Multiple Sclerosis lesions influence the process of image analysis, leading to tissue segmentation problems and biased morphometric estimates. With the aim of reducing this bias, existing techniques fill segmented lesions as normal appearing white matter. However, due to lesion segmentation errors or the presence of neighbouring structures, such as the ventricles and deep grey matter structures, filling all lesions as white matter like intensities is prone to introduce errors and artefacts. In this paper, we present a novel lesion filling strategy based on in-painting techniques for image completion. This technique makes use of a patch-based Non-Local Means algorithm that fills the lesions with the most plausible texture, rather than normal appearing white matter. We demonstrate that this strategy introduces less bias and fewer artefacts and spurious edges than previous techniques. The advantages of the proposed methodology are that it preserves both anatomical structure and signal-to-noise characteristics even when the lesions are neighbouring grey matter and cerebrospinal fluid, and avoids excess blurring or rasterisation due to the choice of segmentation plane, and lesion shape, size and/or position.","algorithm

*artifact

automated pattern recognition

brain

computer assisted diagnosis

human

image enhancement

multiple sclerosis

nuclear magnetic resonance imaging

*pathology

*procedures

reproducibility

sensitivity and specificity","algorithm

*artifact

automated pattern recognition

brain

computer assisted diagnosis

human

image enhancement

multiple sclerosis

nuclear magnetic resonance imaging

*pathology

*procedures

reproducibility

sensitivity and specificity",,,,,,,,,
212,Ovid Technologies,Embase,606392791,"Lavigne F.

Collet C.

Armspach J.-P.",3D+t brain MRI segmentation using robust 4D Hidden Markov Chain.,MEDI+0: Morphology enabled dipole inversion with automatic uniform cerebrospinal fluid zero reference for quantitative susceptibility mapping.,"Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference. 2014 (pp 4715-4718), 2014. Date of Publication: 2014.","In recent years many automatic methods have been developed to help physicians diagnose brain disorders, but the problem remains complex. In this paper we propose a method to segment brain structures on two 3D multi-modal MR images taken at different times (longitudinal acquisition). A bias field correction is performed with an adaptation of the Hidden Markov Chain (HMC) allowing us to take into account the temporal correlation in addition to spatial neighbourhood information. To improve the robustness of the segmentation of the principal brain structures and to detect Multiple Sclerosis Lesions as outliers the Trimmed Likelihood Estimator (TLE) is used during the process. The method is validated on 3D+t brain MR images.","algorithm

brain

data base

gray matter

human

Internet

multiple sclerosis/di [Diagnosis]

nuclear magnetic resonance imaging

*pathology

*probability

*procedures

three dimensional imaging

time

white matter","algorithm

brain

data base

gray matter

human

Internet

multiple sclerosis / diagnosis

nuclear magnetic resonance imaging

*pathology

*probability

*procedures

three dimensional imaging

time

white matter",,,,,,,,,
212,Ovid Technologies,Ovid MEDLINE(R),12148736,"He R

Narayana PA",Automatic delineation of Gd enhancements on magnetic resonance images in multiple sclerosis.,Dysfunction of the descending pain modulatory system in neuropathic limb pain related to MS. A case: control clinical and neuroimaging study.,"Medical Physics. 29(7):1536-46, 2002 Jul.","A method for automatic identification and delineation of contrast-enhanced multiple sclerosis (MS) lesions on brain magnetic resonance images is described. This method relies on adaptive local segmentation derived from the morphological ""open"" and ""reconstruction"" operations on gray scale images for identification of both lesion and nonlesion enhancements. Nonlesion enhancements from vasculature and extrameningeal tissues are identified by exploiting their topologic relationship to the brain mask. Enhancing structures without a blood-brain-barrier, such as choroid plexus, are identified and eliminated by spatially mapping the locations of the MS lesions visualized on dual echo images onto the post-contrast images. Delineation of enhancements is realized using fuzzy connectivity. Both the detection and delineation results are validated using statistical methods.","Anisotropy

Brain/bs [Blood Supply]

Brain/pa [Pathology]

*Gadolinium/me [Metabolism]

Humans

Image Processing, Computer-Assisted

*Magnetic Resonance Imaging/mt [Methods]

Meninges/pa [Pathology]

Models, Theoretical

Multiple Sclerosis/dg [Diagnostic Imaging]

*Multiple Sclerosis/pa [Pathology]

Radiography",1,"From MEDLINE, a database of the U.S. National Library of Medicine.",MEDLINE,"Journal Article

Research Support, U.S. Gov't, P.H.S.","He, Renjie. Department of Radiology, University of Texas at Houston Medical School, 77030, USA.",,,AU0V1LM3JT (Gadolinium),,
213,Ovid Technologies,Ovid MEDLINE(R),12045002,"Rey D

Subsol G

Delingette H

Ayache N",Automatic detection and segmentation of evolving processes in 3D medical images: Application to multiple sclerosis.,Inhomogeneous Magnetization Transfer (ihMT) in normal-appearing tissue correlates with disability of multiple sclerosis patients.,"Medical Image Analysis. 6(2):163-79, 2002 Jun.","The study of temporal series of medical images can be helpful for physicians to perform pertinent diagnoses and to help them in the follow-up of a patient: in some diseases, lesions, tumors or anatomical structures vary over time in size, position, composition, etc., either because of a natural pathological process or under the effect of a drug or a therapy. It is a laborious and subjective task to visually and manually analyze such images. Thus the objective of this work was to automatically detect regions with apparent local volume variation with a vector field operator applied to the local displacement field obtained after a non-rigid registration between two successive temporal images. On the other hand, quantitative measurements, such as the volume variation of lesions or segmentation of evolving lesions, are important. By studying the information of apparent shrinking areas in the direct and reverse displacement fields between images, we are able to segment evolving lesions. Then we propose a method to segment lesions in a whole temporal series of images. In this article we apply this approach to automatically detect and segment multiple sclerosis lesions that evolve in time series of MRI scans of the brain. At this stage, we have only applied the approach to a few experimental cases to demonstrate its potential. A clinical validation remains to be done, which will require important additional work.","Automation

*Brain/pa [Pathology]

Humans

*Image Processing, Computer-Assisted/mt [Methods]

*Imaging, Three-Dimensional/mt [Methods]

*Magnetic Resonance Imaging/mt [Methods]

Models, Neurological

*Multiple Sclerosis/di [Diagnosis]

Reproducibility of Results

Sensitivity and Specificity",1,"From MEDLINE, a database of the U.S. National Library of Medicine.",MEDLINE,"Journal Article

Research Support, Non-U.S. Gov't","Rey, David. Projet Epidaure, INRIA, 2004 rte des Lucioles, BP93, 06902 Sophia Antipolis Cedex, France. david.rey@sophis.inria.fr",,,,,
