Comment ID,Type,Affiliation,Location,Title,Date,Category,Rated by,Rating,Body
31539,reply,Analyst,Canada,"Context, Aggregation and Sentiment Intelligence",2/11/2011 16:03, Strategic ,1,5,"Sentiment Intelligence Systems, (not recommendation engines or the not valuable Like/Dislike function)is something I've been working on for a while, that may be the core for the framework you are talking about. In its nascent state my thought is this: situational analysis and the specific context within which the user find himself or herself at any given moment is really unaddressed in current social networks. My situation is different than yours or any other jammer at any given time. Location changes, interests, change, but capturing my situation when I search for a product or service, is likely the best information a company can gain because it addresses not only why I want the product or service, but why today which is also an important questions. Gen X is fickle, frugal, but situations and tastes change based on circumstance (situation). Text analytics and heuristic engines can provide the technical means to create that analysis. From that point, garnering additional relevant information as you describe has a unique value to the enterprise, and its ecosystem of partners. Applying a rules engine would then trigger dispatching that information to relevant individuals in not only the enterprise but across its value network of supply chain partners all the way back to perhaps engineering. In this way the information can then be  ...   used for not only better products and services but for tremendous cost savings. None of this by the way is inventing new technology, it is simply putting the right pieces together in the right way.  From a technology point of view, text analytics together with a heuristic query engine would be able to deal with the constantly changing circumstances of the user and the need to pare down the conversations about a given topic, product or service.  Then applying a business rule (trigger) the feedback loop would send relevant data to any entity in the relevant ecosystem, including the individual."
45784,reply,Large Enterprise,United States,Product & Service Actionable vs.Human Insight,2/11/2011 16:27, People & culture ,0,0,I think the value of the social dialogs extends beyond the actionable aspects of creating or improving a product or services.  1. The ability to openly express an opinion or thought to a broad audience has potential morale-improving impact to the participants... beyond their ideas.  2. The culture of an open organization can have long-term positive systemic impact beyond any specific topics.  3. SMEs are identified by the content of their postings.
31392,reply,IBM Employee,Germany,"Nuisance of ""custom ads"" when I visit web pages",2/11/2011 14:34, Policy & standards ,0,0,"I highly agree!!  Just a few days ago I had the experience: I registered on a forum and the ad area (or sponsor area, if you will) is sprawling with advertisement from web shops I had visited (not buying, just ""window shopping""). It flashes and icons bounce up and down ... I hate it.  It does not focus my attention on the advertising web shop, but it also distracts my concentration on the forum entries. So I scroll down to get it out of my vision, and now the same stupid stuff appears on the very right or left side of the screen. You guessed it, flashing, and bouncing.  I'm  ...   aware that retailers are interested in the stuff I might like.  Although, I want a control that allows me to turn off annoying advertisement, without hampering the functionality of the web page. I can block cookies, yes, I can block pop-ups. Will the page still work?  If advertising cannot be turned off, why in the world must it ""scream"" at me?  So it becomes even more important to disclose as little information about yourself as possible."
31596,reply,IBM Employee,United States,right thread?,2/11/2011 16:29, Processes & operational ,0,0,"Sorry Isabella...while I agree this is a frustrating experience, and it may - at a very high level - tie to relevancy of content, I'm referring to a completely different filtering strategy...one that impacts the business (or lines of business) rather than individual users and their web experience.  Apologies if I misunderstood your comments."
45170,reply,IBM Employee,United States,context-sensitive aggregation,2/11/2011 1:26, Products & services ,1,5,"Bob's ""if it's not actionable, its just noise"" and Debbie's concept of ""filtered and prioritized conversations that are relevant"" struck a chord with me, and continue to have me think about the possible future steps of context relevant aggregation.  In another thread, https://www.collaborationjam.com/minijam3/jam/discussionThread.do?gt=true&jamId=83289&f=84516&c=45319#45319 I posted some thoughts on a more ideal aggregation function, one that's not only centered around the user, but what the user is doing at the time. if the user is preparing to give a speech on business analytics to a specific audience, then the activity stream in all its myriad forms, could be pared down to items that might help the user with that speech. that could be images or charts to reuse, updates on people likely to be in the audience, insight on the technology used to conduct business analytics and more. the tools available even now could do the necessary automatic filtering and paring down of the Mississippi-sized  ...   torrent of data flowing on all topics to a targeted stream of those that are relevant to the focus task at hand for the individual."
45614,reply,IBM Employee,United States,Dynamic Dashboards,2/11/2011 16:53, Strategic ,0,0,"We park our cars in the same garage, Michael...  Love the dashboard idea, and I tied your other post to one by Steve Gray recommending a 'social business dashboard' (my response to Steve's post https://www.collaborationjam.com/minijam3/jam/discussionThread.do?gt=true&jamId=83289&f=75439&c=45299 ).  There are similarities in your ideas but I believe some notable differences in usage scenarios, so we should pursue both in parallel.  ...   Your contextual dashboard (Social BizDeck ??) idea sounds closely related to an idea I brought up to the IBM Mashup Center team in relation to the Mashable War Room solution they've been working on. At the Industry Solutions Lab (ISL), we have C-level executives of customers and partners coming in every day. It would be ideal to have a dashboard of all relevant internal and external information about those visiting companies (even individuals, if possible) in preparation for those events...recent IBM meetings, their install base, aggregated social media info, etc. Gathering all that information today is time-consuming and will almost certainly overlook some meaningful content.  So IMHO this is a great use case for, as I think you put it, the efficient 'social aggregation and dissemination' of information that would enhance overall client value and specifically the ISL client experience."
45358,reply,IBM Employee,United States,Turn listening into action,2/10/2011 23:33, Strategic ,1,5,"To truly become a listening organization would mean that we turn the intelligence gathered from social listening into action. To do so requires an infrastructure that allows IBMers to take appropriate action on this intelligence.  With such a infrastruture in place, IBMers could harness the intelligence from the “web mining” research and use it to build informed social business strategy and outreach/engagement plans.  More specifically, having this infrastructure will allow IBMers to:  ...   •Stay abreast of top posts, developing stories in their area of interest/expertise & connect with top on-line influencers  •Identify and assign social conversations to program champions to engage in an ongoing dialogue with subject matter experts and/or influencers - a coverage model for social business  •Keep pace with the market trends/conversations in real time user generated content (UGC) with the ability react immediately  •Keep up – as needed - with social network ‘wildfires’ as they occur  •Pass posts to other IBM SMEs as appropriate i.e. legal, Communications, etc.  •Allow for administrative controls & assignments i.e. SMEs can label engagements ‘do not engage,’ ‘engage now!’ etc.  •Improve productivity with workflow and engagement effectiveness reporting capabilities (metrics/analytics capability) which currently takes place manually  •Open new channels to uncover sales leads, which in turn increases validated lead revenue  •Improve employee productivity while reducing costs  •Harness intelligence to predict future intention i.e. desired state, desired products, planned activities. A valuable predictor to help us inform messaging, go-to-market plans, investments … the list goes on."
45367,reply,IBM Employee,United States,Get users & customers to ACT,2/11/2011 0:38, Best practices & lessons learned ,0,0,"The most successful marketers manage to get their customers engaged in ""doing"" something instead of passively listening to what they say in social networks. They may be unhappy about something and not say anything at all.  A good example would be to get people to suggest product features and vote for the best idea. Potentially having an incentive/prize attached to the best contributors."
45161,reply,IBM Employee,United States,Consumer Insight for sentiment & action,2/11/2011 0:29, Processes & operational ,0,0,"IBM Cognos� Consumer Insight was recently announced to help marketing professionals transform customer relationships by analyzing sentiment, affinity and evolving topics in social media sites. Perhaps, applying this as part of the marketing and development processes could help turn listening into action. Christoper Christopher Dziekan and his BA team might help this discussion."
31569,reply,IBM Employee,Canada,IBM Cognos Consumer Insight - Social Analytics,2/11/2011 16:19, Products & services ,0,0,"As Don says ... IBM Cognos Consumer Insight has been released into the market as a great solution for performing deep analysis and correlations for clients around ""what are your customers saying about you?"" to drive actionable insights to make smarter decisions and ultimately driving better business outcomes through deeper and more targeted customer interactions. The information can also be distributed to a larger audience with Cognos 10 allowing for collaboration inside our clients - helping them to determine how to best treat and interact with their customers.  Find out more here ... http://www-01.ibm.com/software/analytics/cognos/analytic-applications/consumer-insight/"
45445,reply,IBM Employee,Australia,Bridges between customer & org + internal agility,2/11/2011 3:13, People & culture ,2,4.5,"In the context of services and solutions organisations, I think two things are necessary in order to consistently respond and adjust to customer feedback:  - plenty of bridges between customers and the organisation  - organizational agility, so the org can respond to customers  I see two important structural components being important to this:  ...   1. Marketing experts (experts who market)  At least one expert for each specific topic area that is relevant to the organization. The expert(s) must be willing to get out there and collaborate with customers (incl. manage communities), provide valuable thought leadership that represents the service/solution/brand and build a bridge between external customer needs and development of the internal organisation's services/solutions & operations.  2. A matrixed marketing and communications team  A cross functional team, including market analysts, product development, sales, customer support and all other customer-facing functions FOR EACH specific target market/topic area. These people would work together on behalf of the company to provide a consistent, quality customer experience and ongoing customer relationship management to fulfill on the Marketing Concept, i.e. determine and then satisfy the desires and needs of the target market in order to achieve the needs of the organization.  In order to achieve this, I think the organisation would need to be very agile.  What would make an org more agile?  It would need to be made up of intelligent, self-reliant people who are passionate about delivering consistent quality and evolving the services / solutions in their topic / business area over time.  These people would need to be empowered to network/coordinate with colleagues internally to find solutions to problems / answers to questions and respond externally. That same specialised, matrixed team would need to have the power to adjust the value / offerings within their specialist area too. I think they'd need to be led by a 'Marketing Expert' (an expert who would lead both the internal and external 'tribes' interested in that specific topic area to arrive at the best possible win/win outcomes for both the customer and the company).  That's my vision of the future! I'm interested to hear other's thoughts."
45278,reply,IBM Business Partner,France,Structure and encouragement,2/11/2011 5:03, People & culture ,1,5,"Rowan, I think your approach is very logical. It is also natural for us to think about management of this phenomenon in a structured way as you describe. The concern I have about appointing people to be champions or managers of the social business is that choosing the right people for this is not easy. For example, marketing people are not necessarily the right people to manage this, anymore than the accounting team. Good social networkers and community managers come from the least expected part of the company. What is essential is that the social network can be established without a manager, as it is then truly democratic, and allows the natural social leaders to emerge."
45523,reply,Small or Mid-size Business,France,company- or customer-centric,2/11/2011 9:54, Strategic ,1,5,"Rowan, I mostly agree with you, but isn't your vision still very much of a company-centric view?  What if, instead of acting ""on behalf of the company"", business was driven ""on behalf of customers""?  The main problem I see is that most of our thinking still revolves around the company and its structure, not around business itself. To become more agile, companies must adapt, well, to the markets, which are weighted through relationships, not through structured transactions."
45469,reply,IBM Employee,Australia,Where will the leaders come from?,2/11/2011 5:36, People & culture ,1,5,"Simon, I completely agree with your excellent point that people can't be 'appointed' as social leaders - they must emerge. So will these people come from the top, the middle or the bottom?! (And if/when people emerge from the bottom, will that be confronting to Snr Management who struggle to understand the new power currencies?) This ties into a separate post on balancing bottom up and top down leadership here: https://www.collaborationjam.com/minijam3/jam/discussionThread.do?gt=true&jamId=83289&f=84531&c=44917&n=15#44917 Wherever they come from, I strongly believe the 'Marketing Experts' (experts who market) would need to organically emerge. The skill sets needed for that role are, as you pointed out, not easy to define or find and they would need to be intrinsically motivated to perform the associated tasks.  ...   You're also right that open, social leaders will need to emerge from all parts of the business, as all parts of organisations will need to consistently respond and adjust to what they are hearing (based on feedback from internal and external).  Do you think these emergent social leaders could also be described as emergent change agents?"
31344,reply,IBM Business Partner,France,Social Change Agents,2/11/2011 13:06, People & culture ,0,0,"Rowan, Social Change Agents is a good description and just like those who understood the Internet early on, these will be the early adopters that harness social media. Do we have some good company comparisons of the power of early understanding that we can talk about from the Internet period? How about Amazon, eBay, Google and others? These companies did not exist before the Internet and now are some of our biggest and most successful. Certainly almost every business has changed how it interacts with the world as a consequence of the internet. In the same way that Facebook, Twitter and You Tube have become businesses through their pursuit of harnessing human social interaction, and are today our examples of Amazon, eBay and Google, I believe that social business is an emerging phenomenon at least as important as that of the Internet."
31290,reply,IBM Employee,Australia,Negotiating customer and co needs,2/11/2011 11:23, Strategic ,0,0,"Hi Thierry, interesting questions.  If business was driven ""on behalf of customers"" how would it be different? Would the company be placing customers needs above their current structure (reasonable and inevitable, I think) or their own financial performance (probably never going to happen)?  I'm imagining the customer facing company staff (i.e. most staff in the future) would work to create the best win win scenario possible for the customer AND the co, but at the end of the day, the company staff will need to make decisions that work for the company.  ...   Of course there could in the future be a situation where it becomes more normal for agents to negotiate between customers and co's - in which case they'd err on the side of whomever is paying them?!  In terms of the style of transactions/interactions - I think companies will need to communicate/collaborate with and respond to customers in the ways customers dictate. For example, I recently decided not to buy a modem from a co in future if they don't have Twitter support.  Have I understood the essence of what you were suggesting or missed something? What do you think?"
45535,reply,Small or Mid-size Business,France,Business models redesign,2/11/2011 12:06, Strategic ,1,5,"You are right, the bottom line comes first. ;)  There is a thick literature on 'entrepreneurial values' and how much those are needed in big companies. I think that many business models are flawed because they structure their approach around products and services first, which means setting up supply chain, production, customer service... from an internal view of what a company should be. Socializing customers relationships (for instance) might help, but falls short when they have to react to sudden market conditions changes or losing key competitive advantages.  The  ...   needed shift is to put the customer very early in the model. Instead of developing the company, we need to develop our customers. This might imply a lot of redesign, but would result in business built around the customer, not around its own operations. Today's attempts to grow into social business merely mean facing the customer with friendlier attitudes (what you call acting the way customers dictate).  Of course, I have no actionable framework for a truly 'social business' transformation, bus I see it as shifting from a grocery where the customer is in front of a desk on which a ""customer is king"" notice is put down, and the clerk behind, to one where the clerk guide the customer through shelves to help him choose the best to solve his actual problem."
45613,reply,Analyst,United Kingdom,Not necessarily the case,2/11/2011 14:44, People & culture ,0,0,"It's not necessarily the case that a company will always act to promote the bottom line before the needs of the customer. There are counterexamples. Look at Tony Hsieh's work at Zappos: he wanted to make sure that everyone in the company was focused on delivering fantastic service to the customer. Profit would come as a consequence of doing that.  Large multi-national public companies are subject to the whims of the markets, which makes things perhaps more challenging / may make executives more averse to making that kind of cultural shift.  But  ...   models where customers are *absolutely* put first (and some models where employee satisfaction comes first) do exist and can work fantastically well. The key for them to succeed is that everyone has to trust that everyone else will do their best, and that this will delight the customer."
45272,reply,IBM Employee,India,Intelligent and self reliant people,2/11/2011 4:47, None ,0,0,"You've nailed just what is needed. Thank you.  The social media and other comms channels are just tools that get used, after that.  I'm concerned that several people see social media as a be all and end all silver bullet item, and pretty soon, it gets reduced to another item on a checklist of things to do.  ...   ""Christmas party for employees"" Check  ""Set up an internal social network"" Check  Not saying that's a bad thing and even that can lead to a surprisingly large adoption, but social media has to fit into a much broader picture. Which is what you pointed out and is worth looking at lots more."
31251,reply,IBM Employee,Australia,...taking the time to think about what's relevant,2/11/2011 5:44, Processes & operational ,0,0,"Suresh, thanks for your comment. I laughed when I read the part about social being on the checklist of to-do items. This drives me nuts too. You might get a smile out of this post in a different thread on that topic: https://www.collaborationjam.com/minijam3/jam/discussionThread.do?gt=true&jamId=83289&f=75424&c=44884&n=15#44884 The earlier post it relates to is here: https://www.collaborationjam.com/minijam3/jam/discussionThread.do?gt=true&jamId=83289&f=75424&c=30498&n=15#30498 I  ...   am so glad to hear you out there saying something similar :)"
45452,reply,IBM Employee,India,Its not funny when it becomes real,2/11/2011 15:16, None ,0,0,"There's some people who are ""corporate bloggers for hire"", ""blog consultants"" etc that basically come in, set up social media x, y and z - and then move on once their consulting gig expires.  Sometimes, that's the only thing that remains in the company's social media strategy."
45386,reply,Self-employed,Netherlands,"Strategy first, then process, behaviour - then too",2/11/2011 13:24, Processes & operational ,0,0,"Hi Ben,  you're asking the right question but in the wrong order I think  Social tools don't do anything, save maybe bring in a lot of customer opinions  If you know why some or most of them are worth listening to, you'll be able to build a business case for that, mobilise people, develop (company) behaviour  ...   and last, and maybe least, use tools to do so because you want to scale that  But IMO tools can never be the beginning - they come at the very end  Having said that, it might be a good way to bring cutsomer opinion under the attention of someone, but that would serve an entirely different goal?"
45583,reply,Self-employed,United States,There is No Substitute for Passion and Raw Intent,2/11/2011 13:33, Strategic ,0,0,"Ben, there is a very interesting Reggae song - ""now that we've found love, what do we do with it?"" A lot of companies approach all things ""social"" with a check box mentality. Its almost as if the ""doing"" is the ""destination."" Listening is a means to an end. Constantly adjusting to the listening is the ultimate sign of a living, breathing, learning company - a function of mindset, passion, and intent."
31485,reply,IBM Employee,United States,Empower the employee,2/11/2011 15:38, None ,0,0,"Analysis of the social conversations is great – not be discounted-- but for meaningful insights to be captured and considered, also look to the employees who are having those virtual conversations with customers. Give them the ability to share their ideas, impressions, etc., of their customer interactions, and obtain a collective view of the top customer trends, delights, concerns. Map those insights to what the data analysis suggests and engage the strategists across the enterprise to “read the tea leaves” to see what surfaces--maybe a really get idea for new a product/service, or a tweak to a customer experience that can alleviate pain points, or something broader such as an overall brand disconnect. It is all about context, and making sure that the right people in the organization are part of the process. Otherwise you end up with mountains of data that isn’t actionable and/or great ideas with no way to implement the change."
31602,reply,IBM Employee,Canada,Social Intelligence linked to Action,2/11/2011 16:33, Products & services ,0,0,With releases like the latest Cognos BI release that integrate corporate social software and introduction of Cognos Consumer Insight I think IBM has taken a major step forward to achieving this. When organizations start to see patterns in their market they can can now use collaborative decision making to better understand how they can take advantage of a trend or mitigate a risk. For example a company may see demand increasing for a new feature after a product launch from a competitor ( say a camera on a tablet::). This can be quantified allowing decision makers to bring that information directly into the evaluation of different product profitability scenarios or segmentation of their customer base.
31677,reply,IBM Employee,United Kingdom,Most conversations are ...,2/11/2011 16:59, Strategic ,0,0,"Margaret Millar said : “Most conversations are simply monologues delivered in the presence of a witness.“  But who was Margaret Millar? A marketer? A Digital Marketing Manager? A social Media guru?! Margaret Millar is surely one of late twentieth-century crime fiction’s best writers… And yet asa mystery and suspense writer…she wrote :“Most conversations are simply monologues delivered in the presence of a witness.“  What is interesting here, is that she wrote this before 1994 when she died at 79. So, no suspense or mystery, here. just a very today’s comment written  ...   way back before social media even ""existed"". That made me ponder : Are we still having a monologue conversation where our customers and BPs remains our witnesses ?! Or are we succeeding with having a conversation with them, engaging with them. I believe that we do better each day"
29568,post,IBM Employee,United States,Marketing to the next generation,2/8/2011 21:23, Strategic ,1,5,"Will the core part of marketing strategy be defined by social in the future? With a new generation (Gen Y/Millennials) just starting to enter the workforce, I think that they will drive a new way that businesses advertise, find leads and progress opportunities. Utilizing social tools for marketing is already main stream, but lead progression and nurturing can evolve significantly through presence awareness, social analytics and mobile devices. Would love to hear from some of the students that attended Lotusphere last week to understand what drives their decision making and their ideas in how social technologies can be utilize to captivate the younger generation."
45823,reply,IBM Employee,United States,Where they spend their time,2/11/2011 16:49, People & culture ,1,5,"It's all about reaching people where they spend their time. Other posts have mentioned social channels being used as an inexpensive way to spam people, but if that's where people are spending their time, if those are the communication channels they prefer to use, then that's the right way to reach them."
45832,reply,IBM Employee,United States,Spam,2/11/2011 16:52, Processes & operational ,2,5,"Interesting fact, every time I 'spammed' the Jam audience about the daily update for the jam, there was a spike in logins/participation...seems like we as a community are still a bit tied to email alerts!"
45629,reply,IBM Employee,United States,Jam behavior,2/11/2011 16:57, People & culture ,1,5,It would be fascinating to analyze what drives behavior in this jam. What causes some threads to grow to tens and even hundreds of replies? What causes others to become echo chambers between two people?  It could tell us a lot about how to market in a social setting.
45844,reply,IBM Employee,United States,Agree,2/11/2011 16:58, Processes & operational ,2,5,It certainly is an interesting dynamic
45632,reply,IBM Employee,United States,Yes,2/11/2011 16:59, Strategic ,0,0,Indeed it is.
42917,post,Large Enterprise,United States,Do customers want to be social with businesses?,2/8/2011 15:12, Strategic ,0,0,"Hello, and welcome to the jam!  Over the years, as I watched businesses develop deeper customer engagement strategies, and leverage new media tools to get cloer and closer to their customer base, I've been left to wonder:  - do customers really want to engage with businesses in that way?  - what is their motivation?  - to what extent are they concerned about privacy?  - are there industries where ""getting social"" with customers is more appropriate than others?  Would love to hear people's perspectives and experiences!"
43351,reply,Large Enterprise,United States,not all customers want to be social with business,2/8/2011 15:17, Policy & standards ,0,0,privacy is the main concern when going social with business
43091,reply,Non-profit Org/Non-government Org,United States,It depends on the business,2/8/2011 15:59, People & culture ,1,4,"I'd love to be social with amazon.com - them letting me know what deals, etc. are relevant to me. I am social with the deal sites (Groupon, LivingSocial) - so I can tell my other friends what the cool opportunities are.  I have no interest in being social with the company that makes my prescription medications. Not only do I not need to be reminded in this channel about my health, I don't want anyone to see it."
42968,reply,Large Enterprise,United States,What is a safe entry point for businesses?,2/8/2011 15:22, Best practices & lessons learned ,0,0,"Yes, customers do express privacy concerns. Knowing this, do you feel that there are some safe ways for business to launch social initiatives without turning people off??"
43504,reply,Large Enterprise,United States,How to get an understanding of trust level?,2/8/2011 16:12, Best practices & lessons learned ,1,3,"I'm really trying to understand where our clients (b to b) are in terms of using social media to initiate that right entry point. Are there any best practices on understanding where that trust point is? How it varies between the client org as a whole (security, mgmt, IT) as opposed to our user whom we are interacting with extensively via phone and email? We've had suggestions/proposals ranging from client interviews, ethnographic observation, surveys to just start a Facebook page and see what happens."
44056,reply,IBM Employee,United States,Privacy Concerns,2/9/2011 3:44, People & culture ,0,0,"Privacy concerns are legitimate, but surely social media provides a large enough canvas that employees of most companies can engage without revealing private matters.  I think that establishing boundaries and then trusting employees is key. Most people don't want to put their employers in jeopardy."
43468,reply,IBM Employee,United States,It all built on Trust,2/8/2011 15:56, Best practices & lessons learned ,0,0,"Social interaction is a method of how information is shared and discovered. The inclusiveness and ease of sharing of these interaction model brings flexibility throughout the collaboration process. I believed it is important to provide ""private"" or ""access controlled"" community, so providing a ""safe"" place to collaborate openly with other community members."
31329,reply,IBM Employee,Netherlands,All bus is people is is trust bus,2/11/2011 12:46, People & culture ,0,0,"As brewer Fred Heineken said: all business is people business. Trust is the word, for brands, for people. Thats why you like to listen (even now) to Walter Cronkite etc."
43366,reply,IBM Employee,United States,It's about Risk Mitigation ...,2/8/2011 15:20, People & culture ,0,0,"I think the risk is there but this is not about risk elimination but about Risk Mitigation. For most of our clients, when we show them the conversations happening about them, they realize that they are being talked about extensively. The point they bring home is that they need to have more risk mitigation -- as the risk is already there."
43958,reply,IBM Employee,Denmark,mitigate the risk,2/9/2011 9:21, People & culture ,0,0,"It is so important that companies do what they can to prepare and force the employees to act upon this ""talk"" or potential risk. There is a need to plan for getting all levels of employees to be ready to handle and deal with the ""talk"" - therefor I think it is very important to provide the right support and tools to the employees. It needs work to get the movement going and therefor a need for people to take the lead - and lead by example. If the employees in general get used to tools that support this, they have better chance to react and respond to the ""talk"". It is a movement and it needs to be started and planned for now."
29001,reply,Small or Mid-size Business,Denmark,NPS,2/8/2011 15:23, Strategic ,0,0,"Do customers really want to engage with businesses in that way?  I think that you need to focus on your promoters when involving your customers online. NPS (Net Promoter Score) gives you an easy way of finding those customers. Ask all customers to rate you on a scale from 0 to 10 how willing they are to recommend you to a friend or colleague. 9s and 10s are promoters and these will be much more willing to involve in social media with you.  ""What is their motivation?""  ...   Think of Simon Sineks Diffusion of Innovation, some of your clients actually want to be early adopters and opinion makers - these are very likely to also be promoters. Support that by boosting your social capital with the group and give them the right tools to promote you. Then they'll do it because it helps themselves and boost their own ego, not so much to help you or boost your brand.  ""To what extent are they concerned about privacy?""  This boils down to actually explaining up front that this is public. If they do it to boost their own ego, it would also be odd to keep it private, so privacy shouldn't be that much of a concern if your strategy is right.  ""Are there industries where ""getting social"" with customers is more appropriate than others?""  Are there industries where products can only be ""low-touch"" and not involve people in the process of making them or distributing them? Maybe a coal mine, but really I have a hard time thinking of any other."
43378,reply,Other,Portugal,Social without question,2/8/2011 15:24, None ,1,5,"I think people want to participate in a social way. So, if you are talking about Facebook and for instance are in the insurance sector (as do I) people don�t want to hear if we have a special auto insurance for them. But maybe they will like to participate in contest about auto insurance and participate. Maybe they will join a social cause promoted by the insurance company,....  We as a company need to be prepare to talk and listen to our customer. And especially prepared to hear bad comments."
29022,reply,IBM Business Partner,Canada,Combination of Risk Mitigation and Realizing Value,2/8/2011 15:28, Processes & operational ,0,0,"I think that while privacy and mitigating the sharing of what could be potentially classified as intellectual property, I think that most clients are just concerned that there will be no value add for them in the conversation.  As a part of developing our customer engagement strategies, we have to ensure that when we approach our clients that we are able to express solutions to actual problems and not waste their time. Having been on both sides of the fence, I can honestly say that at times it becomes very difficult to pull a signal from the rest of the noise that is worth listening to.  So,  ...   in summary:  1) Regardless of the method of interacting our customers (traditional face-to-face or new media tools), we need to ensure that we are providing clients with relevant information/solutions to problems they are currently facing.  2) Have a systematic and reliable method of providing focused information so as to not waste their time.  3) Consistently deliver relevant results so we can build up a trust level where the client can eventually feel confident in reaching out to us. That way we are not always relying on tools and still maintain that personal aspect of the relationship."
43402,reply,IBM Business Partner,United Kingdom,People buy from people,2/8/2011 15:30, People & culture ,0,0,"Anything any organization can do to make working together has to be good for the bottom line, and that's why any commercial organization is in business."
43025,reply,Professional Association,United States,Important Idea Here,2/8/2011 15:39, Processes & operational ,0,0,"people buy from people  I may not want to be ""friends"" with all the companies I do business with, but I'm sure there are people in those orgs that I'd really enjoy connecting with on a number of levels. Opening your organization and allowing your employees to interact with customers (and potential customers) creates opportunities that you won't see with a traditional org mindset."
44425,reply,IBM Employee,United States,Good point: people are social with PEOPLE,2/9/2011 16:25, People & culture ,0,0,"A very good point here: especially when dealing with a large external organization, the sense that someone in it cares about you can be a real differentiator in terms of your feeling of satisfaction and success. This can be experienced both through the design of offerings that anticipate your needs and are useful and even pleasurable to use, as well as in the extent to which their interactions with you feel personalized and sensitive to your needs. I saw an interesting Tweet from someone at one of the Social Business talks at Lotusphere, saying that at one time, all business was social. Then technology got in the way. Now we have a way to make business feel social and personal again, on a larger global scale."
